datetime,open,high,low,close,volume
2025-04-01,16.09,18.26,16.09,17.52,17700
2025-03-31,14.8,16.357,14.8,16.357,5100
2025-03-28,17.31,17.55,16.219,16.79,11400
2025-03-27,18.44,19.0,17.81,17.81,1900
2025-03-26,21.19,21.49,18.78,18.934,13400
2025-03-25,22.23,24.42,21.5,22.741,22600
2025-03-24,18.85,19.39,18.7,19.39,2600
2025-03-21,17.45,18.06,17.28,18.022,13600
2025-03-20,18.49,18.63,17.707,17.707,6300
2025-03-19,18.92,21.305,18.68,18.89,10700
2025-03-18,17.7,17.944,17.7,17.9,4200
2025-03-17,19.1,19.1,18.23,18.746,7100
2025-03-14,17.75,18.23,17.621,18.157,1800
2025-03-13,18.47,18.608,16.442,16.442,11000
2025-03-12,18.61,18.81,17.97,18.096,5900
2025-03-11,17.01,17.23,16.76,17.23,900
2025-03-10,20.915,21.04,17.57,17.834,1800
2025-03-07,23.21,23.357,22.42,23.357,900
2025-03-06,23.38,23.38,22.15,22.253,11600
2025-03-05,23.63,23.65,23.12,23.632,1500
2025-03-04,22.05,23.36,21.73,22.95,1600
