datetime,open,high,low,close,volume
2025-04-01,43.25,43.71,42.56,43.56,99400
2025-03-31,43.63,43.86,43.13,43.26,160900
2025-03-28,43.7,43.8,43.07,43.64,100700
2025-03-27,43.87,44.0,43.2,43.84,126600
2025-03-26,43.98,44.03,43.62,43.85,151600
2025-03-25,44.04,44.07,43.43,43.75,176600
2025-03-24,43.96,44.23,43.4,43.71,177900
2025-03-21,43.45,43.96,43.0,43.67,1133800
2025-03-20,42.79,43.74,42.52,43.6,226400
2025-03-19,42.8,43.15,42.41,42.73,190200
2025-03-18,42.75,43.14,42.67,42.77,128100
2025-03-17,41.99,43.1,41.64,42.64,187700
2025-03-14,41.1,41.86,41.03,41.7,246200
2025-03-13,41.0,41.95,40.71,40.94,136700
2025-03-12,41.0,41.23,40.52,40.69,124100
2025-03-11,40.3,40.9,40.3,40.84,118800
2025-03-10,41.07,41.45,40.28,40.49,275000
2025-03-07,40.37,41.52,40.37,41.07,164100
2025-03-06,40.97,41.31,40.28,40.44,114100
2025-03-05,41.92,42.18,40.79,41.27,128100
2025-03-04,42.3,42.62,41.64,41.95,95700
2025-03-03,43.04,43.12,42.23,42.36,153000
2025-02-28,41.74,43.02,41.74,43.02,151100
2025-02-27,41.97,42.47,41.37,41.67,157100
2025-02-26,41.7,42.26,41.31,41.68,224200
2025-02-25,40.01,41.87,39.99,41.64,192500
2025-02-24,40.3,40.46,39.55,40.02,152300
2025-02-21,40.45,40.45,39.58,40.02,347300
2025-02-20,40.99,40.99,40.01,40.45,141900
2025-02-19,41.0,41.6,40.17,40.83,236200
2025-02-18,41.73,41.78,40.85,41.04,182000
2025-02-14,41.37,42.0,40.9,41.87,108600
2025-02-13,41.0,41.26,40.75,41.15,105400
2025-02-12,41.57,41.75,40.85,41.06,127500
2025-02-11,42.25,42.47,41.61,41.96,123300
2025-02-10,43.29,43.29,42.07,42.16,332100
2025-02-07,42.46,42.46,41.63,41.97,133200
2025-02-06,43.0,43.01,42.22,42.48,118900
2025-02-05,42.9,43.14,42.51,43.01,160700
2025-02-04,42.46,43.19,42.17,43.17,194900
2025-02-03,43.19,43.91,42.88,43.85,238000
2025-01-31,44.19,44.31,43.2,43.37,237900
2025-01-30,43.34,44.33,42.89,44.33,609100
2025-01-29,43.18,43.71,43.0,43.52,133300
2025-01-28,43.79,43.79,42.72,42.95,194300
2025-01-27,44.44,44.56,43.37,43.49,151100
2025-01-24,44.3,44.63,43.9,44.19,66600
2025-01-23,44.26,45.05,44.02,44.31,105000
2025-01-22,45.67,45.67,44.18,44.37,111100
2025-01-21,45.52,45.71,44.87,45.2,136600
2025-01-17,44.99,45.47,44.44,45.32,102300
2025-01-16,43.72,45.0,43.57,45.0,120700
2025-01-15,44.0,44.49,43.33,43.98,103100
2025-01-14,42.55,43.99,42.55,43.75,104500
2025-01-13,42.02,43.16,42.0,42.51,99400
2025-01-10,42.35,42.73,41.96,42.2,64000
2025-01-08,42.0,42.35,41.66,42.35,89000
2025-01-07,41.9,42.17,41.68,42.05,73100
2025-01-06,42.75,42.75,41.76,41.9,66000
2025-01-03,42.44,42.6,42.2,42.27,158900
2025-01-02,42.58,42.78,41.67,42.07,185400
2024-12-31,40.95,42.68,40.95,42.26,242400
2024-12-30,41.03,41.3,40.4,41.05,83600
2024-12-27,41.0,41.33,40.82,40.98,47100
2024-12-26,41.3,41.3,40.77,40.95,57200
2024-12-24,41.15,41.28,40.82,41.09,58700
2024-12-23,40.62,40.98,40.17,40.89,152400
2024-12-20,39.99,41.0,39.71,40.49,1403100
2024-12-19,40.75,40.8,39.61,39.99,190200
2024-12-18,40.45,40.96,39.86,39.95,166800
2024-12-17,40.09,40.25,39.79,39.98,388700
2024-12-16,39.97,40.17,39.55,40.0,200700
2024-12-13,39.21,39.98,39.15,39.86,165100
2024-12-12,39.0,39.26,38.82,39.18,80800
2024-12-11,38.83,39.16,38.5,38.86,156800
2024-12-10,38.71,38.98,38.33,38.81,317000
2024-12-09,39.47,39.66,38.86,38.92,105900
2024-12-06,39.84,39.84,39.11,39.2,153400
2024-12-05,39.75,39.99,39.67,39.8,50300
2024-12-04,39.86,39.98,39.38,39.42,123100
2024-12-03,40.11,40.28,39.69,39.9,134200
2024-12-02,40.2,40.5,39.73,39.95,108200
2024-11-29,40.15,40.84,40.07,40.34,188800
2024-11-27,40.12,40.86,40.04,40.04,193100
2024-11-26,39.5,40.3,39.5,40.04,97200
2024-11-25,40.0,40.12,39.46,39.59,196800
2024-11-22,39.84,40.0,39.29,40.0,146400
2024-11-21,39.49,39.89,39.39,39.76,107000
2024-11-20,39.5,39.75,39.35,39.63,97200
2024-11-19,39.1,39.5,39.03,39.46,140100
2024-11-18,38.95,39.16,38.45,39.0,202900
2024-11-15,38.78,39.2,38.67,38.96,138100
2024-11-14,38.79,38.97,38.37,38.78,105700
2024-11-13,38.32,39.06,38.32,38.82,280800
2024-11-12,37.82,38.39,37.75,38.31,250900
2024-11-11,38.01,38.42,37.87,38.08,322700
2024-11-08,38.75,38.98,37.96,38.35,595200
2024-11-07,39.62,40.16,39.3,39.81,225300
2024-11-06,40.01,40.13,38.88,39.28,277600
2024-11-05,38.8,39.53,38.8,39.5,134600
2024-11-04,39.31,39.48,38.82,38.88,140800
2024-11-01,38.91,39.23,38.65,38.97,131000
2024-10-31,38.7,38.93,38.31,38.57,183700
2024-10-30,38.65,38.72,38.32,38.55,121900
2024-10-29,38.55,38.8,38.0,38.06,132500
2024-10-28,38.86,39.14,38.47,38.47,113400
2024-10-25,39.22,39.22,38.8,38.96,103400
2024-10-24,39.0,39.35,38.75,39.04,135400
2024-10-23,39.39,39.58,38.92,39.0,127700
2024-10-22,39.2,39.58,39.0,39.24,297800
2024-10-21,39.14,39.27,38.52,38.7,217500
2024-10-18,38.8,38.92,38.1,38.67,229600
2024-10-17,39.21,39.36,38.79,38.83,164700
2024-10-16,39.29,39.58,39.14,39.21,96100
2024-10-15,39.32,39.35,38.6,39.14,260300
2024-10-14,39.5,39.79,39.01,39.35,341300
2024-10-11,39.19,39.73,39.19,39.36,284800
2024-10-10,39.41,39.58,39.11,39.17,381100
2024-10-09,39.72,39.77,39.16,39.35,1582800
2024-10-08,44.74,44.93,44.31,44.67,69100
2024-10-07,44.59,45.33,44.25,44.95,46700
2024-10-04,44.49,44.54,44.07,44.37,44400
2024-10-03,43.81,44.28,42.89,44.16,56100
