datetime,open,high,low,close,volume
2025-04-01,8.47,8.47,8.361,8.42,18300
2025-03-31,8.5,8.5,8.43,8.48,9600
2025-03-28,8.63,8.63,8.51,8.53,9700
2025-03-27,8.6,8.628,8.536,8.58,6700
2025-03-26,8.56,8.62,8.56,8.58,3000
2025-03-25,8.6,8.65,8.58,8.58,46500
2025-03-24,8.62,8.65,8.59,8.59,17900
2025-03-21,8.55,8.58,8.535,8.58,1800
2025-03-20,8.48,8.59,8.48,8.56,3400
2025-03-19,8.58,8.6,8.5,8.56,18900
2025-03-18,8.61,8.61,8.56,8.58,5700
2025-03-17,8.55,8.61,8.55,8.61,28800
2025-03-14,8.57,8.665,8.55,8.61,2900
2025-03-13,8.55,8.58,8.5,8.58,14600
2025-03-12,8.55,8.56,8.475,8.54,30200
2025-03-11,8.5,8.56,8.43,8.49,10300
2025-03-10,8.65,8.72,8.45,8.49,38300
2025-03-07,8.65,8.72,8.61,8.66,12500
2025-03-06,8.75,8.8,8.6,8.68,12300
2025-03-05,8.7,8.82,8.65,8.81,37700
2025-03-04,8.68,8.735,8.62,8.7,30300
2025-03-03,8.75,8.87,8.65,8.69,73000
2025-02-28,8.79,8.85,8.79,8.8,29000
2025-02-27,8.72,8.91,8.72,8.8,139800
2025-02-26,8.42,8.85,8.41,8.71,127500
2025-02-25,8.48,8.48,8.35,8.38,20600
2025-02-24,8.55,8.6,8.451,8.52,15600
2025-02-21,8.658,8.73,8.5,8.55,14700
2025-02-20,8.75,8.75,8.5,8.67,69200
2025-02-19,8.65,8.78,8.65,8.76,16000
2025-02-18,8.6,8.71,8.581,8.71,43900
2025-02-14,8.62,8.66,8.51,8.56,15500
2025-02-13,8.55,8.58,8.54,8.56,5900
2025-02-12,8.5,8.58,8.47,8.51,7700
2025-02-11,8.55,8.55,8.46,8.5,29800
2025-02-10,8.7,8.7,8.5,8.55,8500
2025-02-07,8.67,8.7,8.57,8.66,18700
2025-02-06,8.75,8.76,8.71,8.74,7200
2025-02-05,8.69,8.71,8.63,8.71,3300
2025-02-04,8.67,8.7,8.62,8.64,35000
2025-02-03,8.602,8.67,8.55,8.67,15500
2025-01-31,8.73,8.78,8.61,8.66,33100
2025-01-30,8.74,8.92,8.66,8.73,62300
2025-01-29,8.66,8.788,8.6,8.73,65400
2025-01-28,8.64,8.67,8.6,8.64,24400
2025-01-27,8.66,8.69,8.587,8.64,3000
2025-01-24,8.61,8.66,8.583,8.6,12200
2025-01-23,8.64,8.65,8.411,8.61,14100
2025-01-22,8.6,8.67,8.59,8.61,20600
2025-01-21,8.54,8.64,8.54,8.61,23100
2025-01-17,8.57,8.64,8.51,8.59,45500
2025-01-16,8.51,8.57,8.45,8.53,15900
2025-01-15,8.57,8.64,8.46,8.5,22800
2025-01-14,8.51,8.55,8.45,8.54,82800
2025-01-13,8.45,8.5,8.4,8.5,18300
2025-01-10,8.36,8.46,8.35,8.43,67100
2025-01-08,8.5,8.52,8.43,8.48,20600
2025-01-07,8.51,8.58,8.425,8.5,19700
2025-01-06,8.57,8.58,8.47,8.52,13100
2025-01-03,8.54,8.57,8.4,8.55,14800
2025-01-02,8.51,8.51,8.45,8.51,15200
2024-12-31,8.5,8.52,8.43,8.46,55700
2024-12-30,8.4,8.5,8.36,8.5,69200
2024-12-27,8.5,8.5,8.32,8.47,91300
2024-12-26,8.42,8.48,8.4,8.48,31300
2024-12-24,8.45,8.5,8.35,8.47,19500
2024-12-23,8.41,8.5,8.4,8.5,15200
2024-12-20,8.48,8.55,8.35,8.46,13800
2024-12-19,8.72,8.79,8.53,8.67,33200
2024-12-18,8.83,8.93,8.51,8.64,48000
2024-12-17,8.92,8.96,8.76,8.83,35800
2024-12-16,8.95,8.97,8.901,8.96,3100
2024-12-13,8.91,8.96,8.86,8.95,21900
2024-12-12,8.93,9.0,8.853,8.91,37600
2024-12-11,8.93,8.98,8.915,8.93,9300
2024-12-10,9.05,9.06,8.85,8.93,12400
2024-12-09,9.05,9.081,9.0,9.06,6900
2024-12-06,9.1,9.1,8.9,9.07,15100
2024-12-05,9.01,9.1,9.01,9.1,5400
2024-12-04,9.1,9.16,9.05,9.09,6500
2024-12-03,8.99,9.06,8.92,9.03,32500
2024-12-02,9.0,9.0,8.925,8.99,11700
2024-11-29,8.98,8.99,8.9,8.95,8600
2024-11-27,9.0,9.0,8.85,8.95,9200
2024-11-26,9.0,9.0,8.9,8.97,6500
2024-11-25,9.0,9.0,8.889,8.97,13900
2024-11-22,8.76,8.91,8.76,8.91,13500
2024-11-21,8.75,8.82,8.73,8.76,10100
2024-11-20,8.8,8.82,8.62,8.77,23700
2024-11-19,8.83,8.83,8.7,8.81,2600
2024-11-18,8.78,8.84,8.71,8.83,3200
2024-11-15,8.969,8.97,8.71,8.78,14300
2024-11-14,8.96,8.97,8.851,8.91,1400
2024-11-13,8.99,9.0,8.84,8.89,13900
2024-11-12,8.99,8.99,8.85,8.94,2000
2024-11-11,8.94,9.0,8.938,8.96,14700
2024-11-08,8.93,8.99,8.876,8.942,5300
2024-11-07,8.8,8.97,8.775,8.91,16400
2024-11-06,8.68,8.8,8.68,8.79,23200
2024-11-05,8.68,8.7,8.59,8.66,34300
2024-11-04,8.688,8.688,8.6,8.66,17200
2024-11-01,8.7,8.7,8.6,8.7,1300
2024-10-31,8.645,8.69,8.645,8.69,400
2024-10-30,8.65,8.7,8.62,8.66,4200
2024-10-29,8.745,8.79,8.54,8.65,44800
2024-10-28,8.75,8.75,8.671,8.74,13600
2024-10-25,8.8,8.91,8.71,8.76,23100
2024-10-24,8.8,8.892,8.8,8.85,21000
2024-10-23,8.81,8.89,8.755,8.8,10600
2024-10-22,8.83,8.91,8.82,8.88,9900
2024-10-21,8.83,8.98,8.83,8.88,28500
2024-10-18,8.85,8.85,8.8,8.83,7800
2024-10-17,8.85,8.85,8.75,8.84,3200
2024-10-16,8.75,8.85,8.75,8.84,20300
2024-10-15,8.74,8.77,8.74,8.75,4900
2024-10-14,8.69,8.77,8.68,8.77,12400
2024-10-11,8.46,8.69,8.46,8.69,18500
2024-10-10,8.69,8.69,8.57,8.6,11300
2024-10-09,8.64,8.69,8.634,8.68,10100
2024-10-08,8.6,8.65,8.511,8.6,15300
2024-10-07,8.6,8.6,8.565,8.58,2300
2024-10-04,8.56,8.66,8.56,8.65,18600
2024-10-03,8.65,8.66,8.61,8.65,18000
2024-10-02,8.65,8.66,8.5,8.65,10100
2024-10-01,8.635,8.69,8.635,8.66,5300
2024-09-30,8.68,8.69,8.62,8.67,12800
2024-09-27,8.65,8.69,8.609,8.69,800
2024-09-26,8.65,8.67,8.6,8.65,4200
2024-09-25,8.66,8.67,8.6,8.6,4400
2024-09-24,8.665,8.7,8.56,8.67,11100
2024-09-23,8.67,8.68,8.595,8.68,4300
2024-09-20,8.74,8.74,8.55,8.6,11100
2024-09-19,8.47,8.58,8.47,8.56,23500
2024-09-18,8.48,8.48,8.42,8.46,10200
2024-09-17,8.5,8.5,8.35,8.45,16800
2024-09-16,8.439,8.498,8.439,8.48,8900
2024-09-13,8.44,8.46,8.396,8.44,10300
2024-09-12,8.42,8.58,8.26,8.41,35800
2024-09-11,8.44,8.44,8.34,8.4,24900
2024-09-10,8.365,8.42,8.365,8.42,6400
2024-09-09,8.27,8.37,8.27,8.37,5300
2024-09-06,8.42,8.42,8.194,8.23,35700
2024-09-05,8.39,8.4,8.11,8.35,36100
2024-09-04,8.26,8.38,8.25,8.35,16500
2024-09-03,8.37,8.39,8.308,8.35,4900
2024-08-30,8.33,8.394,8.25,8.37,11000
2024-08-29,8.25,8.3,8.175,8.29,15300
2024-08-28,8.21,8.25,8.2,8.25,9900
2024-08-27,8.18,8.37,8.18,8.21,13000
