datetime,open,high,low,close,volume
2025-04-01,310.85999,328.26999,307.0,327.38,667800
2025-03-31,307.53,317.345,298.69601,310.54001,778300
2025-03-28,330.23001,330.23001,307.39999,315.0,888400
2025-03-27,330.63,340.35999,324.20001,332.94,695500
2025-03-26,340.0,341.75299,323.42999,331.22,1095500
2025-03-25,333.14999,341.09,327.79001,340.5,639700
2025-03-24,319.16,331.73001,315.255,330.0,1033400
2025-03-21,300.70001,312.0,294.81601,309.29999,869200
2025-03-20,296.64999,314.82001,293.29501,306.17001,606800
2025-03-19,289.94,304.62,287.14001,301.12,673500
2025-03-18,294.91,304.66,283.87,288.81,650000
2025-03-17,286.79001,301.85501,285.0,294.17999,919100
2025-03-14,280.5,286.73999,280.10001,283.54001,809000
2025-03-13,288.62,288.89999,269.76999,272.48999,1035300
2025-03-12,294.66,295.5,280.22,291.01999,957100
2025-03-11,277.45001,282.22,269.44501,274.91,1046500
2025-03-10,286.54999,289.0,263.67999,277.17999,1706500
2025-03-07,271.45001,296.905,268.03,295.56,1586600
2025-03-06,282.79999,286.67999,268.10999,272.76999,1048800
2025-03-05,293.10999,295.85001,284.98999,292.73999,840400
2025-03-04,288.87,301.95999,276.67001,294.14999,1285500
2025-03-03,312.32999,324.25,291.76999,295.23001,1947100
2025-02-28,325.06,329.60999,303.67999,312.07001,3455400
2025-02-27,391.32001,412.88,372.84,375.78,1502800
2025-02-26,388.75,400.91299,383.78,386.56,857200
2025-02-25,382.95001,389.73999,370.19,385.81,683500
2025-02-24,390.26001,397.29999,372.01001,389.89999,1240900
2025-02-21,418.92001,420.48001,383.42999,385.35001,1079700
2025-02-20,430.42999,430.95001,415.98999,421.78,945800
2025-02-19,439.42999,440.70999,429.20499,432.51999,822100
2025-02-18,435.0,441.76501,426.39999,441.39001,666300
2025-02-14,432.0,436.98001,417.737,432.69,724300
2025-02-13,400.98001,431.37,399.14001,430.32001,1514000
2025-02-12,377.70001,399.73001,373.29999,398.10999,1180700
2025-02-11,399.0,399.98001,381.23999,383.66,574000
2025-02-10,398.07999,403.63,394.0,401.45001,486800
2025-02-07,394.81,400.20001,391.76001,393.79999,717100
2025-02-06,390.0,392.70999,380.17001,389.35999,394700
2025-02-05,389.41,411.69,385.92999,392.0,748600
2025-02-04,367.59,387.88,366.737,386.16,781400
2025-02-03,354.95999,365.84,352.0,364.44,577500
2025-01-31,368.44,368.44,361.0,363.98999,512300
2025-01-30,360.0,370.76999,359.44,363.28,504800
2025-01-29,354.76999,363.95999,346.19,358.48001,456900
2025-01-28,327.0,351.505,325.03,350.72,581000
2025-01-27,320.0,334.23001,311.57999,326.82001,752000
2025-01-24,330.5,335.51999,325.0,328.60001,445100
2025-01-23,335.85001,337.85999,330.0,335.98999,403900
2025-01-22,338.79999,343.50299,328.88,336.04001,443200
2025-01-21,353.0,353.01001,325.73001,337.28,795100
2025-01-17,351.81,356.0,340.54001,351.13,742400
2025-01-16,327.67001,355.78,327.39999,341.79999,932500
2025-01-15,316.91,323.72,315.98001,319.98001,330300
2025-01-14,320.0,325.0,311.78,312.51999,428700
2025-01-13,311.56,317.245,305.01001,316.38,399300
2025-01-10,316.91,319.35999,305.82001,318.67001,535200
2025-01-08,318.37,325.20499,314.23199,323.14001,425600
2025-01-07,336.0,336.73001,311.67099,320.35001,639500
2025-01-06,344.10001,347.04001,332.26999,336.72,613300
2025-01-03,328.34,341.96799,326.57999,340.06,344100
2025-01-02,327.29999,328.95001,319.04001,325.88,466300
2024-12-31,326.37,328.76999,320.905,324.23001,344500
2024-12-30,328.23001,329.39999,321.245,325.20001,535900
2024-12-27,339.45999,339.45999,326.42801,333.34,293000
2024-12-26,339.51001,345.0,336.543,341.88,274200
2024-12-24,336.34,342.48999,335.0,340.39001,114500
2024-12-23,342.12,344.12,336.14001,337.73001,373800
2024-12-20,327.72,345.53,324.82999,342.12,1263300
2024-12-19,345.16,345.73999,332.86801,335.22,436000
2024-12-18,352.44,352.875,331.32001,332.81,572100
2024-12-17,352.29999,360.21301,348.64999,354.04001,649600
2024-12-16,341.42001,350.85999,337.86499,348.72,639000
2024-12-13,340.5,344.88,333.965,338.07001,517800
2024-12-12,341.12,344.73999,336.20999,339.51999,424000
2024-12-11,351.16,352.72,318.03,344.35001,1226600
