datetime,open,high,low,close,volume
2025-04-01,25.5,25.6,25.35,25.48,56500
2025-03-31,25.6,25.74,25.59,25.62,170117
2025-03-28,25.56,25.5692,25.503,25.5251,10713
2025-03-27,25.5499,25.58,25.5499,25.57,8460
2025-03-26,25.57,25.58,25.53,25.5463,10241
2025-03-25,25.56,25.57,25.5407,25.57,12187
2025-03-24,25.46,25.57,25.46,25.56,34564
2025-03-21,25.44,25.45,25.42,25.439,34916
2025-03-20,25.41,25.48,25.41,25.4447,61592
2025-03-19,25.58,25.6,25.55,25.585,11529
2025-03-18,25.5,25.6,25.4545,25.57,11109
2025-03-17,25.4,25.48,25.4,25.48,5668
2025-03-14,25.4,25.42,25.3699,25.4132,7632
2025-03-13,25.4239,25.43,25.36,25.4,7072
2025-03-12,25.43,25.44,25.4299,25.4299,3137
2025-03-11,25.36,25.44,25.36,25.41,4288
2025-03-10,25.3663,25.44,25.36,25.41,7023
2025-03-07,25.34,25.43,25.34,25.3796,5583
2025-03-06,25.35,25.39,25.33,25.3641,6120
2025-03-05,25.39,25.39,25.3648,25.38,6375
2025-03-04,25.38,25.4,25.32,25.38,9702
2025-03-03,25.29,25.3959,25.29,25.3959,16942
2025-02-28,25.37,25.37,25.2801,25.29,11821
2025-02-27,25.42,25.42,25.3148,25.3398,21982
2025-02-26,25.4101,25.45,25.3818,25.45,12381
2025-02-25,25.4001,25.45,25.4,25.43,3361
2025-02-24,25.4101,25.42,25.4001,25.41,3775
2025-02-21,25.4092,25.4092,25.36,25.37,3721
2025-02-20,25.3718,25.49,25.365,25.405,5093
2025-02-19,25.4299,25.4299,25.387,25.39,1883
2025-02-18,25.4296,25.44,25.35,25.44,9655
2025-02-14,25.35,25.45,25.35,25.45,5373
2025-02-13,25.38,25.445,25.35,25.44,5740
2025-02-12,25.335,25.4049,25.3,25.31,3438
2025-02-11,25.3046,25.45,25.28,25.3,8687
2025-02-10,25.3,25.3616,25.25,25.28,6905
2025-02-07,25.2721,25.4,25.23,25.25,6485
