datetime,open,high,low,close,volume
2025-04-01,8.16,8.24,8.08,8.14,6400
2025-03-31,8.14,8.15,8.07,8.12,3500
2025-03-28,8.5,8.5,8.02,8.02,2200
2025-03-27,8.26,8.26,8.05,8.1,5400
2025-03-26,8.65,8.65,8.06,8.06,4500
2025-03-25,8.35,8.83,8.19,8.19,4500
2025-03-24,8.33,8.33,8.1,8.15,13500
2025-03-21,8.4,8.4,8.04,8.33,5200
2025-03-20,8.53,8.75,8.2,8.39,54200
2025-03-19,8.35,8.55,8.1,8.27,22300
2025-03-18,8.5,8.5,7.94,8.05,20300
2025-03-17,8.49,8.49,7.97,7.97,6800
2025-03-14,8.5,8.5,7.96,8.18,1800
2025-03-13,8.5,8.5,7.79,8.16,1800
2025-03-12,7.9,8.16,7.81,8.16,2500
2025-03-11,8.01,8.1,7.72,7.79,4500
2025-03-10,8.04,8.04,7.75,7.75,1500
2025-03-07,7.77,8.0,7.55,8.0,15500
2025-03-06,7.76,7.77,7.45,7.77,2600
2025-03-05,7.15,7.77,7.15,7.5,2600
2025-03-04,7.79,7.83,7.54,7.54,2300
2025-03-03,7.6,7.82,7.6,7.7,29800
2025-02-28,7.28,7.77,7.28,7.56,3800
2025-02-27,7.51,7.77,7.5,7.5,6900
2025-02-26,7.5,7.74,7.05,7.74,7000
2025-02-25,7.38,7.38,7.06,7.36,1800
2025-02-24,7.25,7.38,7.14,7.35,7600
2025-02-21,7.23,7.25,7.2,7.24,8500
2025-02-20,7.25,7.49,7.14,7.23,5700
2025-02-19,7.17,7.32,7.02,7.24,12100
2025-02-18,7.22,7.25,7.0,7.23,1200
2025-02-14,7.25,7.25,7.06,7.18,3200
2025-02-13,6.8,7.22,6.8,7.13,2300
2025-02-12,6.93,7.23,6.8,7.05,4100
2025-02-11,7.33,7.35,6.55,7.22,27000
2025-02-10,7.35,7.36,7.19,7.19,4100
2025-02-07,8.05,8.05,7.46,7.46,5000
2025-02-06,7.78,7.81,7.53,7.81,3300
2025-02-05,7.78,8.05,7.78,8.05,1100
2025-02-04,7.58,8.11,7.58,7.95,8900
2025-02-03,7.78,7.78,7.78,7.78,500
2025-01-31,7.98,7.98,7.69,7.69,5000
2025-01-30,7.91,7.91,7.91,7.91,0
2025-01-29,8.1,8.1,7.77,7.91,2800
2025-01-28,8.75,8.99,8.1,8.13,15600
2025-01-27,8.2,8.2,8.1,8.1,900
2025-01-24,8.0,8.19,8.0,8.19,1100
2025-01-23,7.86,8.03,7.75,7.99,3000
2025-01-22,8.19,8.19,8.05,8.09,6600
2025-01-21,8.46,8.46,8.05,8.22,6400
2025-01-17,8.25,8.5,8.25,8.5,1100
2025-01-16,8.22,8.22,8.01,8.09,1200
2025-01-15,8.28,8.28,8.26,8.26,400
2025-01-14,7.92,8.43,7.92,8.43,2000
2025-01-13,8.26,8.46,7.7,8.25,16400
2025-01-10,7.88,8.51,7.88,8.22,17900
2025-01-08,7.96,8.06,7.95,7.97,2400
2025-01-07,8.07,8.21,7.82,8.07,15200
2025-01-06,7.67,7.98,7.67,7.8,2700
2025-01-03,7.77,7.77,7.77,7.77,500
2025-01-02,7.63,7.63,7.43,7.55,8700
2024-12-31,7.7,7.75,7.6,7.69,24200
2024-12-30,7.56,8.0,7.56,7.63,13800
2024-12-27,7.68,8.1,7.68,7.75,8700
2024-12-26,7.62,8.2,7.62,7.95,5000
2024-12-24,8.0,8.08,7.95,7.95,5700
2024-12-23,8.15,8.43,8.15,8.3,5300
2024-12-20,8.04,8.35,8.04,8.35,1100
2024-12-19,8.04,8.36,8.04,8.14,1300
2024-12-18,8.25,8.38,8.06,8.2,3200
2024-12-17,8.1,8.38,8.01,8.12,5400
2024-12-16,8.11,8.42,8.11,8.4,600
2024-12-13,8.35,8.4,8.16,8.16,9200
2024-12-12,8.81,8.81,8.38,8.4,18000
2024-12-11,8.74,8.92,8.65,8.92,2300
2024-12-10,8.91,9.06,8.6,8.91,28800
2024-12-09,8.97,9.02,8.55,8.76,26800
2024-12-08,8.97,9.02,8.55,8.76,26831
2024-12-06,9.01,9.1,8.81,8.89,18300
2024-12-05,9.02,9.32,8.96,9.09,14700
2024-12-04,9.4,9.45,8.95,9.2,99100
2024-12-03,9.17,9.6,9.04,9.44,78500
2024-12-02,9.17,9.6,9.035,9.44,78491
2024-11-29,9.5,9.61,9.5,9.61,600
2024-11-27,9.35,9.45,9.31,9.45,4800
2024-11-26,9.6,9.85,9.33,9.55,6600
2024-11-25,9.1,9.99,9.0,9.89,96000
2024-11-22,9.31,9.31,9.0,9.28,9900
2024-11-21,9.05,9.05,8.51,8.93,37500
2024-11-20,8.92,9.15,8.76,9.03,22700
2024-11-19,9.02,9.72,8.8,8.99,257200
2024-11-18,8.67,9.04,8.67,8.91,3400
2024-11-15,8.82,9.03,8.73,9.01,2400
2024-11-14,9.1,9.1,8.77,8.82,2700
2024-11-13,8.82,9.06,8.82,9.01,600
2024-11-12,8.88,9.26,8.53,9.23,23600
2024-11-11,9.3,9.48,8.61,8.75,22200
2024-11-08,9.04,9.74,9.04,9.47,4600
2024-11-07,9.74,9.74,9.21,9.22,4100
2024-11-06,9.34,9.91,9.04,9.79,9600
2024-11-05,9.13,9.48,9.0,9.3,17600
2024-11-04,8.75,9.22,8.64,9.13,21500
2024-11-01,8.57,9.0,8.51,8.76,12400
2024-10-31,8.7,8.7,8.66,8.66,1400
2024-10-30,8.95,9.18,8.7,8.9,7700
2024-10-29,8.65,8.65,8.65,8.65,1200
2024-10-28,8.99,9.11,8.58,8.6,16500
2024-10-25,9.21,9.21,8.89,8.9,1600
