datetime,open,high,low,close,volume
2025-04-01,20.11,20.29,20.0,20.12,148700
2025-03-31,20.15,20.46,20.08,20.09,185900
2025-03-28,20.39,20.48,19.93,20.17,127800
2025-03-27,19.65,20.55,19.6,20.43,254000
2025-03-26,19.46,19.64,19.45,19.61,141500
2025-03-25,19.7,19.72,19.35,19.39,252600
2025-03-24,20.46,20.56,19.51,19.69,250800
2025-03-21,20.88,20.91,20.22,20.23,2099800
2025-03-20,21.19,21.29,21.0,21.0,228900
2025-03-19,21.21,21.49,21.1,21.24,194100
2025-03-18,21.12,21.37,21.08,21.18,190000
2025-03-17,21.17,21.48,21.15,21.2,173300
2025-03-14,21.13,21.4,21.03,21.2,125300
2025-03-13,21.08,21.34,20.92,21.12,140200
2025-03-12,21.25,21.36,20.83,21.02,137200
2025-03-11,21.75,21.88,21.1,21.25,203200
2025-03-10,21.63,22.01,21.62,21.71,232600
2025-03-07,21.15,21.67,21.09,21.58,205300
2025-03-06,21.05,21.31,20.96,21.17,214400
2025-03-05,21.13,21.29,20.97,21.06,187400
2025-03-04,21.18,21.38,21.07,21.22,145600
2025-03-03,21.24,21.4,21.15,21.31,170000
2025-02-28,21.19,21.28,21.06,21.2,237900
2025-02-27,21.15,21.32,20.99,21.12,210700
2025-02-26,21.27,21.28,21.09,21.23,243700
2025-02-25,21.07,21.39,20.95,21.33,174200
2025-02-24,20.92,21.17,20.76,20.97,135200
2025-02-21,21.18,21.18,20.73,20.81,120200
2025-02-20,20.69,21.08,20.69,21.02,124700
2025-02-19,20.59,20.89,20.58,20.81,106300
2025-02-18,20.51,20.74,20.46,20.68,120600
2025-02-14,20.61,20.74,20.41,20.48,108500
2025-02-13,20.39,20.62,20.25,20.53,139300
2025-02-12,20.37,20.43,20.24,20.33,115400
2025-02-11,20.39,20.65,20.38,20.62,103300
2025-02-10,20.43,20.65,20.42,20.42,111500
2025-02-07,20.69,20.69,20.35,20.43,151600
2025-02-06,20.75,20.81,20.6,20.64,131800
2025-02-05,20.68,20.82,20.57,20.75,112000
2025-02-04,20.4,20.77,20.39,20.72,113300
2025-02-03,20.4,20.67,20.35,20.48,198000
2025-01-31,20.64,20.96,20.59,20.75,141400
2025-01-30,20.7,20.87,20.64,20.71,77400
2025-01-29,20.73,20.91,20.51,20.66,66700
2025-01-28,20.96,21.09,20.7,20.73,103400
2025-01-27,20.79,21.05,20.66,20.92,142900
2025-01-24,20.66,20.79,20.51,20.75,91200
2025-01-23,20.5,20.7,20.47,20.66,117700
2025-01-22,21.02,21.15,20.53,20.56,156700
2025-01-21,20.75,21.1,20.75,21.07,202600
2025-01-17,20.91,20.91,20.67,20.7,128500
2025-01-16,20.64,20.82,20.6,20.73,125400
2025-01-15,20.78,20.83,20.59,20.73,103400
2025-01-14,20.32,20.57,20.29,20.52,106300
2025-01-13,20.08,20.36,20.07,20.32,105000
2025-01-10,20.4,20.4,19.76,20.2,205000
2025-01-08,20.5,20.83,20.37,20.75,141300
2025-01-07,21.05,21.12,20.59,20.59,161800
2025-01-06,21.14,21.22,20.88,20.89,102300
2025-01-03,21.01,21.3,20.84,21.23,75300
2025-01-02,21.23,21.44,20.82,20.95,98000
2024-12-31,21.46,21.47,21.04,21.09,107400
2024-12-30,21.01,21.33,20.83,21.29,103100
2024-12-27,21.26,21.38,20.91,21.05,99500
2024-12-26,21.0,21.38,20.95,21.35,102000
2024-12-24,20.91,21.15,20.89,21.06,60300
2024-12-23,21.0,21.0,20.58,20.83,121100
2024-12-20,20.64,21.03,20.52,20.68,361100
2024-12-19,20.83,21.32,20.61,21.03,119300
2024-12-18,21.35,21.72,20.77,20.86,148300
2024-12-17,21.51,21.51,21.22,21.28,146600
