datetime,open,high,low,close,volume
2025-04-01,6.13,6.26,6.06,6.19,623000
2025-03-31,6.15,6.305,6.081,6.2,735200
2025-03-28,6.55,6.55,6.265,6.3,807400
2025-03-27,6.28,6.555,6.205,6.54,846500
2025-03-26,6.36,6.41,6.27,6.3,1075100
2025-03-25,6.37,6.43,6.29,6.37,1414300
2025-03-24,6.52,6.55,6.341,6.4,783900
2025-03-21,6.48,6.645,6.36,6.4,1353800
2025-03-20,6.79,6.86,6.575,6.58,698100
2025-03-19,6.78,6.985,6.75,6.93,1309700
2025-03-18,6.64,6.745,6.625,6.69,622800
2025-03-17,6.73,6.92,6.69,6.69,855200
2025-03-14,6.67,6.81,6.59,6.74,784200
2025-03-13,6.61,6.73,6.565,6.58,766200
2025-03-12,6.8,6.81,6.531,6.59,1106000
2025-03-11,6.78,6.82,6.57,6.72,896200
2025-03-10,6.89,7.09,6.67,6.71,904100
2025-03-07,7.0,7.21,6.9,6.99,1188100
2025-03-06,6.75,7.005,6.75,6.94,1003600
2025-03-05,6.7,6.85,6.63,6.8,1518300
2025-03-04,6.33,6.73,6.21,6.59,2360300
2025-03-03,6.74,6.9,6.45,6.47,2389800
2025-02-28,6.87,6.985,6.73,6.79,1844400
2025-02-27,7.46,7.62,6.705,6.93,3587500
2025-02-26,8.12,8.34,8.005,8.1,1268900
2025-02-25,8.14,8.33,8.14,8.21,570700
2025-02-24,8.16,8.26,8.08,8.09,518400
2025-02-21,8.42,8.53,8.08,8.1,619000
2025-02-20,8.35,8.5,8.3,8.31,531800
2025-02-19,8.29,8.475,8.29,8.39,465700
2025-02-18,8.2,8.455,8.2,8.42,662400
2025-02-14,8.23,8.42,8.2,8.21,397300
2025-02-13,8.19,8.25,8.15,8.2,461300
2025-02-12,7.97,8.16,7.96,8.13,505800
2025-02-11,8.03,8.19,7.97,8.12,630500
2025-02-10,8.01,8.045,7.885,7.99,945400
2025-02-07,7.99,7.995,7.78,7.85,1098900
2025-02-06,8.0,8.08,7.94,7.99,592400
2025-02-05,7.94,7.975,7.89,7.94,455200
2025-02-04,7.72,7.93,7.68,7.92,541000
2025-02-03,7.62,7.775,7.585,7.7,610300
2025-01-31,7.8,7.87,7.71,7.76,742200
2025-01-30,7.92,7.92,7.8,7.83,320300
2025-01-29,7.69,7.92,7.63,7.87,514100
2025-01-28,7.72,7.905,7.66,7.67,580100
2025-01-27,7.79,7.85,7.635,7.72,559300
2025-01-24,7.6,7.89,7.6,7.76,536700
2025-01-23,7.74,7.87,7.74,7.85,419000
2025-01-22,7.93,7.975,7.785,7.8,361300
2025-01-21,7.9,8.035,7.885,7.98,781500
