datetime,open,high,low,close,volume
2025-04-01,106.52,109.0,106.19,108.91,430600
2025-03-31,105.82,107.96,104.47,106.85,403000
2025-03-28,109.45,110.7,105.67,107.13,308500
2025-03-27,109.49,110.79,108.02,110.06,343200
2025-03-26,108.71,110.32,108.43,109.62,255300
2025-03-25,108.89,109.97,107.37,108.55,299700
2025-03-24,109.25,110.64,108.52,108.6,707100
2025-03-21,107.36,109.1,106.83,108.01,793500
2025-03-20,107.5,108.77,107.28,108.39,472800
2025-03-19,105.58,107.9,104.25,107.81,440900
2025-03-18,104.44,106.96,104.44,105.72,829600
2025-03-17,101.8,106.01,101.4,105.07,595500
2025-03-14,102.03,103.21,101.74,102.3,500600
2025-03-13,99.07,102.05,99.07,100.91,790700
2025-03-12,99.81,100.25,97.57,99.4,522500
2025-03-11,103.0,103.24,99.23,99.68,722600
2025-03-10,100.49,105.18,100.49,103.49,843800
2025-03-07,97.7,102.18,97.68,101.97,553300
2025-03-06,95.47,98.2,95.19,98.1,360000
2025-03-05,95.97,97.73,95.12,96.99,266800
2025-03-04,98.12,98.33,94.08,95.73,318800
2025-03-03,102.76,103.16,98.67,99.3,328500
2025-02-28,100.88,102.74,100.76,102.46,435800
2025-02-27,99.84,102.16,99.84,100.92,309200
2025-02-26,102.86,103.1,99.6,99.73,370500
2025-02-25,102.35,103.06,100.62,102.84,440200
2025-02-24,101.53,102.3,99.57,101.81,554300
2025-02-21,106.37,106.37,101.15,101.39,489400
2025-02-20,108.73,108.89,105.91,106.04,284800
2025-02-19,109.57,110.83,107.86,108.59,562800
2025-02-18,105.23,110.0,104.96,109.88,545200
2025-02-14,104.48,105.21,101.07,104.64,587300
2025-02-13,104.0,108.93,102.03,103.91,1206900
2025-02-12,95.08,95.48,94.2,94.42,517500
2025-02-11,96.26,96.45,95.24,95.84,318600
2025-02-10,97.45,97.82,96.41,96.69,533600
2025-02-07,97.23,97.95,96.11,96.98,270800
2025-02-06,100.31,100.31,96.7,97.23,439600
2025-02-05,99.59,100.42,95.5,99.5,384700
2025-02-04,97.37,99.06,96.76,98.94,317700
2025-02-03,97.01,98.87,96.22,97.67,293900
2025-01-31,99.15,99.99,97.59,98.5,264900
2025-01-30,98.3,99.89,98.3,99.07,166900
2025-01-29,98.0,98.45,96.91,97.59,182200
2025-01-28,98.3,98.6,97.49,98.0,161300
2025-01-27,98.33,99.82,98.05,98.86,279300
2025-01-24,96.77,98.65,96.23,98.34,387600
2025-01-23,98.09,98.14,96.49,96.78,261700
2025-01-22,99.14,99.76,97.57,98.15,172500
2025-01-21,100.21,100.61,98.7,99.32,160700
2025-01-17,100.56,100.74,98.76,99.52,181000
2025-01-16,99.15,100.33,98.47,99.82,256100
2025-01-15,100.0,100.37,97.76,99.31,275000
2025-01-14,98.63,98.97,97.17,97.95,157400
2025-01-13,96.96,98.25,96.18,98.23,149000
2025-01-10,98.29,99.07,96.21,97.21,209900
2025-01-08,99.2,100.06,98.38,99.9,186900
2025-01-07,100.64,101.56,99.03,100.02,229300
