datetime,open,high,low,close,volume
2025-04-01,22.82,22.9,22.82,22.9,1903
2025-03-31,22.92,22.9346,22.69,22.69,11486
2025-03-28,23.12,23.2,23.0637,23.2,8675
2025-03-27,23.21,23.21,23.12,23.12,684
2025-03-26,23.13,23.13,23.12,23.12,1788
2025-03-25,23.1603,23.2,23.11,23.13,6390
2025-03-24,23.15,23.325,23.15,23.2,7262
2025-03-21,23.25,23.35,23.1007,23.149,12111
2025-03-20,23.1322,23.2,22.85,23.15,33955
2025-03-19,22.9974,22.9974,22.8945,22.9383,6122
2025-03-18,23.0,23.1085,22.8907,22.91,8402
2025-03-17,23.0,23.1,22.9609,22.99,6415
2025-03-14,22.915,22.9948,22.915,22.9934,3023
2025-03-13,23.0,23.16,22.9745,22.9845,6646
2025-03-12,23.063,23.063,22.93,23.0,4695
2025-03-11,23.0229,23.05,22.9,22.9,5595
2025-03-10,23.15,23.15,23.0024,23.02,10486
2025-03-07,23.17,23.178,23.1146,23.15,8819
2025-03-06,23.2427,23.2427,23.1665,23.1891,1033
2025-03-05,23.1817,23.3,23.18,23.24,4599
2025-03-04,23.1292,23.32,23.1292,23.32,2424
2025-03-03,23.3,23.3587,23.16,23.32,8398
2025-02-28,23.08,23.2,23.0553,23.2,14486
2025-02-27,23.0712,23.18,22.9731,23.18,2726
2025-02-26,23.0,23.14,22.85,22.86,2757
2025-02-25,22.87,23.0,22.87,23.0,3970
2025-02-24,22.85,22.91,22.8001,22.91,2453
2025-02-21,22.9985,23.0,22.91,22.96,3256
2025-02-20,22.9523,23.0,22.9243,22.9501,5805
2025-02-19,22.85,22.9867,22.85,22.89,3032
2025-02-18,23.02,23.02,22.8501,23.0,7968
2025-02-14,23.05,23.05,22.925,23.0,3135
2025-02-13,23.04,23.05,22.9678,23.04,7914
2025-02-12,22.99,23.04,22.81,22.92,3357
2025-02-11,23.04,23.05,22.8501,23.0499,2202
2025-02-10,22.9,23.05,22.8501,23.05,1845
2025-02-07,23.04,23.05,22.97,22.98,3797
2025-02-06,23.0199,23.0199,22.884,23.012,4067
2025-02-05,22.8551,22.87,22.8551,22.87,1581
2025-02-04,22.77,22.88,22.77,22.88,1373
2025-02-03,22.8,22.8555,22.55,22.66,14335
2025-01-31,22.9,23.05,22.4,22.48,68131
2025-01-30,23.1765,23.1765,22.94,22.94,1569
2025-01-29,22.9499,23.12,22.94,23.12,2041
2025-01-28,22.91,23.01,22.9,22.9,2653
2025-01-27,22.92,23.005,22.9,22.9101,3533
2025-01-24,23.01,23.01,22.9082,22.92,2060
2025-01-23,22.91,23.02,22.91,22.92,4206
2025-01-22,22.91,23.13,22.91,22.92,5841
2025-01-21,22.9748,23.19,22.83,22.97,1799
2025-01-17,22.97,22.9734,22.8,22.87,1882
2025-01-16,22.91,23.0,22.8,22.81,3478
2025-01-15,23.0777,23.0999,22.87,23.0825,1514
2025-01-14,22.93,22.93,22.7344,22.85,2391
2025-01-13,22.75,22.9171,22.7487,22.83,2056
2025-01-10,22.98,23.0704,22.75,22.75,708
2025-01-08,22.75,23.27,22.75,23.27,3952
2025-01-07,22.9,22.92,22.85,22.92,1959
2025-01-06,22.98,23.1,22.98,23.05,1516
2025-01-03,23.04,23.04,23.0193,23.02,1131
2025-01-02,23.18,23.18,23.12,23.15,1314
2024-12-31,22.65,23.45,22.65,23.12,35702
2024-12-30,22.99,23.245,22.99,23.15,5234
2024-12-27,23.18,23.1914,23.05,23.05,5537
2024-12-26,23.05,23.05,22.94,23.0493,3180
