datetime,open,high,low,close,volume
2025-04-01,18.68,18.915,18.68,18.85,2100
2025-03-31,18.742,18.742,18.742,18.742,100
2025-03-28,18.8,18.81,18.8,18.81,1300
2025-03-27,18.7,18.8,18.6,18.77,4000
2025-03-26,18.75,18.81,18.61,18.705,3000
2025-03-25,18.715,18.8,18.715,18.8,1700
2025-03-24,18.864,18.864,18.675,18.78,2700
2025-03-21,18.84,18.84,18.84,18.84,0
2025-03-20,18.961,18.961,18.84,18.84,400
2025-03-19,18.77,18.78,18.74,18.74,1200
2025-03-18,18.87,18.96,18.744,18.744,3600
2025-03-17,18.91,18.98,18.87,18.87,800
2025-03-14,18.81,18.81,18.81,18.81,300
2025-03-13,18.92,18.95,18.65,18.89,5900
2025-03-12,18.79,18.92,18.79,18.92,3900
2025-03-11,18.9,18.9,18.77,18.87,1200
2025-03-10,18.86,18.86,18.6,18.6,6100
2025-03-07,19.1,19.33,18.86,18.86,9700
2025-03-06,19.42,19.42,19.1,19.1,1300
2025-03-05,19.42,19.42,19.21,19.21,1200
2025-03-04,19.44,19.44,19.31,19.31,1100
2025-03-03,19.45,19.45,19.06,19.42,5900
2025-02-28,19.42,19.5,19.42,19.5,1500
2025-02-27,19.58,19.69,19.58,19.68,1200
2025-02-26,19.524,19.524,19.475,19.475,2400
2025-02-25,19.59,19.68,19.45,19.671,2500
2025-02-24,19.63,19.63,19.425,19.57,11000
2025-02-21,19.7,19.77,19.63,19.67,7300
2025-02-20,19.86,19.86,19.69,19.69,4100
2025-02-19,19.83,19.83,19.83,19.83,800
2025-02-18,20.03,20.04,19.69,20.04,2100
2025-02-14,19.85,20.414,19.85,20.41,1300
2025-02-13,19.85,19.85,19.85,19.85,1300
2025-02-12,19.69,19.69,19.69,19.69,800
2025-02-11,19.97,19.97,19.78,19.78,4100
2025-02-10,19.85,19.883,19.85,19.883,600
2025-02-07,20.03,20.03,20.0,20.03,1100
2025-02-06,20.04,20.04,19.88,19.88,900
2025-02-05,20.1,20.178,19.98,19.98,3400
2025-02-04,19.69,19.69,19.69,19.69,0
2025-02-03,19.95,19.95,19.69,19.69,800
2025-01-31,19.86,20.0,19.64,19.66,7700
2025-01-30,20.207,20.28,19.95,19.95,2400
2025-01-29,19.93,20.16,19.93,20.16,2100
2025-01-28,19.82,20.13,19.82,19.975,1900
2025-01-27,19.75,19.97,19.75,19.97,3500
2025-01-24,19.61,19.75,19.52,19.75,2200
2025-01-23,19.5,19.8,19.43,19.63,1100
2025-01-22,19.43,20.07,19.42,19.5,4700
2025-01-21,19.05,19.425,18.82,19.425,3100
2025-01-17,19.05,19.303,19.05,19.303,2200
2025-01-16,18.98,19.01,18.98,19.01,1300
2025-01-15,19.025,19.3,18.99,18.99,1700
2025-01-14,18.99,18.99,18.75,18.903,3000
2025-01-13,18.94,18.94,18.71,18.83,2600
2025-01-10,18.76,18.94,18.2,18.94,2200
2025-01-08,18.76,18.98,18.445,18.92,6000
2025-01-07,18.62,18.77,18.62,18.76,5600
2025-01-06,19.21,19.21,18.66,18.66,7800
2025-01-03,19.21,19.3,19.14,19.15,2200
2025-01-02,19.6,19.6,19.18,19.34,5400
2024-12-31,19.55,19.735,19.37,19.735,2700
2024-12-30,19.55,19.66,19.55,19.55,2800
2024-12-27,19.529,19.98,19.32,19.59,8300
2024-12-26,19.6,19.83,19.6,19.68,2100
2024-12-24,19.98,19.98,19.98,19.98,200
2024-12-23,19.923,20.2,19.923,19.99,4400
2024-12-20,19.75,20.02,19.75,20.01,1400
2024-12-19,19.916,20.1,19.89,20.1,1400
2024-12-18,20.25,20.365,19.91,19.93,5700
2024-12-17,20.33,20.481,20.22,20.481,1700
2024-12-16,20.53,20.53,20.32,20.33,1500
2024-12-13,20.34,20.46,20.34,20.46,1400
2024-12-12,20.65,20.69,20.26,20.45,3100
2024-12-11,20.55,20.64,20.55,20.565,4300
2024-12-10,20.48,20.682,20.48,20.55,3200
2024-12-09,20.35,20.74,20.35,20.72,11000
2024-12-06,20.59,20.59,20.41,20.41,6000
2024-12-05,20.45,20.55,20.43,20.55,1700
2024-12-04,20.425,20.52,20.425,20.52,2100
2024-12-03,20.47,20.47,20.47,20.47,0
2024-12-02,20.47,20.47,20.47,20.47,300
2024-11-29,20.54,20.73,20.3,20.45,5000
2024-11-27,20.5,20.5,20.5,20.5,0
2024-11-26,20.5,20.5,20.5,20.5,300
2024-11-25,20.63,20.85,20.35,20.36,1600
2024-11-22,20.496,20.496,20.496,20.496,600
2024-11-21,20.26,20.6,20.26,20.5,3100
2024-11-20,20.39,20.46,20.3,20.3,12800
2024-11-19,20.44,20.5,20.32,20.4,4000
2024-11-18,20.7,20.82,20.31,20.31,5300
2024-11-15,20.7,20.7,20.7,20.7,600
2024-11-14,20.894,20.894,20.63,20.63,400
2024-11-13,20.7,20.71,20.5,20.55,7700
2024-11-12,20.65,20.83,20.56,20.56,3100
2024-11-11,20.94,21.0,20.93,21.0,1900
