datetime,open,high,low,close,volume
2025-04-01,25.01,25.01,25.004,25.01,3000
2025-03-31,25.05,25.08,25.0,25.07,11900
2025-03-28,25.02,25.03,25.002,25.03,2400
2025-03-27,25.0,25.0,25.0,25.0,5800
2025-03-26,25.0,25.0,24.948,25.0,2300
2025-03-25,24.94,24.99,24.92,24.985,2700
2025-03-24,24.88,25.0,24.88,24.89,800
2025-03-21,24.95,24.993,24.92,24.938,2900
2025-03-20,24.96,24.981,24.89,24.93,6400
2025-03-19,25.01,25.01,24.86,24.86,13300
2025-03-18,25.0,25.0,24.914,25.0,11400
2025-03-17,24.944,24.99,24.944,24.95,11800
2025-03-14,24.95,24.95,24.81,24.913,7300
2025-03-13,24.95,24.95,24.9,24.91,3500
2025-03-12,24.91,24.941,24.91,24.92,4000
2025-03-11,25.0,25.0,24.8,24.89,13900
2025-03-10,25.044,25.063,25.009,25.01,5900
2025-03-07,25.07,25.07,25.01,25.03,5700
2025-03-06,25.04,25.04,25.01,25.01,1600
2025-03-05,25.098,25.15,25.0,25.01,7800
2025-03-04,25.075,25.14,25.02,25.14,4400
2025-03-03,25.05,25.05,25.0,25.01,9800
2025-02-28,25.06,25.06,24.997,25.01,5500
2025-02-27,24.97,25.14,24.97,25.01,6300
2025-02-26,25.05,25.05,24.95,24.99,10300
2025-02-25,25.013,25.116,24.95,25.07,1500
2025-02-24,24.945,24.96,24.93,24.95,4900
2025-02-21,24.95,24.975,24.94,24.95,3800
2025-02-20,24.9,24.976,24.89,24.95,11300
2025-02-19,25.026,25.026,24.87,24.9,25600
2025-02-18,25.01,25.05,24.97,25.0,9700
2025-02-14,25.002,25.035,24.96,24.98,3400
2025-02-13,24.92,24.99,24.92,24.979,2100
2025-02-12,24.97,25.06,24.73,24.86,22000
2025-02-11,24.98,24.98,24.95,24.97,6900
2025-02-10,24.96,24.98,24.93,24.97,23600
2025-02-07,25.03,25.1,25.03,25.1,12300
2025-02-06,25.05,25.05,25.05,25.05,500
2025-02-05,25.035,25.035,25.001,25.01,4700
2025-02-04,25.05,25.05,25.01,25.01,6700
2025-02-03,25.05,25.05,24.99,25.043,4600
2025-01-31,25.05,25.05,25.011,25.011,1400
2025-01-30,24.987,25.09,24.98,24.985,8200
2025-01-29,24.93,24.948,24.863,24.94,18900
2025-01-28,25.01,25.05,24.786,24.95,14100
2025-01-27,24.99,25.015,24.94,24.99,11000
2025-01-24,24.98,25.01,24.95,25.01,12500
