datetime,open,high,low,close,volume
2025-04-01,4.533,4.6,4.08,4.33,27800
2025-03-31,4.82,4.82,4.41,4.63,20900
2025-03-28,4.88,5.074,4.71,4.85,23400
2025-03-27,4.87,5.07,4.61,4.88,70000
2025-03-26,4.77,5.28,4.68,5.1,94500
2025-03-25,4.8,4.98,4.635,4.91,59300
2025-03-24,4.88,5.25,4.8,4.89,166300
2025-03-21,7.4,7.98,4.67,4.93,5245300
2025-03-20,6.64,8.17,5.81,6.4,1420000
2025-03-19,4.83,5.74,4.83,5.64,192000
2025-03-18,4.23,5.32,4.12,4.7,204500
2025-03-17,4.16,4.38,4.1,4.235,62500
2025-03-14,3.93,4.32,3.93,4.18,58400
2025-03-13,4.11,4.5,3.91,3.92,74300
2025-03-12,4.71,4.82,3.88,4.11,76100
2025-03-11,5.05,5.39,4.62,4.71,103600
2025-03-10,4.68,6.03,4.41,5.16,158400
2025-03-07,4.62,5.32,4.389,5.04,80157
2025-03-06,6.223,6.223,4.578,5.061,215171
2025-03-05,8.26,8.715,8.19,8.61,13343
2025-03-04,8.12,8.47,7.98,8.4,18843
2025-03-03,9.03,9.24,8.4,8.47,15029
2025-02-28,8.4,9.1,8.33,8.715,36371
2025-02-27,8.89,8.96,8.26,8.33,25814
2025-02-26,8.4,9.31,8.26,8.75,43071
2025-02-25,9.17,9.59,8.12,8.47,62900
2025-02-24,11.41,11.69,10.71,10.99,37443
2025-02-21,11.48,11.97,11.2,11.55,52557
2025-02-20,11.83,11.9,11.34,11.41,25800
2025-02-19,11.62,12.18,11.62,11.9,34500
2025-02-18,12.18,12.25,11.62,11.62,50014
2025-02-14,11.83,12.25,11.781,11.9,23186
2025-02-13,11.9,12.32,11.76,11.9,32871
2025-02-12,11.55,12.565,11.186,12.25,42514
2025-02-11,11.83,12.18,11.578,11.9,36357
2025-02-10,13.23,13.23,11.83,11.97,71500
2025-02-07,13.44,13.51,13.02,13.16,78586
2025-02-06,12.6,13.23,12.25,12.95,91457
2025-02-05,12.46,12.53,11.83,12.25,50200
2025-02-04,12.74,12.922,11.655,12.18,163971
2025-02-03,11.9,12.6,11.795,12.11,60529
2025-01-31,11.76,12.39,11.48,11.97,126129
2025-01-30,11.27,12.39,11.27,11.9,365400
2025-01-29,13.23,13.37,11.83,12.11,107071
2025-01-28,14.0,14.266,13.02,13.44,107529
2025-01-27,13.86,14.7,11.76,14.35,533271
2025-01-24,27.72,28.49,19.46,21.7,11029171
2025-01-23,14.07,14.35,13.65,13.86,20643
2025-01-22,14.77,14.77,14.07,14.07,18443
2025-01-21,15.19,15.19,14.308,14.77,28171
2025-01-17,14.91,15.12,14.49,14.91,17800
2025-01-16,15.33,15.54,14.42,15.05,14829
2025-01-15,15.4,15.68,14.385,15.12,31929
2025-01-14,14.63,16.8,14.14,16.17,115971
2025-01-13,14.07,15.19,13.72,14.63,28657
2025-01-10,14.7,14.98,14.0,14.42,34614
2025-01-08,16.38,16.38,14.49,14.77,48243
2025-01-07,16.24,17.283,15.61,16.38,52943
2025-01-06,17.15,17.85,16.135,16.24,64486
2025-01-03,17.57,18.2,17.01,17.36,52914
2025-01-02,16.94,18.76,16.31,17.36,136543
2024-12-31,16.8,17.01,15.61,16.03,73971
2024-12-30,16.24,17.15,15.624,16.66,64443
2024-12-27,16.66,17.43,16.142,17.08,44114
2024-12-26,16.45,17.43,15.176,16.87,61029
2024-12-24,18.06,18.06,15.75,16.45,54400
