datetime,open,high,low,close,volume
2025-04-01,87.99,88.53,87.14,88.08,1097400
2025-03-31,86.5,88.56,85.84,88.11,1345300
2025-03-28,89.28,89.28,86.5,87.05,880800
2025-03-27,89.01,89.55,87.78,88.92,1169800
2025-03-26,89.73,90.31,89.0,89.55,865400
2025-03-25,90.25,90.95,89.06,89.34,1437900
2025-03-24,89.35,90.63,88.57,90.09,1291500
2025-03-21,88.67,89.38,87.42,88.69,2389900
2025-03-20,90.32,91.27,89.5,89.88,998100
2025-03-19,91.17,92.19,90.76,91.38,1006600
2025-03-18,90.99,91.88,90.33,91.27,875300
2025-03-17,89.68,91.67,89.68,91.16,1133300
2025-03-14,91.41,92.06,90.26,91.08,921500
2025-03-13,92.41,94.11,89.61,90.54,1106600
2025-03-12,95.01,95.71,92.33,92.41,1095800
2025-03-11,97.08,97.08,93.2,94.53,1250300
2025-03-10,97.85,99.89,96.19,97.05,800900
2025-03-07,96.35,99.19,96.07,98.79,870500
2025-03-06,97.5,98.07,96.15,96.94,961500
2025-03-05,93.61,98.22,93.61,97.73,1170700
2025-03-04,93.89,94.44,92.18,93.11,1129600
2025-03-03,98.51,99.19,94.09,94.46,1054100
2025-02-28,97.06,98.55,96.95,97.85,866500
2025-02-27,97.58,98.19,96.77,96.9,803500
2025-02-26,99.65,100.3,98.01,98.19,858100
2025-02-25,98.74,100.14,98.05,98.93,762400
2025-02-24,98.86,99.19,97.73,98.23,798100
2025-02-21,101.0,101.0,98.6,98.72,727000
2025-02-20,101.18,101.81,99.88,100.56,678900
2025-02-19,101.43,102.91,100.84,101.26,976200
2025-02-18,101.15,103.82,100.88,103.47,1123500
2025-02-14,102.07,102.49,100.95,101.01,829300
2025-02-13,101.72,102.16,100.95,101.58,744400
2025-02-12,99.54,102.13,99.38,101.28,1267400
2025-02-11,99.24,101.0,99.24,100.75,949000
2025-02-10,99.86,99.86,98.63,99.06,942400
2025-02-07,101.01,101.01,99.16,99.22,915500
2025-02-06,102.0,102.41,100.41,101.26,982500
2025-02-05,101.35,102.84,100.83,101.79,1223200
2025-02-04,102.32,102.93,101.54,101.79,1624100
2025-02-03,97.65,102.22,96.54,100.79,2240700
2025-01-31,100.93,101.44,97.35,99.65,2852300
2025-01-30,92.55,92.67,90.75,92.67,1381800
2025-01-29,92.34,93.51,92.29,92.7,635000
2025-01-28,93.52,94.43,92.06,92.67,862900
2025-01-27,92.74,93.53,91.78,93.41,1248300
2025-01-24,93.14,93.52,91.88,92.13,883000
2025-01-23,92.12,93.45,91.76,93.13,1033900
2025-01-22,94.06,94.29,91.96,92.18,955800
2025-01-21,93.52,94.85,93.05,94.38,974900
2025-01-17,92.3,94.13,92.05,93.21,948400
2025-01-16,92.0,92.14,90.78,91.74,746000
2025-01-15,93.89,94.22,91.06,92.0,1419800
2025-01-14,90.15,92.19,89.9,91.97,1036500
2025-01-13,87.24,89.15,87.1,89.12,1123900
2025-01-10,87.14,88.31,86.7,87.24,1176200
2025-01-08,87.93,88.68,86.91,88.18,821900
