datetime,open,high,low,close,volume
2025-04-01,91.29,93.25,90.96,92.48,305500
2025-03-31,91.72,92.64,91.09,91.58,348500
2025-03-28,94.07,94.45,92.51,93.11,194700
2025-03-27,96.74,96.74,94.61,94.74,271400
2025-03-26,97.61,98.17,96.01,96.42,209900
2025-03-25,98.31,98.6,96.73,97.57,244400
2025-03-24,97.18,99.52,97.06,98.25,319100
2025-03-21,95.95,96.59,94.66,96.26,1833500
2025-03-20,95.92,97.68,95.54,97.19,379100
2025-03-19,97.72,98.22,96.71,96.97,377200
2025-03-18,96.79,98.84,96.11,97.63,288500
2025-03-17,95.53,98.05,95.53,97.04,381600
2025-03-14,94.97,95.59,94.12,95.52,272400
2025-03-13,95.51,95.51,93.67,93.98,400400
2025-03-12,98.7,98.86,95.29,95.95,459000
2025-03-11,99.51,100.05,97.45,98.5,419200
2025-03-10,100.01,101.72,99.37,99.78,348200
2025-03-07,100.24,101.57,99.75,101.23,253200
2025-03-06,99.14,100.92,99.1,100.5,264400
2025-03-05,99.04,100.58,98.76,100.25,290200
2025-03-04,97.49,99.98,97.01,98.39,261600
2025-03-03,101.74,103.02,98.03,98.79,249900
2025-02-28,101.83,101.83,99.53,101.49,383000
2025-02-27,102.65,103.67,101.95,102.19,384500
2025-02-26,102.0,103.37,101.93,103.2,403000
2025-02-25,101.01,102.87,100.01,101.96,359400
2025-02-24,102.07,102.45,99.56,100.98,382800
2025-02-21,103.53,103.56,101.44,102.1,371100
2025-02-20,101.5,103.19,100.38,102.69,256400
2025-02-19,99.99,102.12,99.68,101.56,260300
2025-02-18,99.66,101.73,99.66,100.91,268800
2025-02-14,103.07,103.13,98.73,99.33,484300
2025-02-13,101.16,102.52,100.52,102.08,251600
2025-02-12,100.36,101.27,100.0,100.37,290200
2025-02-11,100.03,101.67,99.63,101.43,248300
2025-02-10,99.91,101.58,99.27,100.8,417400
2025-02-07,97.33,100.15,96.91,99.72,519100
2025-02-06,92.0,96.87,90.76,96.46,526000
2025-02-05,93.83,94.9,93.39,94.75,263900
2025-02-04,93.5,94.67,93.18,93.84,200200
2025-02-03,94.54,94.93,93.14,93.61,301900
2025-01-31,98.11,98.54,96.61,97.07,241500
2025-01-30,98.04,99.45,97.67,98.18,158900
2025-01-29,96.21,97.91,96.21,97.15,181300
2025-01-28,98.14,98.14,95.51,96.12,222800
2025-01-27,98.6,99.3,97.44,98.67,324500
2025-01-24,100.23,100.23,99.05,99.63,173800
2025-01-23,99.1,100.52,98.75,100.23,259300
2025-01-22,100.83,101.29,98.91,99.86,299200
2025-01-21,98.97,101.04,97.93,100.69,482600
2025-01-17,96.49,98.92,95.91,98.26,334100
2025-01-16,94.04,94.95,93.35,94.28,217600
2025-01-15,94.19,94.27,93.29,93.79,207200
2025-01-14,91.96,93.16,91.34,92.64,288800
2025-01-13,88.7,91.5,88.5,91.42,335100
2025-01-10,90.75,91.04,89.34,89.62,471700
2025-01-08,92.76,92.76,91.67,92.24,306200
2025-01-07,93.45,94.17,92.96,93.75,210300
2025-01-06,94.24,95.36,93.37,93.64,242500
2025-01-03,92.73,94.26,91.96,94.06,160700
2025-01-02,93.0,93.5,91.6,92.09,216400
2024-12-31,92.83,93.69,91.83,92.43,321300
2024-12-30,92.21,93.54,91.48,92.84,246100
2024-12-27,92.93,94.02,91.88,92.68,136800
2024-12-26,92.34,94.21,92.21,93.71,140200
2024-12-24,91.55,92.82,91.06,92.69,91800
2024-12-23,92.03,92.46,91.38,91.71,214200
2024-12-20,91.58,94.39,91.33,92.46,1070900
2024-12-19,94.77,94.77,92.21,92.51,359700
2024-12-18,94.52,100.16,93.73,94.16,571100
2024-12-17,91.81,93.19,90.82,91.53,274300
2024-12-16,93.39,94.49,92.5,92.78,318700
2024-12-13,93.68,93.88,92.75,93.26,265300
2024-12-12,95.0,95.16,93.91,94.49,210600
2024-12-11,95.24,95.79,94.52,95.43,286300
2024-12-10,95.85,95.85,93.83,94.05,240400
2024-12-09,95.42,97.46,95.22,96.19,299500
2024-12-06,95.65,95.94,94.0,94.71,214000
2024-12-05,96.63,96.72,95.41,95.46,200200
2024-12-04,96.49,97.45,96.01,96.61,143600
2024-12-03,97.86,97.86,95.71,96.48,162700
2024-12-02,97.14,98.67,96.44,97.66,308400
2024-11-29,96.59,97.47,96.42,96.66,117800
2024-11-27,97.13,97.87,96.13,96.26,151200
2024-11-26,98.11,98.21,96.39,96.89,163500
2024-11-25,98.02,100.52,98.02,99.0,420300
2024-11-22,95.04,97.93,95.04,97.52,308800
2024-11-21,94.48,95.68,93.66,95.04,317400
2024-11-20,94.1,94.7,93.1,94.26,270000
2024-11-19,95.23,95.56,93.71,94.11,310300
2024-11-18,95.9,96.78,95.12,96.13,289900
2024-11-15,97.83,98.95,95.89,96.13,409800
2024-11-14,97.99,97.99,96.72,97.29,247700
2024-11-13,99.31,99.31,97.73,97.96,318100
2024-11-12,99.49,100.05,96.72,98.95,317600
2024-11-11,98.6,100.88,97.75,100.12,359900
2024-11-08,95.51,98.2,94.56,97.44,400000
2024-11-07,98.42,98.54,93.53,95.72,661700
2024-11-06,103.4,103.69,100.86,101.9,581700
2024-11-05,96.68,99.19,96.68,99.09,211700
2024-11-04,96.73,99.25,96.6,97.3,242800
2024-11-01,97.3,98.01,96.69,97.4,162500
2024-10-31,98.03,98.53,96.65,96.86,252800
2024-10-30,99.45,100.12,98.0,98.05,198100
2024-10-29,100.15,100.26,99.09,99.64,221400
2024-10-28,100.35,101.55,100.3,100.78,123100
2024-10-25,99.58,100.77,98.79,99.35,169400
2024-10-24,99.47,99.5,98.16,98.67,183400
2024-10-23,98.57,99.73,98.12,99.15,206700
2024-10-22,99.61,99.62,98.0,99.04,199100
2024-10-21,102.38,102.82,99.85,99.87,154700
2024-10-18,103.64,104.36,102.15,102.27,271700
2024-10-17,103.05,103.63,102.63,103.07,114600
2024-10-16,102.16,103.9,101.85,103.09,168700
2024-10-15,103.52,104.36,101.32,101.59,238100
2024-10-14,103.0,104.08,102.39,104.0,147000
2024-10-11,101.48,103.08,101.48,103.0,138300
2024-10-10,100.86,101.73,100.47,101.49,212000
2024-10-09,100.75,103.16,100.01,102.5,149200
2024-10-08,101.14,101.14,99.51,100.75,136400
2024-10-07,99.71,100.96,99.49,100.84,168200
2024-10-04,99.94,101.62,99.57,100.43,165900
2024-10-03,98.57,99.19,97.75,98.26,145700
2024-10-02,99.06,99.16,98.01,98.77,168500
2024-10-01,101.47,101.47,99.46,99.7,178000
2024-09-30,101.05,102.12,100.42,102.05,211600
2024-09-27,102.91,103.6,101.46,101.58,238900
2024-09-26,101.05,102.58,101.05,101.5,209600
2024-09-25,100.34,100.84,99.17,99.49,194000
2024-09-24,100.0,100.79,99.1,100.2,192600
2024-09-23,102.86,102.86,99.09,99.29,282600
2024-09-20,102.43,102.43,101.52,102.14,642500
2024-09-19,103.44,103.44,101.49,102.5,210300
2024-09-18,101.68,103.0,100.74,101.0,328000
2024-09-17,101.11,101.46,100.65,101.16,291700
2024-09-16,99.5,100.25,98.86,100.14,177900
2024-09-13,99.03,99.29,98.06,99.01,261900
2024-09-12,96.84,98.07,95.75,97.88,190400
2024-09-11,95.05,96.73,94.25,96.46,358200
2024-09-10,95.6,95.92,94.61,95.75,356400
2024-09-09,96.24,97.8,95.64,95.69,350300
2024-09-06,98.23,98.56,96.19,96.31,254300
2024-09-05,98.68,98.95,97.38,98.26,237100
2024-09-04,97.98,99.38,97.98,98.54,237100
2024-09-03,99.73,100.2,98.25,98.5,336500
2024-08-30,101.04,101.45,100.22,101.33,234900
2024-08-29,99.15,101.11,98.67,100.23,239300
