datetime,open,high,low,close,volume
2025-04-01,3.74,4.015,3.7,4.01,4458400
2025-03-31,3.78,3.865,3.622,3.78,4229500
2025-03-28,3.96,4.01,3.84,3.94,3686200
2025-03-27,4.08,4.1,3.93,4.04,2797400
2025-03-26,4.18,4.21,4.02,4.12,3165900
2025-03-25,4.33,4.37,4.18,4.19,2536400
2025-03-24,4.5,4.58,4.34,4.35,3281500
2025-03-21,4.17,4.427,4.09,4.39,3668100
2025-03-20,4.4,4.58,4.25,4.26,3875700
2025-03-19,4.115,4.54,4.115,4.44,5178900
2025-03-18,4.12,4.155,3.93,4.1,2698500
2025-03-17,4.14,4.26,4.085,4.16,2807900
2025-03-14,4.07,4.2,4.04,4.13,3435300
2025-03-13,4.11,4.21,3.84,3.95,3939900
2025-03-12,4.12,4.176,4.0,4.11,4838800
2025-03-11,3.94,4.06,3.8,3.95,4562100
2025-03-10,4.44,4.44,3.84,3.94,8266500
2025-03-07,4.51,4.7,4.26,4.6,5707500
2025-03-06,4.725,4.9,4.44,4.53,7290200
2025-03-05,4.2,4.98,4.14,4.97,13082300
2025-03-04,3.84,4.08,3.66,3.94,6998700
2025-03-03,4.45,4.48,3.9,3.985,6734300
2025-02-28,3.97,4.475,3.92,4.37,5902600
2025-02-27,4.31,4.345,4.07,4.07,3066300
2025-02-26,4.12,4.47,4.1,4.28,5691700
2025-02-25,4.21,4.24,3.86,4.09,9055300
2025-02-24,4.47,4.48,4.125,4.26,6582500
2025-02-21,4.785,4.83,4.47,4.48,4967100
2025-02-20,4.63,4.805,4.38,4.75,8242800
2025-02-19,5.02,5.11,4.78,4.82,5355800
2025-02-18,4.898,5.01,4.68,4.98,5568500
2025-02-14,5.255,5.263,4.892,4.9,4032000
2025-02-13,5.005,5.28,4.91,5.23,4302300
2025-02-12,4.7,5.09,4.6,4.97,6987600
2025-02-11,5.21,5.42,4.81,4.91,12411400
2025-02-10,5.33,5.595,5.14,5.4,5977000
2025-02-07,5.48,5.72,5.3,5.33,4760300
2025-02-06,5.51,5.63,5.34,5.46,4531500
2025-02-05,5.97,6.08,5.33,5.39,8054600
2025-02-04,5.61,6.115,5.43,5.94,7367200
2025-02-03,5.36,5.8,5.29,5.61,4934900
2025-01-31,5.86,6.199,5.73,5.74,6099900
2025-01-30,5.54,6.28,5.54,5.81,11750100
2025-01-29,5.65,5.86,5.32,5.44,4876000
2025-01-28,5.885,5.99,5.265,5.68,8908300
2025-01-27,5.84,6.155,5.67,5.85,6663500
2025-01-24,6.25,6.64,5.97,6.08,7668700
2025-01-23,5.88,6.23,5.72,6.19,7878000
2025-01-22,5.77,5.91,5.581,5.84,5473700
2025-01-21,6.08,6.14,5.1,5.74,14775400
2025-01-17,6.14,6.47,5.92,6.02,9392600
2025-01-16,5.29,6.345,5.09,6.16,17837800
2025-01-15,4.68,5.265,4.655,5.2,9536100
2025-01-14,4.87,4.95,4.46,4.6,6435000
2025-01-13,4.75,4.79,4.495,4.74,8323900
2025-01-10,5.06,5.17,4.76,4.96,7841800
2025-01-08,5.3,5.39,4.96,5.18,9789700
2025-01-07,5.56,5.7,5.355,5.39,6291500
2025-01-06,5.79,6.01,5.48,5.52,10333500
2025-01-03,5.53,5.82,5.285,5.67,9043800
2025-01-02,4.98,5.7,4.941,5.53,13367200
2024-12-31,5.12,5.15,4.735,4.86,9691300
2024-12-30,5.08,5.27,4.87,5.14,8140700
2024-12-29,5.08,5.27,4.87,5.14,8123995
2024-12-27,5.3,5.42,5.065,5.17,11800600
2024-12-26,4.5,5.3,4.47,5.17,14564900
2024-12-25,4.5,5.3,4.47,5.17,14602663
2024-12-24,4.67,4.69,4.42,4.56,4092100
2024-12-23,4.6,4.805,4.42,4.64,9380200
2024-12-22,4.6,4.805,4.42,4.64,9380171
2024-12-20,4.211,4.68,4.08,4.57,14939100
2024-12-19,4.24,4.5,4.02,4.32,11440900
2024-12-18,4.33,4.6,4.0,4.04,17434600
2024-12-17,3.98,4.09,3.73,3.91,11843700
2024-12-16,3.41,4.15,3.36,4.04,21304600
2024-12-13,3.24,3.405,3.22,3.4,4907400
2024-12-12,3.22,3.405,3.16,3.25,5843000
2024-12-11,3.11,3.25,2.99,3.22,4941300
2024-12-10,3.28,3.28,3.05,3.07,5623000
2024-12-09,3.26,3.42,3.22,3.32,6177000
2024-12-06,3.12,3.27,3.1,3.21,8418200
2024-12-05,2.98,3.2,2.9,3.07,8293900
2024-12-04,2.94,3.15,2.895,2.97,7641300
2024-12-03,3.3,3.445,2.9,2.93,15926900
2024-12-02,2.97,2.98,2.82,2.89,4237200
2024-11-29,2.73,3.0,2.73,2.95,5469900
