datetime,open,high,low,close,volume
2025-04-01,20.714,20.72,20.37,20.38,3015
2025-03-31,20.6,20.65,20.19,20.65,4824
2025-03-28,20.7,20.725,20.63,20.661,4192
2025-03-27,20.95,20.95,20.75,20.85,2739
2025-03-26,20.95,20.96,20.88,20.96,1385
2025-03-25,21.01,21.2,20.8258,21.19,2138
2025-03-24,20.83,20.8899,20.77,20.8,2773
2025-03-21,20.76,20.76,20.71,20.71,684
2025-03-20,20.81,20.81,20.81,20.81,1239
2025-03-19,20.9,20.91,20.85,20.9,4748
2025-03-18,20.8393,20.9,20.77,20.9,2200
2025-03-17,20.66,20.91,20.66,20.805,2342
2025-03-14,21.04,21.06,20.605,20.64,4208
2025-03-13,20.99,21.0,20.85,20.85,4012
2025-03-12,20.9,20.9,20.52,20.8094,5649
2025-03-11,21.0,21.0,20.8,20.93,4027
2025-03-10,20.8284,20.9,20.67,20.85,1143
2025-03-07,20.89,20.98,20.83,20.98,1897
2025-03-06,20.84,20.84,20.59,20.6,10554
2025-03-05,21.175,21.175,20.5465,20.75,6592
2025-03-04,20.98,20.98,20.5302,20.81,4462
2025-03-03,21.1,21.3034,20.86,20.86,9274
2025-02-28,20.915,21.03,20.86,21.0,5922
2025-02-27,20.47,20.9402,20.4,20.86,11181
2025-02-26,20.43,20.84,20.43,20.8,5687
2025-02-25,20.185,20.51,20.185,20.48,1499
2025-02-24,20.1864,20.38,20.0115,20.24,13583
2025-02-21,20.0,20.24,20.0,20.2,2935
2025-02-20,19.88,20.1599,19.83,19.97,8326
2025-02-19,20.27,20.27,19.7,19.87,10053
2025-02-18,20.11,20.22,20.06,20.16,6335
2025-02-14,19.9842,20.2594,19.9842,20.085,1906
2025-02-13,19.6,20.06,19.54,20.0,62566
2025-02-12,19.56,19.7,19.4,19.6,24034
2025-02-11,19.78,19.78,19.7,19.71,3829
2025-02-10,20.05,20.5,19.65,19.83,6456
2025-02-07,20.0,20.04,20.0,20.04,6238
2025-02-06,19.99,19.99,19.62,19.99,10798
2025-02-05,19.73,20.4901,19.73,19.91,5937
2025-02-04,19.72,19.72,19.5,19.69,9542
2025-02-03,19.63,19.73,19.56,19.73,2656
2025-01-31,20.035,20.1397,19.84,19.84,3575
2025-01-30,20.33,20.4287,19.75,20.0,5339
2025-01-29,20.12,20.12,19.84,19.97,6898
2025-01-28,20.0,20.29,19.996,20.1,25125
2025-01-27,20.17,20.31,20.04,20.04,14117
2025-01-24,19.68,20.11,19.68,20.1,10153
2025-01-23,20.478,20.51,19.65,19.72,14754
2025-01-22,20.71,20.73,20.27,20.55,6586
2025-01-21,20.73,20.95,20.013,20.71,9714
2025-01-17,20.0,20.4798,20.0,20.18,2290
2025-01-16,20.5,20.5,20.18,20.2,2787
2025-01-15,19.58,20.41,19.58,20.41,26249
2025-01-14,19.49,19.49,19.08,19.43,18092
2025-01-13,19.6,19.6,19.02,19.4,33920
2025-01-10,19.67,19.67,19.46,19.46,22711
2025-01-08,20.04,20.0586,19.6127,19.85,12594
2025-01-07,19.9,20.12,19.9,19.92,10783
2025-01-06,19.98,20.05,19.91,20.0,24071
2025-01-03,19.83,20.12,19.801,19.96,8613
2025-01-02,20.06,20.49,19.77,20.12,4647
2024-12-31,20.51,20.51,19.49,19.75,61085
2024-12-30,20.52,20.52,20.12,20.4,8552
2024-12-27,20.42,20.75,20.42,20.52,8291
2024-12-26,20.65,20.65,20.11,20.5,12931
2024-12-24,20.66,20.71,20.48,20.71,3031
2024-12-23,21.14,21.14,20.25,20.66,11657
2024-12-20,20.96,20.97,20.96,20.97,919
2024-12-19,21.2515,21.2515,20.7,20.93,6288
2024-12-18,21.44,21.58,21.0101,21.0101,4221
2024-12-17,21.62,21.6665,21.4,21.53,7768
2024-12-16,21.89,22.02,21.2,21.44,24192
2024-12-13,21.5,21.5,21.19,21.4,3479
2024-12-12,21.64,22.14,21.31,21.57,12852
2024-12-11,22.0199,22.02,21.6,21.68,13473
2024-12-10,21.72,22.13,21.72,21.93,10131
2024-12-09,22.1,22.1489,21.74,21.85,23197
2024-12-06,22.03,22.24,22.0065,22.1001,2477
2024-12-05,22.0,22.08,22.0,22.03,1442
2024-12-04,21.8901,22.2046,21.8901,22.07,4407
2024-12-03,21.89,21.91,21.89,21.89,2615
2024-12-02,22.0,22.0678,22.0,22.065,1676
2024-11-29,22.237,22.25,22.23,22.25,905
2024-11-27,22.1746,22.18,22.04,22.0802,3981
2024-11-26,22.1,22.24,22.07,22.16,5223
2024-11-25,22.25,22.25,22.1,22.25,3578
2024-11-22,22.1,22.1561,22.0802,22.1,2887
2024-11-21,21.88,21.9534,21.8,21.9534,5311
2024-11-20,21.68,21.88,21.6,21.77,6002
2024-11-19,21.67,21.75,21.66,21.68,1791
2024-11-18,21.9,21.9,21.6904,21.81,1617
2024-11-15,21.77,21.9,21.5723,21.86,4070
2024-11-14,21.87,22.4,21.8,21.91,19560
2024-11-13,21.86529,21.975,21.59,21.91,23684
2024-11-12,22.06,22.06,21.8238,21.89,1781
2024-11-11,21.8,22.09,21.72,21.91,2719
2024-11-08,21.84,21.85,21.84,21.85,1499
2024-11-07,21.55,21.84,21.55,21.7,5020
2024-11-06,21.74,21.84,21.6,21.6,1970
2024-11-05,21.41,21.6,21.41,21.6,6363
2024-11-04,21.24,21.96,21.24,21.44,3031
2024-11-01,22.39,22.39,21.15,21.15,2824
2024-10-31,22.1,22.1,21.715,21.91,3522
2024-10-30,21.87,22.26,21.84,22.045,13414
2024-10-29,22.54,22.54,21.8,21.86,24852
2024-10-28,22.41,22.64,22.14,22.64,9545
2024-10-25,22.5,22.5104,22.14,22.31,4363
2024-10-24,22.54,22.5453,22.14,22.28,8092
2024-10-23,22.75,22.75,22.17,22.51,17928
2024-10-22,23.0,23.0,22.64,22.7,26133
2024-10-21,23.26,23.26,22.7701,23.01,5055
2024-10-18,23.2934,23.3546,22.97,23.19,12883
2024-10-17,23.19,23.26,22.95,23.14,17517
2024-10-16,23.36,23.39,23.15,23.23,9232
2024-10-15,23.26,23.3982,22.91,23.23,12464
2024-10-14,23.15,23.23,23.01,23.165,9311
2024-10-11,22.7564,23.17,22.7564,23.12,6085
2024-10-10,22.96,22.96,22.72,22.72,3626
2024-10-09,22.8756,22.992,22.71,22.82,4280
2024-10-08,22.54,22.86,22.54,22.67,1633
