datetime,open,high,low,close,volume
2025-04-01,52.9,53.0,52.03,52.34,785300
2025-03-31,51.47,52.75,51.29,52.61,746200
2025-03-28,51.58,51.75,50.88,51.7,492200
2025-03-27,52.09,52.24,51.21,51.29,692300
2025-03-26,51.34,51.95,51.34,51.81,647200
2025-03-25,51.9,52.01,50.51,51.11,946100
2025-03-24,51.85,52.51,51.69,51.97,795600
2025-03-21,51.33,51.56,50.71,51.39,1119100
2025-03-20,51.46,51.91,51.02,51.61,735500
2025-03-19,51.83,52.01,50.74,51.33,747200
2025-03-18,51.95,52.36,51.65,51.85,496700
2025-03-17,51.64,52.09,51.54,51.94,589600
2025-03-14,50.85,51.69,50.68,51.69,670400
2025-03-13,51.79,52.38,50.58,50.62,857700
2025-03-12,51.8,52.22,50.73,51.52,906300
2025-03-11,53.05,53.23,51.7,52.01,1190300
2025-03-10,53.66,54.25,52.6,52.68,1121800
2025-03-07,52.77,53.66,52.62,53.2,697300
2025-03-06,53.0,53.15,52.44,52.8,667500
2025-03-05,52.66,53.61,52.29,53.38,758000
2025-03-04,53.45,53.9,52.91,52.95,901500
2025-03-03,53.0,54.25,52.97,53.81,1001800
2025-02-28,51.83,53.12,51.59,53.07,1142400
2025-02-27,51.81,53.59,51.45,52.12,1346100
2025-02-26,50.72,51.37,50.7,51.31,991300
2025-02-25,50.2,50.84,50.07,50.78,1013800
2025-02-24,49.65,50.39,49.15,50.21,793600
2025-02-21,49.79,49.84,49.03,49.43,1036100
2025-02-20,49.0,49.61,48.85,49.54,574500
2025-02-19,48.81,49.41,48.6,49.19,657900
2025-02-18,48.3,49.07,48.19,48.97,597900
2025-02-14,48.93,49.26,48.25,48.26,438700
2025-02-13,47.71,48.8,47.46,48.73,600400
2025-02-12,46.8,47.49,46.75,47.46,473100
2025-02-11,47.42,47.71,47.1,47.59,561400
2025-02-10,47.69,47.82,47.29,47.59,535700
2025-02-07,47.64,47.98,47.34,47.69,656500
2025-02-06,47.5,47.8,47.29,47.72,522000
2025-02-05,46.94,47.9,46.85,47.47,636500
2025-02-04,45.78,46.91,45.51,46.76,670600
2025-02-03,45.5,46.28,44.84,46.12,735000
2025-01-31,46.43,46.64,45.79,46.1,555200
2025-01-30,46.78,46.9,46.17,46.68,572600
2025-01-29,47.14,47.21,46.24,46.3,381600
2025-01-28,48.16,48.58,46.84,47.01,548700
2025-01-27,47.78,48.62,47.68,48.42,786800
2025-01-24,46.54,47.68,46.54,47.67,580800
2025-01-23,46.6,46.65,46.02,46.49,673800
2025-01-22,47.4,47.59,46.58,46.59,702400
2025-01-21,47.15,47.72,46.98,47.6,628400
2025-01-17,46.66,47.15,46.65,46.85,466900
2025-01-16,45.66,46.67,45.66,46.65,482000
2025-01-15,46.61,46.71,45.6,45.6,575500
2025-01-14,45.18,45.58,45.04,45.51,775100
2025-01-13,44.3,45.11,44.12,45.07,557400
2025-01-10,44.37,44.67,43.75,44.3,724200
2025-01-08,44.78,45.18,44.4,44.93,695500
2025-01-07,44.77,45.35,44.29,44.92,998100
2025-01-06,44.44,44.88,44.22,44.7,671900
2025-01-03,44.0,44.58,43.82,44.56,471400
2025-01-02,44.27,44.54,43.89,43.98,465900
2024-12-31,44.18,44.56,43.96,44.28,563700
2024-12-30,43.7,44.27,43.32,44.21,711900
2024-12-27,43.91,44.4,43.76,43.9,513500
2024-12-26,43.5,44.34,43.5,44.15,515400
2024-12-24,43.56,43.88,43.56,43.79,189800
2024-12-23,43.36,43.77,43.34,43.65,410700
2024-12-20,43.22,44.04,43.22,43.59,1524800
2024-12-19,43.25,43.84,43.14,43.17,712700
2024-12-18,44.85,45.28,43.11,43.18,719500
2024-12-17,44.94,45.47,44.72,44.89,454700
2024-12-16,45.01,45.33,44.82,45.2,475700
2024-12-13,44.74,45.23,44.7,45.12,529100
2024-12-12,44.36,44.98,44.36,44.75,423000
2024-12-11,44.6,44.96,44.35,44.56,514100
2024-12-10,45.29,45.29,44.5,44.57,527700
2024-12-09,45.0,45.56,45.0,45.22,722000
2024-12-06,45.24,45.24,44.79,45.1,342700
2024-12-05,44.84,45.13,44.68,44.99,414900
2024-12-04,44.98,45.1,44.71,45.03,554700
2024-12-03,45.44,45.44,44.48,44.98,394000
2024-12-02,45.37,45.65,45.1,45.27,438400
2024-11-29,45.72,46.01,45.3,45.37,331200
2024-11-27,45.54,46.14,45.54,45.78,396200
2024-11-26,45.45,45.64,45.12,45.25,427600
2024-11-25,45.26,45.95,45.19,45.63,567800
2024-11-22,44.98,45.32,44.91,45.02,454900
2024-11-21,44.38,44.97,44.31,44.8,393500
2024-11-20,44.38,44.73,44.1,44.28,436400
2024-11-19,44.15,44.74,43.84,44.64,394600
2024-11-18,44.01,44.51,43.98,44.45,323900
2024-11-15,44.37,44.72,43.94,44.29,513600
2024-11-14,44.78,45.03,44.09,44.24,542100
2024-11-13,45.57,45.92,44.78,44.94,388600
2024-11-12,45.29,45.91,45.25,45.4,477600
2024-11-11,45.3,45.73,45.2,45.61,355700
2024-11-08,44.75,45.47,44.74,45.29,436600
2024-11-07,44.69,45.08,44.41,44.65,411600
2024-11-06,46.06,46.15,44.3,44.68,790300
2024-11-05,45.22,45.64,44.95,45.58,379300
2024-11-04,44.94,45.75,44.94,45.3,404400
2024-11-01,45.57,45.83,44.72,44.84,474000
2024-10-31,46.57,47.53,45.32,45.37,715700
2024-10-30,47.04,47.58,46.88,47.54,428700
2024-10-29,46.79,47.06,46.45,46.84,357500
2024-10-28,46.77,47.2,46.77,47.05,392200
2024-10-25,47.28,47.36,46.35,46.43,458500
2024-10-24,47.28,47.55,47.08,47.12,302600
2024-10-23,47.54,47.9,47.22,47.23,383300
2024-10-22,47.74,48.04,47.61,47.62,385600
2024-10-21,48.73,48.93,47.74,47.79,397800
2024-10-18,48.83,48.99,48.56,48.87,372000
2024-10-17,49.38,49.38,48.71,48.76,386000
2024-10-16,49.18,49.58,49.13,49.39,417600
2024-10-15,48.99,49.49,48.7,48.99,482500
2024-10-14,48.2,48.97,47.87,48.79,431800
2024-10-11,47.88,48.25,47.74,48.19,304700
2024-10-10,47.75,48.0,47.4,47.6,362400
2024-10-09,47.68,47.97,47.46,47.89,302500
2024-10-08,48.0,48.1,47.42,47.7,324400
2024-10-07,47.6,48.04,47.26,47.89,536500
2024-10-04,47.58,47.93,47.43,47.72,432700
2024-10-03,47.78,47.84,47.22,47.61,282900
2024-10-02,48.0,48.42,47.66,47.81,567500
2024-10-01,48.87,48.87,48.23,48.32,389700
2024-09-30,48.45,49.06,48.19,49.04,609100
2024-09-27,49.09,49.18,48.54,48.55,438900
2024-09-26,49.33,49.38,48.47,48.63,483800
2024-09-25,49.63,49.72,49.16,49.18,538900
2024-09-24,49.14,50.26,49.14,49.58,722600
2024-09-23,49.02,49.54,48.89,49.38,682300
2024-09-20,48.62,48.81,48.3,48.71,939900
2024-09-19,49.15,49.18,48.26,48.73,461400
2024-09-18,48.72,49.63,48.51,48.67,523400
2024-09-17,49.17,49.17,48.39,48.5,388300
2024-09-16,48.93,49.23,48.65,48.85,450200
2024-09-13,47.88,48.86,47.85,48.73,501900
2024-09-12,47.68,47.86,47.48,47.67,549000
2024-09-11,47.1,47.83,46.75,47.67,513500
2024-09-10,47.71,47.88,47.14,47.45,474200
2024-09-09,47.3,47.91,47.21,47.66,452900
2024-09-06,47.72,47.89,47.12,47.34,552200
2024-09-05,48.1,48.63,47.69,47.72,402100
2024-09-04,47.54,48.04,47.5,47.96,361300
2024-09-03,47.14,48.09,47.14,47.56,592800
2024-08-30,47.09,47.53,46.84,47.47,528000
2024-08-29,47.62,47.67,47.06,47.13,467200
2024-08-28,47.32,47.78,47.26,47.49,430100
2024-08-27,47.24,47.53,47.13,47.35,393200
2024-08-26,47.71,47.88,47.33,47.56,594500
2024-08-23,47.0,47.78,46.72,47.59,812000
2024-08-22,46.22,46.69,46.18,46.68,557700
2024-08-21,45.83,46.2,45.45,46.2,581000
2024-08-20,45.54,45.54,45.17,45.35,422500
2024-08-19,44.52,45.7,44.52,45.58,668500
2024-08-16,44.5,44.6,44.12,44.47,448200
2024-08-15,44.5,44.9,44.38,44.5,538100
2024-08-14,44.09,44.46,43.93,44.23,584800
2024-08-13,43.43,44.22,43.15,43.88,528400
2024-08-12,43.39,43.43,42.87,43.09,535400
2024-08-09,43.62,43.72,43.3,43.5,364000
2024-08-08,44.03,44.24,43.53,43.61,516900
2024-08-07,44.69,45.34,43.96,44.03,509500
2024-08-06,43.53,44.76,43.42,44.47,486900
2024-08-05,42.86,44.16,42.29,43.52,955500
2024-08-02,45.13,45.39,44.01,44.63,742200
2024-08-01,45.43,45.91,44.4,45.26,1061300
2024-07-31,45.38,45.9,45.0,45.0,855700
2024-07-30,45.76,45.91,45.43,45.73,435700
2024-07-29,45.56,45.74,45.15,45.66,463800
2024-07-26,45.04,45.53,44.87,45.3,531200
2024-07-25,44.27,45.25,44.14,44.71,608600
2024-07-24,45.22,45.38,43.97,43.98,850300
2024-07-23,45.23,45.53,44.82,45.2,539300
2024-07-22,43.88,45.43,43.66,44.96,1000400
2024-07-19,43.96,44.38,43.74,43.93,637600
2024-07-18,44.23,44.9,43.81,43.9,767100
2024-07-17,44.0,44.85,43.92,44.47,756800
2024-07-16,43.67,44.12,43.61,44.09,535200
2024-07-15,43.35,43.53,43.12,43.4,749700
2024-07-12,42.75,43.32,42.7,43.12,626900
2024-07-11,42.18,42.72,42.06,42.49,428800
2024-07-10,41.66,41.73,41.45,41.67,386400
2024-07-09,41.49,41.71,41.38,41.44,514700
2024-07-08,41.62,42.01,41.6,41.6,335300
2024-07-05,41.48,41.65,41.22,41.57,928700
2024-07-03,41.73,41.91,41.43,41.48,192300
2024-07-02,41.4,41.63,41.31,41.55,455300
2024-07-01,41.76,41.92,41.02,41.26,505900
2024-06-28,41.63,41.99,41.4,41.98,900200
2024-06-27,41.34,41.74,41.15,41.72,447500
2024-06-26,41.12,41.42,40.95,41.2,709600
2024-06-25,41.3,41.49,41.07,41.34,468800
2024-06-24,40.93,41.59,40.79,41.28,620400
2024-06-21,41.07,41.25,40.72,40.81,1319400
2024-06-20,40.67,41.12,40.6,41.0,535000
2024-06-18,40.77,41.02,40.62,40.67,630400
2024-06-17,40.13,40.74,40.03,40.65,451600
2024-06-14,40.3,40.44,40.05,40.33,641900
2024-06-13,40.24,40.75,40.11,40.5,523600
2024-06-12,40.73,41.01,40.14,40.17,490300
2024-06-11,40.08,40.19,39.87,39.91,734900
2024-06-10,40.2,40.37,40.02,40.27,411800
2024-06-07,40.65,40.76,40.44,40.46,389100
2024-06-06,40.62,41.15,40.6,41.11,298600
2024-06-05,41.14,41.17,40.62,40.79,309300
2024-06-04,40.9,41.25,40.81,41.14,434600
2024-06-03,40.82,41.13,40.7,41.1,476600
2024-05-31,40.6,41.19,40.46,41.04,704600
2024-05-30,40.41,40.64,40.28,40.63,472400
2024-05-29,40.18,40.29,40.02,40.11,515400
2024-05-28,40.79,41.0,40.46,40.49,529800
2024-05-24,40.73,40.8,40.42,40.62,443100
2024-05-23,41.3,41.32,40.48,40.48,524600
2024-05-22,41.68,41.7,41.3,41.39,530400
2024-05-21,41.62,41.85,41.6,41.74,481700
2024-05-20,41.69,42.38,41.56,41.75,918100
2024-05-17,42.89,42.89,42.5,42.57,683200
2024-05-16,43.39,43.5,42.67,42.8,503700
2024-05-15,43.65,43.76,43.11,43.26,709800
2024-05-14,42.7,43.39,42.7,43.25,931900
2024-05-13,41.84,42.37,41.83,42.27,442900
2024-05-10,41.58,41.74,41.35,41.55,623200
2024-05-09,41.65,41.85,41.29,41.46,422000
2024-05-08,41.3,41.53,40.95,41.41,506000
2024-05-07,41.92,42.31,41.47,41.49,898800
2024-05-06,42.23,42.45,41.53,41.67,662000
2024-05-03,42.5,42.65,41.87,42.0,546300
2024-05-02,41.54,42.49,41.08,42.1,812300
2024-05-01,40.71,41.47,40.48,41.06,596700
2024-04-30,40.86,41.1,40.56,40.59,858900
2024-04-29,40.98,41.32,40.91,41.04,709500
2024-04-26,41.23,41.45,40.93,40.99,542000
2024-04-25,41.0,41.24,40.57,41.12,650000
2024-04-24,40.99,41.22,40.75,41.16,567100
2024-04-23,40.5,41.17,40.48,41.12,529200
2024-04-22,40.45,40.77,40.24,40.53,931400
2024-04-19,40.41,40.65,40.25,40.41,559300
2024-04-18,40.23,40.43,39.98,40.42,577700
2024-04-17,39.98,40.32,39.66,40.05,808200
2024-04-16,40.24,40.26,39.67,39.76,681800
2024-04-15,40.84,40.9,40.09,40.41,763900
2024-04-12,40.77,41.01,40.54,40.68,724000
2024-04-11,41.0,41.14,40.77,40.98,710600
2024-04-10,41.59,41.61,40.7,40.77,729900
2024-04-09,41.8,42.48,41.75,42.43,404100
2024-04-08,41.61,41.85,41.34,41.72,473900
2024-04-05,41.18,41.49,40.94,41.42,657200
2024-04-04,41.0,41.95,40.97,41.42,1173600
2024-04-03,40.87,40.93,40.58,40.69,679500
2024-04-02,41.5,41.55,40.79,40.93,717100
