datetime,open,high,low,close,volume
2025-04-01,18.67,18.95,18.57,18.83,7000
2025-03-31,18.75,19.06,18.72,18.85,17800
2025-03-28,19.02,19.02,18.75,18.93,10000
2025-03-27,19.17,19.38,19.1,19.31,10700
2025-03-26,18.96,19.29,18.93,18.96,8900
2025-03-25,19.25,19.27,19.04,19.04,11400
2025-03-24,19.1,19.48,19.1,19.41,10800
2025-03-21,19.01,19.05,18.76,18.88,29000
2025-03-20,19.3,19.38,19.13,19.25,14500
2025-03-19,19.09,19.54,19.09,19.49,30600
2025-03-18,18.92,18.95,18.76,18.9,15800
2025-03-17,19.14,19.14,18.91,18.96,9100
2025-03-14,19.31,19.33,19.17,19.3,9900
2025-03-13,19.06,19.31,18.96,18.96,8200
2025-03-12,19.02,19.22,18.78,19.18,16400
2025-03-11,19.26,19.26,18.95,19.04,19800
2025-03-10,19.7,19.7,19.03,19.08,21000
2025-03-07,19.8,19.97,19.57,19.84,19900
2025-03-06,20.05,20.05,19.85,20.0,20800
2025-03-05,20.54,20.54,20.23,20.28,12900
2025-03-04,20.5,20.88,20.28,20.5,28100
2025-03-03,21.05,21.19,20.82,20.89,11000
2025-02-28,21.27,21.28,20.91,21.0,61400
2025-02-27,20.75,21.0,20.65,20.99,9000
2025-02-26,20.99,21.09,20.75,20.89,12600
2025-02-25,21.0,21.28,20.92,21.11,51600
2025-02-24,21.12,21.12,20.59,20.84,27100
2025-02-21,21.62,21.67,21.0,21.0,12000
2025-02-20,21.54,21.54,21.09,21.4,9900
2025-02-19,21.79,21.82,21.53,21.64,18400
2025-02-18,21.65,22.04,21.65,22.03,14300
2025-02-14,22.17,22.17,21.75,21.77,8100
2025-02-13,21.91,21.91,21.55,21.84,12300
2025-02-12,21.89,21.96,21.7,21.81,15500
2025-02-11,21.8,22.22,21.75,22.18,17400
2025-02-10,21.7,21.87,21.62,21.79,14600
2025-02-07,21.61,21.84,21.24,21.79,21200
2025-02-06,21.43,21.8,21.36,21.8,19400
2025-02-05,21.23,21.59,21.19,21.58,35700
2025-02-04,20.98,21.23,20.83,21.19,21800
2025-02-03,20.58,20.95,20.3,20.78,15900
2025-01-31,20.72,21.17,20.69,20.91,33500
2025-01-30,21.01,21.52,20.86,20.92,9600
2025-01-29,21.0,21.62,21.0,21.3,18000
2025-01-28,21.18,21.2,20.77,21.06,33000
2025-01-27,20.84,21.32,20.84,21.15,36500
2025-01-24,20.68,21.0,20.58,20.85,27200
2025-01-23,20.49,20.7,20.13,20.7,52400
2025-01-22,20.58,20.58,20.09,20.49,33100
2025-01-21,20.05,20.67,19.92,20.59,57500
2025-01-17,19.75,20.09,19.75,20.05,51000
2025-01-16,19.59,19.85,19.35,19.67,105900
2025-01-15,19.5,19.6,19.38,19.6,180900
2025-01-14,18.94,19.5,18.94,19.5,77700
2025-01-13,18.51,19.27,18.51,19.12,51100
2025-01-10,20.0,20.0,18.75,18.97,50100
2025-01-08,18.69,18.94,18.63,18.63,5800
2025-01-07,19.26,19.26,18.73,18.84,16100
2025-01-06,19.57,19.65,19.12,19.12,8600
2025-01-03,19.13,19.6,19.07,19.6,8300
2025-01-02,19.59,19.75,19.14,19.14,7500
2024-12-31,19.31,19.6,19.31,19.5,10900
2024-12-30,19.26,19.66,19.26,19.28,12700
2024-12-27,19.17,19.3,19.12,19.23,13100
2024-12-26,19.1,19.43,19.1,19.43,7700
2024-12-24,19.08,19.26,19.08,19.26,2100
2024-12-23,19.27,19.34,19.17,19.34,9700
2024-12-20,18.98,19.97,18.98,19.5,55600
2024-12-19,19.6,19.6,19.21,19.21,12700
2024-12-18,19.92,20.3,19.64,19.64,25100
2024-12-17,19.77,20.27,19.58,20.1,11600
2024-12-16,20.08,20.13,19.76,19.98,6900
2024-12-13,20.24,20.31,19.99,20.12,11200
2024-12-12,20.24,20.49,20.23,20.49,11300
2024-12-11,20.54,20.54,20.23,20.23,15300
2024-12-10,20.15,20.5,20.15,20.26,14100
2024-12-09,20.68,20.68,20.18,20.18,6000
2024-12-06,20.91,20.91,20.2,20.39,7600
2024-12-05,20.21,20.86,20.21,20.61,9300
2024-12-04,20.65,20.65,20.12,20.4,10400
2024-12-03,21.19,21.19,20.33,20.33,7200
2024-12-02,20.64,21.01,20.58,20.98,8700
2024-11-29,20.51,20.67,20.51,20.67,4600
2024-11-27,20.59,20.59,20.48,20.48,3500
2024-11-26,20.54,20.63,20.06,20.19,14800
2024-11-25,20.86,21.03,20.51,20.51,24300
2024-11-22,20.15,20.35,20.15,20.3,7900
2024-11-21,20.18,20.35,19.94,20.15,15100
2024-11-20,19.9,20.1,19.71,20.09,7700
2024-11-19,19.35,19.97,19.35,19.96,6400
2024-11-18,20.15,20.2,19.58,19.58,9000
2024-11-15,20.33,20.33,20.04,20.2,6700
2024-11-14,19.73,20.3,19.73,20.18,8800
2024-11-13,20.31,20.35,19.86,19.89,9300
2024-11-12,20.35,20.35,19.71,20.01,15000
2024-11-11,19.9,19.97,19.69,19.9,17800
2024-11-08,19.67,19.95,19.61,19.87,11400
2024-11-07,20.15,20.5,19.32,19.56,18200
2024-11-06,19.8,21.5,19.76,20.75,42600
2024-11-05,18.86,19.43,18.86,19.43,11600
2024-11-04,19.15,19.49,18.66,18.8,45300
2024-11-01,19.75,19.84,18.65,19.0,4500
2024-10-31,18.82,19.18,18.82,18.82,3800
2024-10-30,19.1,19.48,19.1,19.27,5200
2024-10-29,19.2,19.35,19.18,19.29,5700
2024-10-28,19.05,19.3,19.02,19.02,7400
2024-10-25,19.2,19.44,18.56,18.57,12200
2024-10-24,19.96,19.99,19.3,19.32,9000
2024-10-23,19.43,20.09,19.2,20.09,8200
2024-10-22,18.8,19.92,18.8,19.8,7400
2024-10-21,20.28,20.28,18.71,18.77,10000
2024-10-18,20.03,20.52,20.03,20.07,8500
2024-10-17,20.0,20.24,19.8,20.2,14100
2024-10-16,19.5,20.0,19.4,19.95,17000
2024-10-15,19.22,19.4,18.89,19.24,20700
2024-10-14,18.77,18.89,18.73,18.75,3100
2024-10-11,18.37,18.89,18.37,18.89,5400
2024-10-10,18.31,18.51,18.31,18.44,4100
2024-10-09,18.33,18.58,18.33,18.5,6800
2024-10-08,18.31,18.37,18.31,18.37,3700
2024-10-07,18.3,18.59,18.3,18.44,4300
2024-10-04,18.47,18.55,18.25,18.42,2700
2024-10-03,18.12,18.15,18.12,18.15,3700
2024-10-02,18.43,18.47,18.25,18.25,6000
2024-10-01,18.75,19.06,18.43,18.57,10100
2024-09-30,19.41,19.44,19.03,19.22,6100
2024-09-27,19.3,19.42,19.16,19.42,5600
2024-09-26,19.1,19.16,18.94,19.16,7600
2024-09-25,18.86,18.88,18.56,18.88,9400
2024-09-24,18.6,18.77,18.56,18.77,8500
2024-09-23,18.66,19.19,18.65,18.71,6100
2024-09-20,19.19,19.42,18.61,18.61,49700
2024-09-19,19.4,19.68,18.92,19.68,7900
2024-09-18,18.66,19.3,18.44,18.96,8400
2024-09-17,19.17,19.2,18.93,18.93,7100
2024-09-16,18.85,18.98,18.66,18.82,15600
2024-09-13,18.35,18.89,18.2,18.89,8000
2024-09-12,18.0,18.28,18.0,18.28,6500
2024-09-11,18.06,18.1,18.0,18.04,11900
2024-09-10,18.12,18.28,18.06,18.28,9600
2024-09-09,18.61,18.61,18.12,18.17,8500
2024-09-06,18.09,18.39,17.87,18.11,15100
2024-09-05,17.81,17.97,17.78,17.85,3200
2024-09-04,18.08,18.19,17.87,17.94,5000
2024-09-03,18.19,18.32,17.76,18.12,5700
2024-08-30,17.73,18.54,17.73,18.44,8600
2024-08-29,18.1,18.22,18.06,18.22,9400
2024-08-28,17.66,17.99,17.66,17.99,11300
2024-08-27,17.97,17.97,17.65,17.77,17800
2024-08-26,18.39,18.88,17.61,17.67,41500
2024-08-23,18.0,18.64,17.96,18.64,15800
2024-08-22,17.49,17.81,17.49,17.81,2800
2024-08-21,17.96,17.97,17.76,17.9,5100
2024-08-20,17.81,18.0,17.74,17.81,3900
2024-08-19,17.8,18.23,17.33,18.23,11300
2024-08-16,17.72,17.95,17.55,17.79,11400
2024-08-15,17.8,17.8,17.55,17.72,13600
2024-08-14,17.13,17.82,17.06,17.42,7000
2024-08-13,17.09,17.76,17.08,17.76,6900
2024-08-12,17.0,17.07,16.75,17.07,12500
2024-08-09,17.54,17.54,17.1,17.16,10400
2024-08-08,17.02,17.8,17.02,17.8,12500
2024-08-07,16.79,16.83,16.51,16.83,16400
2024-08-06,16.45,16.6,16.42,16.49,8300
2024-08-05,16.34,16.58,16.17,16.32,14400
