datetime,open,high,low,close,volume
2025-04-01,11.67,11.7482,11.51,11.5501,62742
2025-03-31,11.75,11.85,11.62,11.67,47134
2025-03-28,11.78,11.88,11.73,11.77,44597
2025-03-27,11.79,11.79,11.75,11.7554,45398
2025-03-26,11.8,11.8,11.75,11.75,29185
2025-03-25,11.79,11.7999,11.72,11.7621,45712
2025-03-24,11.75,11.7699,11.7,11.75,88254
2025-03-21,11.6,11.7,11.6,11.676,39139
2025-03-20,11.75,11.75,11.6437,11.68,60600
2025-03-19,11.75,11.75,11.645,11.69,38360
2025-03-18,11.66,11.7424,11.5899,11.6255,80855
2025-03-17,11.6,11.7901,11.57,11.64,57440
2025-03-14,11.55,11.5793,11.5,11.57,37552
2025-03-13,11.45,11.55,11.45,11.55,48573
2025-03-12,11.47,11.5999,11.4072,11.54,252448
2025-03-11,11.54,11.54,11.37,11.473,79971
2025-03-10,11.66,11.7,11.46,11.4968,91508
2025-03-07,11.66,11.66,11.49,11.5066,113995
2025-03-06,11.53,11.58,11.52,11.5499,37733
2025-03-05,11.82,11.82,11.5114,11.63,60707
2025-03-04,11.52,11.63,11.45,11.63,577614
2025-03-03,11.63,11.75,11.41,11.55,91012
2025-02-28,11.69,11.6987,11.51,11.63,106094
2025-02-27,11.82,11.82,11.65,11.7001,62766
2025-02-26,11.73,11.75,11.61,11.75,82168
2025-02-25,11.8,11.8,11.65,11.7099,141959
2025-02-24,11.75,11.775,11.7,11.77,68832
2025-02-21,11.75,11.85,11.75,11.7501,91661
2025-02-20,11.8,11.84,11.78,11.81,54665
2025-02-19,11.85,11.87,11.79,11.84,20386
2025-02-18,11.95,11.95,11.66,11.8001,182534
2025-02-14,11.95,11.95,11.8601,11.94,34266
2025-02-13,11.9,11.95,11.8,11.95,69679
2025-02-12,11.84,11.9,11.8391,11.86,33826
2025-02-11,11.84,11.86,11.7,11.86,35307
2025-02-10,11.65,11.83,11.65,11.83,40632
2025-02-07,11.74,11.7617,11.7,11.75,26345
2025-02-06,11.75,11.76,11.7,11.75,83036
2025-02-05,11.69,11.74,11.6,11.73,50768
2025-02-04,11.57,11.69,11.45,11.6,217648
2025-02-03,11.65,11.8,11.4941,11.65,199603
2025-01-31,11.85,11.942,11.7832,11.8,76560
2025-01-30,11.99,12.034,11.95,11.9832,49755
2025-01-29,12.0,12.04,11.96,11.99,143168
2025-01-28,11.99,11.99,11.9023,11.9599,60628
2025-01-27,11.85,11.98,11.8,11.8906,67077
2025-01-24,11.95,11.95,11.88,11.9,66325
2025-01-23,11.87,11.94,11.87,11.94,65683
2025-01-22,11.91,11.93,11.87,11.93,49648
2025-01-21,11.75,11.8899,11.735,11.836,72570
2025-01-17,11.71,11.8831,11.65,11.65,116601
2025-01-16,11.9,11.9,11.72,11.77,128340
2025-01-15,11.79,11.81,11.75,11.75,70003
2025-01-14,11.79,11.79,11.72,11.78,46910
2025-01-13,11.71,11.82,11.68,11.725,88615
2025-01-10,11.76,11.9,11.71,11.7606,56312
2025-01-08,11.73,11.8,11.71,11.76,47741
2025-01-07,11.68,11.75,11.68,11.73,42510
2025-01-06,11.75,11.7815,11.65,11.71,43378
2025-01-03,11.86,11.8677,11.7,11.7,57292
2025-01-02,11.67,11.75,11.65,11.71,63355
2024-12-31,11.75,11.76,11.615,11.69,75070
2024-12-30,11.75,11.7785,11.66,11.66,128939
2024-12-27,11.7,11.8085,11.63,11.7,63897
2024-12-26,11.9,11.9,11.71,11.73,39562
