datetime,open,high,low,close,volume
2025-04-01,0.18,0.18,0.178,0.178,3369
2025-03-31,0.17,0.1798,0.1599,0.1798,49098
2025-03-28,0.193,0.193,0.18,0.18,11244
2025-03-27,0.175,0.19,0.175,0.19,9155
2025-03-26,0.1822,0.19,0.1775,0.182,4954
2025-03-25,0.2046,0.2046,0.19,0.195,863
2025-03-24,0.2085,0.21,0.2,0.2046,30138
2025-03-21,0.204,0.2127,0.204,0.2127,450
2025-03-20,0.217,0.2171,0.185,0.2009,12916
2025-03-19,0.19,0.22,0.19,0.2099,252244
2025-03-18,0.2111,0.2111,0.185,0.19,6085
2025-03-17,0.1951,0.2398,0.1951,0.231,14482
2025-03-14,0.191,0.2449,0.191,0.21,28464
2025-03-13,0.2257,0.2257,0.185,0.185,10610
2025-03-12,0.2143,0.2663,0.2,0.2399,48071
2025-03-11,0.2661,0.2661,0.2,0.241,17496
2025-03-10,0.21,0.223,0.21,0.223,30138
2025-03-07,0.25,0.25,0.235,0.2475,3101
2025-03-06,0.25,0.3275,0.25,0.2632,2536
2025-03-05,0.255,0.255,0.255,0.255,4881
2025-03-04,0.25,0.2774,0.21,0.2774,31041
2025-03-03,0.26,0.26,0.2,0.2,19676
2025-02-28,0.2938,0.3275,0.26,0.2764,10566
2025-02-27,0.289,0.3275,0.2725,0.2725,9580
2025-02-26,0.2938,0.2938,0.2737,0.2737,1960
2025-02-25,0.29,0.3025,0.26,0.26,6671
2025-02-24,0.2501,0.2919,0.2501,0.27,5962
2025-02-21,0.2894,0.2894,0.2601,0.2713,6248
2025-02-20,0.2855,0.2899,0.267,0.2899,21113
2025-02-19,0.27,0.3043,0.265,0.275,110845
2025-02-18,0.3,0.3491,0.3,0.3097,126755
2025-02-14,0.283,0.34,0.283,0.32,24481
2025-02-13,0.32,0.325,0.3199,0.3199,18754
2025-02-12,0.32,0.33,0.32,0.33,2444
2025-02-11,0.3055,0.35,0.2613,0.34,21029
2025-02-10,0.37,0.3701,0.344,0.3492,1556
2025-02-07,0.3474,0.35,0.33,0.3342,10918
2025-02-06,0.37125,0.37125,0.36,0.36,6500
2025-02-05,0.37,0.395,0.3693,0.3772,33166
2025-02-04,0.32,0.385,0.32,0.36,50284
2025-02-03,0.2757,0.3416,0.2757,0.2912,10200
2025-01-31,0.3337,0.3625,0.3125,0.3125,8934
2025-01-30,0.30037,0.3025,0.3,0.3025,2400
2025-01-29,0.3239,0.3239,0.3,0.3,1549
2025-01-28,0.33,0.3408,0.3258,0.33,4886
2025-01-27,0.35,0.35,0.3076,0.3076,24536
2025-01-24,0.3168,0.387,0.31563,0.35,15990
2025-01-23,0.32,0.364,0.2976,0.32,70698
2025-01-22,0.27,0.2747,0.2371,0.2401,38197
2025-01-21,0.2451,0.2745,0.2351,0.2745,28494
2025-01-17,0.28,0.2825,0.28,0.2825,2038
2025-01-16,0.285,0.285,0.285,0.285,200
2025-01-15,0.2859,0.29,0.2376,0.24,15396
2025-01-14,0.246,0.2699,0.2434,0.251,6787
2025-01-13,0.2475,0.2475,0.2475,0.2475,100
2025-01-10,0.27,0.27,0.2497,0.25,82042
2025-01-08,0.3201,0.3201,0.285,0.285,8661
2025-01-07,0.35,0.35,0.3355,0.3355,4240
2025-01-06,0.3751,0.3758,0.342,0.3595,10885
2025-01-03,0.39,0.3949,0.3211,0.3949,12199
2025-01-02,0.36385,0.3911,0.32,0.385,22512
2024-12-31,0.3195,0.3499,0.3,0.3,15706
2024-12-30,0.3,0.3475,0.2867,0.32,18751
2024-12-27,0.34,0.355,0.279,0.2977,33259
2024-12-26,0.31,0.36,0.2945,0.34835,27790
2024-12-24,0.2929,0.3015,0.28,0.2971,16355
2024-12-23,0.2895,0.293,0.25,0.293,10499
2024-12-20,0.2375,0.2752,0.2375,0.2752,9631
2024-12-19,0.25,0.2848,0.2235,0.25,14085
2024-12-18,0.2574,0.31,0.23,0.2456,138687
2024-12-17,0.2774,0.2774,0.255,0.2699,25921
2024-12-16,0.29,0.29,0.26555,0.2751,89153
2024-12-13,0.32,0.32,0.2844,0.2844,24025
2024-12-12,0.3232,0.35,0.31,0.31,6023
2024-12-11,0.3738,0.4,0.3102,0.335,24669
2024-12-10,0.4,0.4,0.345,0.345,25691
2024-12-09,0.325,0.4,0.32,0.375,41766
2024-12-06,0.38,0.385,0.2325,0.3135,129876
2024-12-05,0.335,0.3812,0.33,0.35,46898
2024-12-04,0.345,0.39375,0.305,0.336,189159
2024-12-03,0.28,0.3374,0.28,0.33568,341333
2024-12-02,0.28,0.2945,0.264,0.2799,58413
2024-11-29,0.26,0.3395,0.25,0.284,112361
2024-11-27,0.25,0.334,0.222,0.3279,288184
2024-11-26,0.22,0.24,0.1901,0.22,189701
2024-11-25,0.1863,0.2467,0.1863,0.24,183253
2024-11-22,0.2,0.2149,0.1925,0.2,129222
2024-11-21,0.1746,0.2,0.1701,0.195,121415
2024-11-20,0.156,0.1798,0.155,0.155,3150
2024-11-19,0.1635,0.17,0.16,0.17,1895
2024-11-18,0.17,0.17,0.16,0.1699,9072
2024-11-15,0.1512,0.1634,0.15,0.1634,2772
2024-11-14,0.17,0.17,0.15,0.1502,10224
2024-11-13,0.1572,0.17,0.1475,0.15,69188
2024-11-12,0.16,0.17,0.14,0.1421,17253
2024-11-11,0.165,0.165,0.1487,0.1525,84980
2024-11-08,0.18,0.18,0.16,0.16,22886
2024-11-07,0.18,0.1882,0.16,0.16,68672
2024-11-06,0.15,0.1816,0.15,0.18,64583
2024-11-05,0.1602,0.18,0.141,0.15,165471
2024-11-04,0.179,0.179,0.16,0.17,11711
2024-11-01,0.1798,0.2163,0.17,0.18,38017
2024-10-31,0.185,0.185,0.1401,0.1823,273469
2024-10-30,0.18,0.18,0.165,0.17,151856
2024-10-29,0.2,0.2212,0.1612,0.17,244985
2024-10-28,0.23,0.23,0.1702,0.18,467298
2024-10-25,0.25,0.25,0.1652,0.198,906371
2024-10-24,0.3984,0.4299,0.375,0.375,3900
2024-10-23,0.4,0.4299,0.38,0.4299,2570
2024-10-22,0.3781,0.44,0.37,0.42,119833
2024-10-21,0.4,0.4,0.3675,0.4,15667
2024-10-18,0.405,0.405,0.3953,0.4,68602
2024-10-17,0.41,0.41,0.39,0.39428,6250
2024-10-16,0.41,0.43,0.3851,0.42,111343
2024-10-15,0.3607,0.393,0.3425,0.3802,4360
2024-10-14,0.3352,0.4,0.3352,0.38,35170
2024-10-11,0.37,0.37,0.33,0.335,6705
2024-10-10,0.3452,0.41,0.3388,0.345,2099
2024-10-09,0.4,0.45,0.4,0.4,19523
2024-10-08,0.4196,0.43,0.4,0.4,53232
2024-10-07,0.37,0.4085,0.3535,0.3648,37556
2024-10-04,0.38,0.4389,0.32,0.354,74452
2024-10-03,0.36,0.37,0.3525,0.3561,17525
