datetime,open,high,low,close,volume
2025-04-01,45.19,46.69,43.735,45.63,21400
2025-03-31,45.36,47.5,43.74,45.74,31700
2025-03-28,49.63,49.63,45.47,47.84,48700
2025-03-27,49.64,53.65,46.389,52.28,62000
2025-03-26,56.88,56.88,48.01,50.0,60800
2025-03-25,51.2,57.0,49.75,56.04,150500
2025-03-24,49.51,52.76,48.0,52.64,133900
2025-03-21,48.05,50.0,39.0,49.52,429800
2025-03-20,40.7,51.99,39.57,48.51,196100
2025-03-19,30.73,44.74,30.73,40.75,182600
2025-03-18,31.99,32.65,30.22,30.26,47800
2025-03-17,27.72,33.0,27.72,32.35,70500
2025-03-14,26.0,29.51,25.48,28.05,94800
2025-03-13,26.76,26.78,24.46,26.08,98900
2025-03-12,26.03,27.59,24.148,27.43,120700
2025-03-11,26.89,27.57,23.22,24.5,126900
2025-03-10,29.63,29.63,22.08,24.6,169200
2025-03-07,28.85,32.95,28.0,29.4,70500
2025-03-06,30.1,30.12,24.96,29.3,159100
2025-03-05,40.0,41.0,28.05,29.01,186200
2025-03-04,38.03,48.3,31.19,42.48,89400
2025-03-03,44.74,45.495,40.09,40.97,53400
2025-02-28,41.0,43.93,39.0,42.2,44500
2025-02-27,46.45,46.45,42.2,42.2,38500
2025-02-26,42.0,47.1,40.795,44.48,55500
2025-02-25,40.88,43.0,37.098,39.86,26600
2025-02-24,48.24,48.24,40.47,41.16,27300
2025-02-21,48.285,48.95,45.2,47.81,45000
2025-02-20,49.43,49.844,46.8,47.8,139000
2025-02-19,46.87,48.41,46.61,48.41,15200
2025-02-18,50.6,51.0,44.635,46.55,34500
2025-02-14,50.0,50.19,48.63,50.0,21800
2025-02-13,49.3,50.44,48.2,50.0,24400
2025-02-12,49.04,50.13,48.78,48.85,23200
2025-02-11,50.0,50.84,48.01,49.16,29700
2025-02-10,50.9,51.968,48.62,51.18,46000
2025-02-07,49.74,51.0,47.361,48.37,35000
2025-02-06,52.68,53.492,48.01,48.01,40200
2025-02-05,58.43,58.43,50.95,51.36,47700
2025-02-04,63.0,67.11,55.31,56.77,84000
2025-02-03,46.24,67.899,46.24,59.59,162900
2025-01-31,65.5,68.84,47.485,49.88,156000
2025-01-30,93.76,103.08,57.407,61.38,203800
2025-01-29,79.06,117.399,75.49,89.3,216700
2025-01-28,74.71,88.98,68.76,80.16,159400
2025-01-27,55.21,78.86,52.43,74.0,215000
2025-01-24,45.0,61.25,43.3,61.25,198200
2025-01-23,40.89,44.97,39.472,44.0,84400
2025-01-22,39.8,41.0,37.1,41.0,59500
2025-01-21,40.0,42.5,37.5,40.0,77500
2025-01-17,38.1,38.99,37.38,38.51,15300
2025-01-16,35.26,37.87,35.0,37.87,12600
2025-01-15,34.93,36.0,32.71,35.36,22000
2025-01-14,33.58,35.4,33.0,33.07,15400
2025-01-13,37.48,37.48,32.746,33.58,29400
2025-01-10,38.58,38.58,34.75,37.77,13400
2025-01-08,38.83,42.2,33.0,37.779,31700
2025-01-07,40.0,44.366,38.53,39.31,33200
2025-01-06,35.0,40.0,35.0,39.7,69300
2025-01-03,29.9,34.316,28.228,32.71,32600
2025-01-02,30.79,33.5,26.69,28.72,26200
2024-12-31,36.16,36.2,27.98,30.68,26800
2024-12-30,39.25,42.0,35.25,38.37,20700
2024-12-27,46.0,46.0,37.61,40.579,29000
2024-12-26,52.0,62.279,44.0,47.35,53700
2024-12-24,35.55,48.0,35.55,43.2,14000
2024-12-23,39.51,41.25,35.051,35.051,11200
2024-12-20,49.48,49.48,38.38,41.0,14900
2024-12-19,55.0,56.57,47.01,50.95,13300
2024-12-18,40.85,67.0,40.716,53.1,23200
2024-12-17,36.5,39.2,36.5,38.95,5200
2024-12-16,37.0,37.0,36.68,36.68,600
2024-12-13,33.0,36.75,32.25,36.75,5900
2024-12-12,28.0,33.275,28.0,33.25,2100
2024-12-11,29.5,29.5,25.021,28.42,2300
