datetime,open,high,low,close,volume
2025-04-01,5.36,5.39,5.0,5.05,861000
2025-03-31,5.63,5.71,5.34,5.42,638000
2025-03-28,5.9,6.1,5.82,5.83,370200
2025-03-27,6.1,6.25,5.9,5.91,606800
2025-03-26,6.21,6.25,5.87,6.06,718900
2025-03-25,6.32,6.48,6.14,6.24,730800
2025-03-24,6.36,6.69,6.22,6.34,1199300
2025-03-21,6.0,6.39,5.93,6.25,1123800
2025-03-20,6.12,6.3,5.98,6.1,484300
2025-03-19,6.18,6.31,6.0,6.19,986400
2025-03-18,6.6,6.63,6.21,6.21,408900
2025-03-17,6.64,6.69,6.33,6.63,580100
2025-03-14,6.83,7.06,6.44,6.52,983200
2025-03-13,7.36,7.58,6.78,6.83,713400
2025-03-12,7.35,7.61,7.08,7.33,785400
2025-03-11,7.09,7.5,6.8,7.35,875800
2025-03-10,6.98,7.19,6.77,7.09,767800
2025-03-07,6.82,7.45,6.71,7.13,770200
2025-03-06,6.33,6.9,6.25,6.82,703900
2025-03-05,6.33,6.61,5.94,6.58,963000
2025-03-04,5.54,6.31,5.54,6.08,997500
2025-03-03,6.28,6.57,5.67,5.72,883600
2025-02-28,6.17,6.39,6.0,6.27,640100
2025-02-27,5.9,6.46,5.87,6.23,762200
2025-02-26,5.91,6.16,5.78,5.9,924700
2025-02-25,5.89,6.14,5.79,5.96,782000
2025-02-24,6.16,6.29,5.9,5.91,706400
2025-02-21,6.48,6.55,6.05,6.15,649300
2025-02-20,6.47,6.67,6.23,6.35,692500
2025-02-19,6.47,6.57,6.25,6.47,813500
2025-02-18,6.63,7.59,6.47,6.54,1306400
2025-02-14,6.34,6.66,6.3,6.5,477600
2025-02-13,6.38,6.52,6.2,6.31,488700
2025-02-12,6.19,6.44,6.03,6.35,716800
2025-02-11,6.18,6.47,5.95,6.28,734200
2025-02-10,6.54,6.67,5.9,6.27,1472800
2025-02-09,6.54,6.665,5.9,6.27,1472853
2025-02-07,6.86,6.99,6.35,6.5,1123200
2025-02-06,7.81,7.82,6.6,6.62,1700600
