datetime,open,high,low,close,volume
2025-03-27,0.18,0.18,0.18,0.18,396
2025-03-26,0.21,0.22,0.2,0.2,97561
2025-03-17,0.2,0.2001,0.2,0.2001,40
2025-03-14,0.2,0.2001,0.2,0.2001,400
2025-03-12,0.2,0.2,0.2,0.2,51001
2025-03-07,0.2,0.2,0.2,0.2,198585
2025-03-06,0.2,0.2,0.2,0.2,1415
2025-03-04,0.21,0.21,0.21,0.21,100
2025-02-27,0.1811,0.1811,0.1811,0.1811,4926
2025-02-26,0.2,0.2,0.2,0.2,4490
2025-02-25,0.18,0.2,0.18,0.2,25086
2025-02-13,0.2,0.2,0.18,0.18,60
2025-02-12,0.18,0.18,0.18,0.18,286000
2025-02-11,0.18,0.18,0.18,0.18,3000
2025-02-10,0.18,0.18,0.18,0.18,10000
2025-02-07,0.18,0.18,0.18,0.18,26000
2025-01-30,0.165,0.165,0.165,0.165,25
2025-01-23,0.176,0.176,0.176,0.176,700
2025-01-22,0.181,0.181,0.181,0.181,600
2025-01-17,0.184,0.184,0.18,0.18,4042
2025-01-10,0.16,0.16,0.16,0.16,32751
2025-01-03,0.148,0.16,0.148,0.16,35800
2025-01-02,0.15,0.15,0.15,0.15,29900
2024-12-30,0.145,0.15,0.145,0.15,211
2024-12-27,0.17,0.17,0.1401,0.1401,205125
2024-12-26,0.2,0.2,0.161,0.17,18500
2024-12-23,0.2,0.2,0.2,0.2,2075
2024-12-20,0.2,0.2,0.2,0.2,31
