datetime,open,high,low,close,volume
2025-04-01,77.25,77.69,76.42,77.61,2400700
2025-03-31,76.06,77.82,75.85,77.55,4356200
2025-03-28,77.94,78.13,75.86,76.17,2689100
2025-03-27,77.27,77.85,76.72,77.73,2550300
2025-03-26,77.17,78.11,76.96,77.09,2763600
2025-03-25,76.86,77.67,76.78,77.09,2475800
2025-03-24,75.63,77.03,75.38,76.94,2856200
2025-03-21,75.11,75.35,74.36,74.73,8781400
2025-03-20,75.42,76.42,75.27,75.51,1899700
2025-03-19,76.16,76.81,75.8,76.46,2573300
2025-03-18,75.82,76.33,75.48,76.09,2816100
2025-03-17,75.23,76.38,75.15,76.07,2558300
2025-03-14,74.4,75.36,73.4,75.26,4083700
2025-03-13,75.72,76.07,73.57,73.69,3637300
2025-03-12,77.14,77.47,75.55,75.99,3029900
2025-03-11,79.69,80.11,77.31,77.35,4910100
2025-03-10,80.82,82.15,79.46,79.8,5292200
2025-03-07,77.45,80.33,77.45,79.98,4896400
2025-03-06,76.06,78.07,75.3,77.85,4606700
2025-03-05,74.14,74.94,73.23,74.49,3232700
2025-03-04,74.59,75.33,73.69,74.23,4069900
2025-03-03,76.02,76.87,74.26,74.38,3336400
2025-02-28,74.56,76.14,74.22,75.73,4662700
2025-02-27,73.77,74.83,73.69,74.09,3204200
2025-02-26,74.48,75.02,73.82,73.89,2794700
2025-02-25,74.88,75.31,74.18,74.6,3103900
2025-02-24,75.0,76.05,74.65,74.78,3537200
2025-02-21,75.02,75.15,73.88,74.78,3347600
2025-02-20,75.64,75.87,74.52,75.14,2299900
2025-02-19,74.77,75.83,74.41,75.57,2450800
2025-02-18,75.28,75.34,74.15,74.81,2006100
2025-02-14,74.85,75.23,74.57,74.78,2549000
2025-02-13,73.73,74.97,73.66,74.79,2428300
2025-02-12,73.35,73.93,72.91,73.68,1990700
2025-02-11,73.44,74.59,73.15,74.33,1480200
2025-02-10,74.38,74.63,73.62,73.72,2015700
2025-02-07,74.99,75.0,73.77,73.84,2971900
2025-02-06,73.44,74.71,73.04,74.65,2882900
2025-02-05,73.39,73.65,72.07,73.54,2712000
2025-02-04,73.26,73.54,72.64,73.19,3295800
2025-02-03,72.81,74.51,72.46,73.72,3794300
2025-01-31,74.23,74.33,73.02,73.24,5233200
2025-01-30,74.96,75.17,74.32,74.98,2942700
2025-01-29,74.76,75.11,73.94,74.08,1750700
2025-01-28,76.03,76.08,74.76,74.79,2579100
2025-01-27,75.47,76.31,75.12,76.27,2679400
2025-01-24,75.17,76.19,75.16,75.53,2555200
2025-01-23,75.74,76.09,74.99,75.46,2648600
2025-01-22,76.2,76.63,75.57,75.6,4457200
2025-01-21,76.22,77.72,75.9,76.09,4450500
2025-01-17,76.33,76.95,72.52,76.08,7836800
2025-01-16,74.3,75.04,73.94,74.77,3946900
2025-01-15,75.16,75.35,74.09,74.27,3286800
2025-01-14,73.07,73.95,72.89,73.74,3424700
2025-01-13,71.73,72.98,71.63,72.89,3417100
2025-01-10,72.16,72.66,71.38,71.63,2774100
2025-01-08,72.32,73.13,71.77,72.94,2488400
2025-01-07,72.25,72.6,71.58,72.31,2310200
2025-01-06,71.59,72.42,71.48,71.97,2673500
