datetime,open,high,low,close,volume
2025-04-01,4.59,4.67,4.36,4.59,733400
2025-03-31,4.55,4.66,4.37,4.59,566900
2025-03-28,4.94,4.99,4.65,4.7,626500
2025-03-27,4.84,4.98,4.77,4.92,483400
2025-03-26,4.84,4.91,4.66,4.81,477500
2025-03-25,4.94,5.01,4.8,4.84,685600
2025-03-24,5.17,5.24,4.89,4.94,1057300
2025-03-21,5.17,5.25,5.02,5.14,1312000
2025-03-20,5.36,5.52,5.22,5.24,568900
2025-03-19,5.55,5.67,5.4,5.42,659500
2025-03-18,6.04,6.12,5.57,5.57,717900
2025-03-17,6.12,6.23,6.03,6.12,588900
2025-03-14,6.57,6.61,6.04,6.18,777500
2025-03-13,6.69,7.18,6.43,6.49,670800
2025-03-12,6.59,6.99,6.37,6.85,1045800
2025-03-11,6.0,6.7,5.98,6.56,1033100
2025-03-10,6.5,6.58,6.19,6.33,814200
2025-03-07,6.2,6.7,6.17,6.59,780300
2025-03-06,6.02,6.38,5.92,6.17,680300
2025-03-05,5.93,6.18,5.77,6.11,798700
2025-03-04,5.19,5.97,5.12,5.88,1124700
2025-03-03,5.77,5.92,5.21,5.29,991100
2025-02-28,6.01,6.01,5.68,5.77,711500
2025-02-27,6.35,6.41,6.06,6.07,510800
2025-02-26,6.34,6.68,6.26,6.29,426400
2025-02-25,6.66,6.79,6.21,6.24,729400
2025-02-24,7.16,7.16,6.66,6.72,669200
2025-02-21,7.67,7.67,7.03,7.07,686100
2025-02-20,7.66,7.76,7.47,7.55,559200
2025-02-19,7.94,8.36,7.75,7.76,1129500
2025-02-18,7.9,8.0,7.73,7.92,514700
2025-02-14,7.97,7.98,7.55,7.85,736200
2025-02-13,7.4,7.94,7.32,7.8,927300
2025-02-12,6.92,7.41,6.82,7.31,737600
2025-02-11,7.15,7.21,6.89,7.03,628300
2025-02-10,7.46,7.46,7.1,7.25,762500
2025-02-07,7.71,7.8,7.36,7.37,839700
2025-02-06,7.81,8.08,7.56,7.74,954300
2025-02-05,7.7,7.93,7.51,7.58,635900
2025-02-04,7.2,7.79,7.16,7.65,659100
2025-02-03,7.3,7.48,7.1,7.27,1121300
2025-01-31,7.86,8.07,7.56,7.68,911900
2025-01-30,7.7,7.98,7.48,7.77,796100
2025-01-29,7.44,7.76,7.26,7.59,1032500
2025-01-28,7.92,7.98,7.21,7.41,982100
2025-01-27,8.27,8.3,7.63,7.82,1257100
2025-01-24,8.7,8.77,8.26,8.41,1072800
2025-01-23,8.9,8.96,8.54,8.69,951500
2025-01-22,9.5,9.5,8.81,8.95,2035300
2025-01-21,9.56,9.62,8.55,8.98,1600300
2025-01-17,9.79,9.88,9.33,9.59,934700
2025-01-16,9.75,9.89,9.42,9.68,752000
2025-01-15,10.17,10.25,9.7,9.79,1030500
2025-01-14,10.22,10.4,9.54,9.67,774600
2025-01-13,10.58,10.62,9.81,10.08,954600
2025-01-10,11.35,11.72,10.22,10.85,1135100
2025-01-08,12.85,12.92,11.48,11.53,1385600
2025-01-07,12.72,13.98,12.53,13.07,1494700
2025-01-06,12.08,13.31,11.79,12.72,1949600
2025-01-03,10.58,12.3,10.51,11.81,2096400
2025-01-02,9.31,10.73,9.23,10.37,1276500
2024-12-31,9.49,9.49,8.72,9.04,986900
2024-12-30,9.87,9.97,9.28,9.32,1584100
2024-12-27,10.5,10.89,9.77,10.04,933800
2024-12-26,10.2,10.73,9.98,10.6,1381600
2024-12-24,11.12,11.15,10.13,10.38,920500
2024-12-23,10.46,11.47,10.21,11.18,1358000
2024-12-20,9.33,10.47,9.15,10.42,2385300
2024-12-19,9.8,10.25,9.06,9.33,1734600
2024-12-18,10.68,11.01,9.63,9.82,1683300
2024-12-17,10.85,11.05,10.3,10.54,1093600
2024-12-16,11.35,11.49,10.67,10.85,1239400
2024-12-13,11.8,11.99,10.85,11.39,2314200
2024-12-12,12.12,13.7,11.87,11.95,2159400
2024-12-11,12.0,13.45,11.84,12.56,2256000
2024-12-10,11.07,11.82,10.64,11.35,2017400
2024-12-09,10.67,12.5,10.67,11.14,2323900
2024-12-06,10.94,11.04,10.32,10.47,804500
2024-12-05,10.61,11.17,10.14,10.74,1463500
2024-12-04,10.82,10.96,10.0,10.61,989600
2024-12-03,11.5,11.65,10.05,10.55,1636600
2024-12-02,12.23,12.98,10.8,11.35,2425500
2024-11-29,10.9,12.4,10.54,11.87,1587200
2024-11-27,10.92,11.79,10.55,10.78,2040800
2024-11-26,10.15,10.86,9.51,10.7,1861500
2024-11-25,8.46,11.23,8.46,10.44,3134600
2024-11-22,7.92,8.7,7.72,8.28,1274200
2024-11-21,8.23,8.7,7.81,7.92,947200
2024-11-20,8.01,8.31,7.65,8.26,982800
2024-11-19,7.9,8.19,7.52,7.96,1323400
2024-11-18,6.26,8.5,6.25,8.11,4635700
2024-11-15,8.26,9.45,5.87,6.16,13371600
2024-11-14,5.88,7.49,5.63,7.01,3751700
2024-11-13,5.7,6.21,5.45,5.96,2050200
2024-11-12,6.45,6.46,5.66,5.7,1880500
2024-11-11,6.75,7.45,6.15,6.68,1812600
2024-11-08,9.0,9.0,7.5,7.5,2487327
2024-11-07,9.3,9.3,8.7,8.7,2231287
2024-11-06,10.5,10.8,9.9,10.5,1305993
2024-11-05,11.4,12.3,10.8,11.1,1272513
2024-11-04,10.5,12.6,10.5,11.4,3035427
2024-11-01,10.5,11.4,10.5,10.5,1031573
2024-10-31,10.2,10.8,9.9,10.2,828170
2024-10-30,10.2,11.1,9.9,10.2,1032050
2024-10-29,10.8,11.7,10.2,10.2,900647
2024-10-28,9.9,12.0,9.9,11.1,2444407
2024-10-25,9.6,10.2,9.3,9.6,805640
2024-10-24,9.9,9.9,9.3,9.6,557497
2024-10-23,9.6,9.9,9.6,9.9,357470
2024-10-22,9.9,9.9,9.6,9.6,388507
2024-10-21,9.9,10.2,9.6,9.6,471677
2024-10-18,9.6,10.2,9.6,9.9,313327
2024-10-17,10.2,10.5,9.6,9.6,428627
2024-10-16,9.9,10.2,9.9,10.2,470550
2024-10-15,9.9,10.2,9.9,9.9,363140
2024-10-14,10.5,10.5,9.9,10.2,577317
2024-10-11,9.9,10.5,9.6,10.5,513307
2024-10-10,10.2,10.2,9.6,9.9,800740
2024-10-09,10.8,10.8,9.9,10.2,991950
2024-10-08,10.8,10.8,10.2,10.5,585490
