datetime,open,high,low,close,volume
2025-04-01,36.08,36.91,35.52,36.88,871800
2025-03-31,34.99,36.399,34.99,36.05,554400
2025-03-28,36.5,36.5,35.15,35.21,584200
2025-03-27,35.8,36.24,35.45,35.99,340700
2025-03-26,35.42,36.22,35.31,35.79,525500
2025-03-25,35.26,35.85,34.75,35.1,848400
2025-03-24,35.15,35.25,34.6,34.7,973700
2025-03-21,34.52,34.99,34.08,34.7,2596100
2025-03-20,38.0,39.225,35.88,36.44,618800
2025-03-19,41.6,42.84,41.55,42.74,71600
2025-03-18,42.62,42.62,41.52,41.84,52200
2025-03-17,42.5,42.7,41.895,42.67,68900
2025-03-14,40.51,42.835,40.465,42.73,173700
2025-03-13,40.72,40.72,39.896,40.27,41800
2025-03-12,40.97,41.29,39.77,40.39,59100
2025-03-11,39.4,40.68,39.4,40.41,80400
2025-03-10,39.93,40.01,38.23,39.16,72600
2025-03-07,40.8,41.0,39.71,40.86,69400
2025-03-06,41.29,41.655,40.71,40.81,39300
2025-03-05,41.17,42.49,40.77,41.82,81800
2025-03-04,41.59,41.89,40.31,40.89,65800
2025-03-03,42.85,43.745,42.17,42.63,98000
2025-02-28,41.77,42.64,40.92,42.58,171000
2025-02-27,41.83,42.63,41.385,41.57,62100
2025-02-26,41.17,42.01,41.17,41.89,70300
2025-02-25,41.32,42.148,40.94,41.21,124600
2025-02-24,40.2,41.36,39.96,40.88,131600
2025-02-21,44.36,44.36,39.66,40.18,187300
2025-02-20,44.89,45.11,43.012,44.02,122200
2025-02-19,46.01,46.405,44.84,45.42,93800
2025-02-18,47.22,47.759,45.36,46.48,126700
2025-02-14,46.82,47.58,46.74,47.04,55100
2025-02-13,46.07,46.816,45.78,46.43,41300
2025-02-12,45.89,45.98,44.81,45.87,69800
2025-02-11,46.23,47.03,46.11,46.85,49700
2025-02-10,45.01,46.835,44.88,46.43,76300
2025-02-07,43.98,44.955,43.67,44.87,136600
2025-02-06,44.82,45.06,43.645,44.1,54900
2025-02-05,44.0,44.93,43.61,44.9,82800
2025-02-04,43.67,44.18,43.67,43.75,48100
2025-02-03,44.51,44.905,43.54,43.97,70300
2025-01-31,46.35,46.78,45.565,45.91,72500
2025-01-30,46.64,46.82,46.24,46.37,46400
2025-01-29,44.67,46.44,44.67,46.24,79400
2025-01-28,44.59,45.18,44.4,44.75,51200
2025-01-27,42.87,44.72,42.87,44.65,62600
2025-01-24,42.99,43.33,42.87,43.0,38100
2025-01-23,43.28,43.745,42.995,43.21,61800
2025-01-22,43.47,43.77,43.14,43.44,50600
2025-01-21,44.11,44.52,43.43,43.87,49800
2025-01-17,43.44,44.22,42.93,43.9,85900
2025-01-16,42.55,43.1,42.1,43.07,94700
2025-01-15,42.4,43.1,41.515,42.6,70500
2025-01-14,39.51,41.14,39.51,41.06,59800
2025-01-13,38.61,39.92,38.61,39.48,54000
2025-01-10,40.1,41.06,38.93,39.28,83700
2025-01-08,41.94,41.94,40.98,41.44,60000
2025-01-07,41.58,42.525,41.58,42.31,95200
2025-01-06,42.31,42.49,40.78,41.52,102800
2025-01-03,41.25,42.6,41.232,42.39,50000
2025-01-02,41.84,42.335,41.05,41.13,49900
2024-12-31,41.9,42.467,41.27,41.44,37300
2024-12-30,41.23,42.065,40.26,41.56,35100
2024-12-27,42.01,42.55,41.01,41.52,41100
2024-12-26,41.75,42.58,41.57,42.49,24500
2024-12-24,41.6,42.13,41.2,42.12,17600
2024-12-23,41.77,42.02,40.68,41.58,67600
2024-12-20,40.83,42.57,40.83,41.77,145600
2024-12-19,41.07,41.83,40.68,41.37,71700
2024-12-18,43.65,44.05,40.19,40.65,83500
2024-12-17,44.36,44.79,42.995,43.55,55200
2024-12-16,44.58,44.92,44.035,44.73,46000
2024-12-13,43.67,44.816,43.67,44.64,67000
2024-12-12,44.89,45.35,43.63,43.81,34700
2024-12-11,44.95,45.31,44.47,44.74,85000
2024-12-10,45.06,45.32,44.08,44.47,47300
2024-12-09,47.2,47.822,44.87,44.93,64200
2024-12-06,46.88,47.37,46.18,46.75,43700
2024-12-05,46.72,46.822,46.02,46.69,42700
2024-12-04,47.27,47.27,45.86,46.73,45700
2024-12-03,48.73,49.41,46.565,46.94,50300
2024-12-02,48.54,48.92,47.755,48.76,81600
2024-11-29,48.74,49.0,47.995,48.33,24600
2024-11-27,48.1,49.94,47.97,48.52,66400
2024-11-26,47.9,47.95,47.07,47.82,55700
2024-11-25,48.72,50.75,48.41,48.43,82100
2024-11-22,47.59,49.0,47.1,48.3,56700
2024-11-21,45.85,47.32,45.85,47.1,55100
2024-11-20,45.314,45.42,44.56,45.41,47100
2024-11-19,44.85,45.66,44.78,45.62,46900
2024-11-18,45.5,46.46,45.04,45.35,41800
2024-11-15,45.97,46.6,44.47,45.44,69700
2024-11-14,45.79,46.045,45.14,45.47,40200
2024-11-13,46.48,47.41,45.77,45.77,46700
2024-11-12,46.63,47.503,45.5,46.23,100600
2024-11-11,46.44,47.85,46.144,47.2,71300
2024-11-08,45.43,46.49,45.055,46.05,74200
2024-11-07,47.94,48.0,43.69,45.22,86000
2024-11-06,43.31,48.0,43.31,47.42,156700
2024-11-05,40.11,40.94,39.63,40.71,73400
2024-11-04,40.28,40.67,40.03,40.47,53300
2024-11-01,40.24,41.02,40.0,40.37,61300
2024-10-31,41.36,41.36,40.04,40.1,84500
2024-10-30,41.65,42.56,41.59,41.69,26400
2024-10-29,41.29,41.915,41.275,41.84,37400
2024-10-28,41.56,42.17,41.22,41.66,43900
2024-10-25,42.11,42.11,41.22,41.29,42600
2024-10-24,42.48,42.64,41.47,41.89,61300
2024-10-23,41.96,42.71,41.65,42.64,55500
2024-10-22,42.14,42.49,41.59,42.19,40300
2024-10-21,43.73,44.656,42.315,42.36,42000
2024-10-18,44.63,44.63,43.75,43.98,48100
2024-10-17,45.0,45.82,43.57,44.45,81500
2024-10-16,44.19,44.97,44.19,44.84,44300
2024-10-15,43.63,44.16,43.43,43.56,34100
2024-10-14,44.01,44.31,43.225,43.52,35700
2024-10-11,42.57,44.92,42.57,44.07,56000
2024-10-10,42.54,43.22,41.868,42.46,54900
2024-10-09,42.15,43.795,42.15,42.96,41200
2024-10-08,42.29,42.84,42.05,42.35,36600
2024-10-07,43.28,43.589,42.275,42.63,39100
2024-10-04,43.49,44.06,42.44,43.28,65400
2024-10-03,42.96,43.35,42.14,42.36,56900
2024-10-02,42.46,43.87,41.81,43.39,67800
2024-10-01,44.54,44.54,41.66,42.17,96100
2024-09-30,44.11,44.77,43.54,44.72,40700
2024-09-27,43.48,44.98,43.14,44.3,57700
2024-09-26,42.81,44.32,42.394,43.1,65200
2024-09-25,42.61,42.61,42.0,42.1,41000
2024-09-24,42.97,43.09,42.34,42.51,50900
2024-09-23,42.81,43.11,42.23,42.61,45800
2024-09-20,42.61,43.197,42.08,42.38,172000
2024-09-19,43.09,43.5,42.31,42.86,50300
2024-09-18,42.19,42.99,41.195,42.0,66700
2024-09-17,42.87,43.35,42.2,42.22,42500
2024-09-16,41.72,42.45,41.7,42.15,48900
2024-09-13,40.94,42.06,40.575,41.88,69100
2024-09-12,39.97,40.3,39.78,40.2,47400
2024-09-11,39.76,39.76,38.69,39.58,59800
2024-09-10,40.28,40.617,39.3,40.23,60800
2024-09-09,40.19,40.705,39.36,40.29,108200
2024-09-06,41.83,42.015,40.16,40.3,96900
2024-09-05,41.41,42.05,40.29,41.57,64800
2024-09-04,42.04,43.16,41.5,41.71,76600
2024-09-03,45.11,45.495,42.25,42.3,89600
2024-08-30,44.4,45.81,44.4,45.69,98000
2024-08-29,44.47,44.95,44.08,44.24,63300
2024-08-28,42.3,43.88,42.3,43.85,76600
2024-08-27,41.83,42.36,41.62,42.29,44900
2024-08-26,42.79,42.86,41.83,42.02,45600
2024-08-23,40.84,42.51,40.4,42.11,66300
2024-08-22,40.26,40.47,39.76,40.29,45600
2024-08-21,40.69,40.84,40.03,40.41,43600
2024-08-20,41.47,41.47,40.045,40.1,53600
2024-08-19,41.38,41.78,41.12,41.59,43900
2024-08-16,40.34,41.85,40.34,41.38,69500
2024-08-15,39.83,40.98,39.7,40.39,102500
2024-08-14,39.22,39.33,38.735,38.89,63100
2024-08-13,38.28,39.84,38.05,39.36,75300
2024-08-12,38.12,38.61,37.63,37.68,48000
2024-08-09,38.47,38.54,37.9,38.35,55700
2024-08-08,37.75,38.89,37.75,38.61,58700
2024-08-07,39.02,39.39,36.79,37.42,117500
2024-08-06,37.98,38.63,36.4,38.43,109200
2024-08-05,37.31,37.31,34.9,37.08,168400
2024-08-02,39.35,39.35,37.98,38.29,107300
2024-08-01,43.36,43.388,40.33,40.65,92700
2024-07-31,43.46,43.57,42.87,43.13,127700
2024-07-30,43.52,44.346,43.14,43.15,280900
2024-07-29,43.67,44.035,42.95,43.07,70800
2024-07-26,44.49,44.49,43.454,43.8,131900
2024-07-25,43.32,44.82,43.3,43.59,93300
2024-07-24,44.69,45.1,42.87,42.9,93500
2024-07-23,43.94,45.38,43.53,44.8,239300
2024-07-22,43.98,44.15,43.32,44.04,194600
2024-07-19,44.23,44.87,43.79,43.8,99300
2024-07-18,44.63,46.3,44.35,44.39,60700
2024-07-17,44.44,45.7,44.44,44.94,91800
2024-07-16,43.72,45.27,43.7,44.97,100900
2024-07-15,42.47,43.67,42.45,43.51,80300
2024-07-12,42.19,42.83,41.7,41.88,78800
2024-07-11,41.06,42.56,40.624,42.06,89000
2024-07-10,38.32,40.01,38.32,40.0,76400
2024-07-09,37.62,38.41,37.5,37.96,47800
2024-07-08,38.26,38.59,37.66,37.77,57200
2024-07-05,38.07,38.29,37.54,37.88,48100
2024-07-03,37.4,38.62,37.07,38.37,34300
2024-07-02,37.56,37.85,37.358,37.41,56200
2024-07-01,37.92,38.475,37.3,37.69,68200
2024-06-28,38.87,39.19,37.79,38.05,142700
2024-06-27,38.19,38.86,37.52,38.82,33400
2024-06-26,37.38,38.22,37.33,37.88,68100
2024-06-25,38.18,38.74,37.65,37.88,38200
2024-06-24,38.49,38.93,38.3,38.45,45500
2024-06-21,38.11,38.94,37.94,38.53,118800
2024-06-20,37.43,38.42,37.181,38.26,40100
2024-06-18,37.15,38.44,37.15,37.85,79800
2024-06-17,36.44,37.19,36.32,37.13,96100
2024-06-14,36.9,37.431,36.33,36.8,74300
2024-06-13,38.65,38.65,37.49,37.64,55100
2024-06-12,39.72,39.72,38.745,38.93,75300
2024-06-11,38.69,38.98,38.24,38.68,73900
2024-06-10,38.54,39.45,38.12,39.19,82200
2024-06-07,38.72,39.76,38.504,39.05,72500
2024-06-06,39.76,40.16,39.124,39.31,55200
2024-06-05,39.93,40.13,39.02,40.07,86800
2024-06-04,40.69,40.74,38.31,38.56,127400
2024-06-03,40.73,41.33,39.59,41.21,93400
2024-05-31,39.53,40.5,39.16,40.41,105700
2024-05-30,39.41,40.19,39.22,39.58,50200
2024-05-29,39.7,39.78,38.87,39.06,65500
2024-05-28,40.59,40.64,39.98,40.41,45600
2024-05-24,39.87,40.97,39.61,40.65,66100
2024-05-23,41.66,41.75,39.25,39.58,119800
2024-05-22,42.21,42.482,41.15,41.76,55700
2024-05-21,42.18,42.35,41.18,42.32,95000
2024-05-20,42.83,42.87,41.59,42.36,71500
2024-05-17,41.11,43.322,41.11,42.76,125400
2024-05-16,41.1,41.35,40.63,40.74,79000
2024-05-15,41.05,41.23,40.47,40.96,70900
2024-05-14,39.18,41.1,39.084,40.69,94100
2024-05-13,40.75,40.75,38.64,38.69,100800
2024-05-10,40.1,41.82,40.1,40.64,137100
2024-05-09,40.23,40.68,38.94,40.03,108200
2024-05-08,40.15,40.66,39.73,40.5,97500
2024-05-07,41.17,41.91,40.175,40.44,113400
2024-05-06,40.14,41.63,40.14,41.41,71700
2024-05-03,40.8,40.8,39.54,39.9,67300
2024-05-02,38.92,40.52,38.104,40.2,68100
2024-05-01,38.11,39.0,38.07,38.57,50300
2024-04-30,39.02,39.04,37.71,37.82,57400
2024-04-29,39.28,40.08,39.05,39.3,47600
2024-04-26,38.79,39.61,38.68,39.03,64300
2024-04-25,38.6,38.91,38.05,38.63,85800
2024-04-24,37.91,39.12,37.91,39.09,85200
2024-04-23,37.055,38.415,37.055,38.15,68100
2024-04-22,36.99,37.84,36.26,37.21,85500
2024-04-19,35.15,36.67,35.15,36.52,80700
2024-04-18,35.47,35.9,34.98,35.11,64300
2024-04-17,36.42,36.64,35.0,35.3,57500
2024-04-16,35.55,36.51,35.0,36.22,142800
2024-04-15,37.06,37.158,35.66,35.88,65900
2024-04-12,36.44,37.33,36.31,36.71,125800
2024-04-11,37.83,38.44,36.21,36.54,128300
2024-04-10,38.87,39.015,37.56,37.87,150100
