datetime,open,high,low,close,volume
2025-04-01,9.67,10.12,9.63,10.11,790800
2025-03-31,9.65,9.81,9.53,9.63,892400
2025-03-28,10.22,10.3,9.685,9.76,1199700
2025-03-27,9.94,10.49,9.82,10.46,1562800
2025-03-26,9.68,9.86,9.582,9.81,861600
2025-03-25,9.79,9.805,9.56,9.71,780900
2025-03-24,10.0,10.06,9.79,9.86,906100
2025-03-21,9.87,10.05,9.73,10.04,1594400
2025-03-20,9.7,10.31,9.53,9.99,1522400
2025-03-19,10.71,10.75,10.46,10.61,1528900
2025-03-18,10.0,11.08,9.76,10.72,4598800
2025-03-17,8.8,9.25,8.74,9.12,2347900
2025-03-14,8.63,8.74,8.51,8.71,1097300
2025-03-13,8.22,8.39,8.19,8.3,432000
2025-03-12,8.34,8.38,8.23,8.31,766900
2025-03-11,8.11,8.295,8.11,8.26,666000
2025-03-10,8.12,8.25,7.93,8.05,552900
2025-03-07,8.43,8.55,8.293,8.33,660600
2025-03-06,8.54,8.55,8.355,8.42,973900
2025-03-05,8.22,8.45,8.17,8.43,647100
2025-03-04,8.07,8.17,7.86,8.04,658100
2025-03-03,8.25,8.3,7.99,8.11,709300
2025-02-28,8.28,8.35,8.17,8.24,969200
2025-02-27,8.57,8.67,8.391,8.43,554600
2025-02-26,8.29,8.66,8.27,8.6,895700
2025-02-25,8.5,8.52,8.155,8.21,966300
2025-02-24,8.47,8.5,8.21,8.39,985500
2025-02-21,8.69,8.7,8.45,8.52,1106700
2025-02-20,8.58,8.68,8.415,8.62,1132300
2025-02-19,8.45,8.55,8.275,8.48,792400
2025-02-18,8.49,8.555,8.27,8.47,1182300
2025-02-14,8.6,8.78,8.35,8.37,1154400
2025-02-13,8.04,8.35,8.01,8.33,860700
2025-02-12,7.94,8.17,7.85,8.06,1149700
2025-02-11,8.15,8.15,7.83,7.92,1179500
2025-02-10,8.3,8.34,8.11,8.26,996700
2025-02-07,8.08,8.3,8.08,8.29,1216800
2025-02-06,7.92,8.08,7.895,7.98,1523100
2025-02-05,7.7,7.845,7.7,7.8,965900
2025-02-04,7.64,7.8,7.62,7.71,629900
2025-02-03,7.45,7.59,7.11,7.52,726600
2025-01-31,7.9,7.9,7.595,7.64,779700
2025-01-30,7.69,7.97,7.69,7.86,1032300
2025-01-29,7.76,7.81,7.57,7.64,798000
2025-01-28,7.59,7.76,7.54,7.74,701200
2025-01-27,7.58,7.7,7.54,7.58,497800
2025-01-24,7.38,7.68,7.35,7.66,1171300
2025-01-23,7.39,7.52,7.3,7.34,698700
2025-01-22,7.25,7.34,7.114,7.34,1089100
2025-01-21,7.09,7.23,6.995,7.22,1140700
2025-01-17,6.98,7.065,6.92,7.02,681800
2025-01-16,7.0,7.06,6.91,6.98,340100
2025-01-15,7.04,7.12,6.98,7.0,717200
2025-01-14,6.81,7.0,6.77,7.0,719300
2025-01-13,6.75,6.965,6.6,6.75,742600
2025-01-10,6.63,6.81,6.63,6.74,801800
2025-01-08,6.6,6.66,6.542,6.65,1042100
2025-01-07,6.58,6.78,6.45,6.65,933900
2025-01-06,7.0,7.005,6.57,6.58,800700
2025-01-03,6.85,7.018,6.8,6.91,458500
2025-01-02,6.75,6.8,6.7,6.78,368400
2024-12-31,6.83,6.88,6.775,6.79,350400
2024-12-30,6.82,6.875,6.77,6.8,321900
2024-12-27,6.98,6.98,6.79,6.86,266500
2024-12-26,6.95,7.04,6.91,7.02,414500
2024-12-24,6.89,6.945,6.84,6.94,171400
2024-12-23,6.84,6.885,6.72,6.87,379700
2024-12-20,6.72,6.835,6.72,6.78,352900
2024-12-19,6.81,6.89,6.735,6.8,469800
2024-12-18,7.0,7.15,6.77,6.81,812800
