datetime,open,high,low,close,volume
2025-04-01,42.35,42.57,41.53,42.15,1819700
2025-03-31,41.03,42.45,40.9,42.19,1739800
2025-03-28,42.63,42.63,41.65,42.21,1467700
2025-03-27,42.07,42.63,41.98,42.63,1474100
2025-03-26,41.44,42.32,41.37,42.16,2248400
2025-03-25,41.82,41.99,41.04,41.2,2101400
2025-03-24,41.62,42.02,41.15,41.75,2895000
2025-03-21,41.42,42.25,40.86,41.51,38255700
2025-03-20,42.88,42.95,42.06,42.26,2076400
2025-03-19,42.9,43.6,42.76,43.21,2410100
2025-03-18,42.94,43.22,42.41,42.83,2299800
2025-03-17,41.73,43.16,41.73,42.68,2369200
2025-03-14,40.79,41.82,40.61,41.69,2294800
2025-03-13,39.98,40.99,39.86,40.38,3896000
2025-03-12,41.08,41.6,39.55,39.84,4587100
2025-03-11,41.65,41.75,40.47,41.38,3285200
2025-03-10,41.31,42.36,41.14,41.58,4011400
2025-03-07,40.13,41.42,39.72,41.29,3628700
2025-03-06,39.4,40.7,39.36,40.26,3803100
2025-03-05,37.29,39.5,37.15,39.45,3923100
2025-03-04,35.49,37.08,35.33,36.6,3210900
2025-03-03,37.59,37.59,35.35,35.54,3007400
2025-02-28,37.41,37.87,36.77,36.9,2929300
2025-02-27,38.16,38.51,37.67,37.7,1821700
2025-02-26,38.48,38.51,37.87,38.2,2085800
2025-02-25,37.9,38.42,37.79,38.24,2445300
2025-02-24,38.43,38.6,37.92,37.97,2720500
2025-02-21,38.46,38.71,37.82,38.25,2476100
2025-02-20,37.95,38.3,37.66,38.19,2418400
2025-02-19,37.2,37.96,37.06,37.65,2516900
2025-02-18,36.78,38.17,36.74,38.01,3490200
2025-02-14,36.81,37.1,36.57,36.62,1718300
2025-02-13,36.78,37.19,35.92,36.71,2360800
2025-02-12,36.0,36.98,35.92,36.66,3123800
2025-02-11,34.97,36.92,34.77,36.45,3785300
2025-02-10,34.6,35.28,34.24,35.1,3864500
2025-02-07,34.99,35.06,33.8,34.54,8578500
2025-02-06,36.4,36.97,35.63,35.66,8528700
2025-02-05,35.92,36.91,34.0,35.92,25337900
2025-02-04,55.08,55.21,53.75,54.04,4064800
2025-02-03,54.49,55.27,52.65,54.92,1862500
2025-01-31,55.78,56.56,55.49,55.78,1845400
2025-01-30,56.19,56.62,55.61,56.38,1282300
2025-01-29,56.48,56.79,56.04,56.33,1055900
2025-01-28,55.87,57.0,55.5,56.25,2107600
2025-01-27,55.85,56.27,54.94,55.91,1370100
2025-01-24,55.67,55.82,55.05,55.56,644000
2025-01-23,54.45,55.93,54.32,55.64,1426000
2025-01-22,54.29,54.86,54.29,54.44,976900
2025-01-21,54.5,54.85,53.32,54.52,1044500
2025-01-17,53.65,54.13,53.42,53.43,1126800
2025-01-16,53.17,53.68,52.7,53.53,1085400
2025-01-15,54.52,54.55,53.01,53.46,1604700
2025-01-14,53.6,53.64,52.5,53.51,1897500
2025-01-13,49.91,52.08,49.58,52.04,1930700
2025-01-10,49.74,50.02,48.8,49.59,1183000
2025-01-08,50.68,50.95,49.08,50.31,1474000
2025-01-07,49.65,51.42,49.65,51.13,2280600
2025-01-06,49.25,50.63,49.18,49.67,1592500
2025-01-03,49.1,49.6,48.38,48.53,1226500
2025-01-02,48.67,49.99,48.6,48.74,1311500
2024-12-31,48.32,48.71,47.83,48.61,1388700
2024-12-30,49.0,49.01,47.71,48.45,1407600
2024-12-27,49.0,49.81,48.52,49.01,1258600
2024-12-26,49.3,49.84,49.07,49.13,997800
2024-12-24,49.62,49.92,49.24,49.74,498200
2024-12-23,50.0,50.13,48.99,49.74,1263100
2024-12-20,48.71,50.99,48.01,50.15,5113400
2024-12-19,49.38,49.66,47.73,47.86,2533700
2024-12-18,51.52,52.0,49.05,49.11,1995500
2024-12-17,51.5,52.01,50.84,51.7,1603400
2024-12-16,53.19,53.19,51.46,51.91,1720900
2024-12-13,54.29,54.7,52.65,53.5,2058000
2024-12-12,55.87,56.37,54.47,54.5,1739100
2024-12-11,57.47,57.91,56.24,56.45,2124800
2024-12-10,58.02,58.02,56.42,57.25,951900
2024-12-09,57.38,59.88,57.16,58.18,1331400
2024-12-06,57.59,57.81,56.09,56.58,1036600
2024-12-05,59.25,59.28,56.74,57.19,1276700
2024-12-04,58.99,59.48,58.21,59.01,980300
2024-12-03,59.6,60.49,58.75,59.53,1303100
2024-12-02,58.89,59.59,57.75,59.38,1175800
2024-11-29,59.12,59.51,57.56,59.09,607100
2024-11-27,60.35,61.07,59.26,59.5,733500
2024-11-26,59.95,61.26,59.61,59.97,1590600
2024-11-25,59.22,60.64,59.0,60.62,1362900
2024-11-22,58.38,59.13,58.0,58.74,760700
2024-11-21,57.1,58.6,57.01,58.33,1379200
2024-11-20,55.61,57.21,55.5,57.2,1138600
2024-11-19,54.63,56.35,54.4,55.61,1261800
2024-11-18,54.73,55.25,54.29,55.23,1308100
2024-11-15,55.48,56.0,54.25,54.39,1586200
2024-11-14,55.64,56.06,55.04,55.48,1099700
2024-11-13,56.0,56.6,55.48,55.73,1371500
2024-11-12,58.58,58.58,55.11,55.94,2028900
2024-11-11,59.67,60.32,58.7,59.09,895900
