datetime,open,high,low,close,volume
2025-04-01,7.35,7.375,7.35,7.37,80655
2025-03-31,7.35,7.39,7.315,7.36,147711
2025-03-28,7.36,7.38,7.35,7.36,95020
2025-03-27,7.38,7.41,7.36,7.36,136124
2025-03-26,7.4,7.42,7.38,7.38,107727
2025-03-25,7.44,7.46,7.38,7.38,192728
2025-03-24,7.42,7.43,7.37,7.4,104615
2025-03-21,7.38,7.52,7.36,7.36,293796
2025-03-20,7.35,7.38,7.35,7.38,243817
2025-03-19,7.37,7.37,7.35,7.35,89042
2025-03-18,7.34,7.38,7.34,7.37,150920
2025-03-17,7.33,7.37,7.33,7.34,75557
2025-03-14,7.33,7.36,7.33,7.33,432413
2025-03-13,7.33,7.35,7.33,7.33,135801
2025-03-12,7.33,7.36,7.33,7.33,247300
2025-03-11,7.38,7.425,7.32,7.32,197957
2025-03-10,7.4,7.42,7.37,7.39,189414
2025-03-07,7.39,7.42,7.36,7.38,72956
2025-03-06,7.34,7.45,7.34,7.36,270716
2025-03-05,7.32,7.6,7.29,7.38,1863942
2025-03-04,7.31,7.34,7.305,7.31,1638767
2025-03-03,7.32,7.33,7.31,7.31,279845
2025-02-28,7.32,7.33,7.31,7.31,1210759
2025-02-27,7.33,7.34,7.31,7.31,534280
2025-02-26,7.31,7.4,7.31,7.34,455146
2025-02-25,7.32,7.32,7.3,7.32,1800575
2025-02-24,7.32,7.34,7.31,7.32,887687
2025-02-21,7.31,7.32,7.3,7.31,2147970
2025-02-20,7.32,7.35,7.29,7.31,14787049
2025-02-19,7.34,7.36,7.31,7.32,8896365
2025-02-18,6.54,6.6779,6.12,6.23,184767
2025-02-14,6.7,6.76,6.17,6.54,68817
2025-02-13,6.63,7.0,6.63,6.78,46297
2025-02-12,6.42,6.9599,6.415,6.63,20471
2025-02-11,6.54,6.5999,6.48,6.53,14580
2025-02-10,6.48,6.98,6.48,6.63,48175
2025-02-07,6.35,6.67,6.29,6.47,40822
2025-02-06,6.45,6.765,6.33,6.37,25123
2025-02-05,6.65,6.79,6.35,6.44,36923
2025-02-04,6.59,6.91,6.55,6.75,15761
2025-02-03,6.73,6.91,6.61,6.7,37118
2025-01-31,7.0,7.01,6.68,6.94,81332
2025-01-30,7.11,7.26,6.89,7.07,60964
2025-01-29,7.22,7.4868,7.07,7.14,50989
2025-01-28,7.16,7.7,7.16,7.26,58329
2025-01-27,7.21,7.4243,6.89,7.21,138829
2025-01-24,7.48,7.6259,7.06,7.33,89255
2025-01-23,7.5,7.6699,7.46,7.48,18150
2025-01-22,7.2,7.74,7.1838,7.5,78973
2025-01-21,7.21,7.5599,7.21,7.3,72770
2025-01-17,7.65,7.8,7.09,7.39,151714
2025-01-16,7.56,7.775,7.51,7.65,51513
2025-01-15,7.48,7.8,7.4789,7.62,45679
2025-01-14,7.52,7.6125,7.49,7.55,25168
2025-01-13,7.35,7.67,7.297,7.57,61765
2025-01-10,7.63,7.88,7.2301,7.45,111596
2025-01-08,7.96,7.99,7.66,7.8,168562
2025-01-07,7.71,8.0,7.61,7.95,181471
