datetime,open,high,low,close,volume
2025-04-01,130.60699,134.64999,130.60699,133.50999,46300
2025-03-31,128.89,132.46001,125.2,132.17,47800
2025-03-28,137.49001,138.571,130.48,131.63,62000
2025-03-27,139.0,139.89999,136.67999,138.05,64900
2025-03-26,141.39,143.62199,139.0,139.92999,39700
2025-03-25,138.96001,142.355,138.66,141.39,51300
2025-03-24,136.07001,139.78,136.07001,138.96001,79200
2025-03-21,135.47,135.47,131.267,134.05,42800
2025-03-20,135.00999,138.28,132.87,135.47,88500
2025-03-19,132.63,138.498,132.63,136.7,56500
2025-03-18,132.22,132.92,130.58501,132.63,72600
2025-03-17,127.47,134.99001,127.46,132.75,92800
2025-03-14,124.87,129.71001,124.0,126.89,89800
2025-03-13,125.62,125.62,120.1,122.16,85100
2025-03-12,131.11,131.849,125.0,125.2,63600
2025-03-11,128.48,129.83299,126.305,127.07,75600
2025-03-10,131.31,132.46001,126.32,127.81,108800
2025-03-07,137.39,140.127,131.53999,135.10001,64000
2025-03-06,140.89,142.20399,136.355,137.39,74700
2025-03-05,140.32001,145.71001,138.97301,143.91,119100
2025-03-04,144.00999,145.0,135.10001,140.24001,108200
2025-03-03,147.21001,151.869,145.05701,145.86,96200
2025-02-28,143.42,147.66,143.21899,147.07001,107500
2025-02-27,149.94,150.3,143.578,144.74001,91400
2025-02-26,145.63,149.96001,144.49001,149.33,99300
2025-02-25,146.5,147.66299,142.39,145.41,55800
2025-02-24,148.39999,149.0,143.515,145.83,78700
2025-02-21,155.0,156.0,145.60001,146.11,98400
2025-02-20,156.52,157.60001,152.12399,154.42,80700
2025-02-19,155.10001,157.49001,154.00999,156.53999,110200
2025-02-18,157.83,159.81,154.55,156.55,134900
2025-02-14,160.24001,161.00999,156.28,157.03999,97300
2025-02-13,155.10001,160.99001,155.05099,160.98,110900
2025-02-12,149.52,154.85001,148.411,154.28,91900
2025-02-11,158.72,160.787,149.12,149.89,153700
2025-02-10,158.61,164.825,158.06,159.35001,141200
2025-02-07,150.09,161.35001,149.93201,157.56,196100
2025-02-06,146.75,150.0,146.24699,149.61,95800
2025-02-05,143.09,146.99899,142.847,146.7,75700
2025-02-04,141.8,143.45599,140.519,143.09,53300
2025-02-03,139.69,142.578,138.61,140.88,63300
2025-01-31,141.00999,143.075,140.44501,140.84,113800
2025-01-30,140.14999,142.088,139.21001,141.83,114400
2025-01-29,139.00999,141.0,137.94501,139.53,129000
2025-01-28,134.95,139.0,134.888,138.97,104600
2025-01-27,136.41,138.159,134.60001,134.83,74400
2025-01-24,138.17999,138.8,137.673,138.32001,42800
2025-01-23,138.41,138.67799,137.12,137.56,62600
2025-01-22,135.27,139.16,135.27,138.32001,65400
2025-01-21,134.10001,137.16299,133.12,134.89,127800
2025-01-17,134.27,136.07001,133.20799,134.63,112700
2025-01-16,131.64,134.53,130.77699,134.03,80200
2025-01-15,128.60001,131.08501,127.641,130.85001,65300
2025-01-14,125.8,127.975,125.64,126.96,60000
2025-01-13,127.38,127.829,121.74,124.96,90700
2025-01-10,132.2,132.2,128.11,128.11,119500
2025-01-08,130.88,133.60001,129.843,133.2,100600
2025-01-07,132.19,132.39999,129.157,131.0,95000
2025-01-06,134.75,135.23,131.33,131.33,61900
2025-01-03,134.0,134.666,131.11,134.10001,85000
2025-01-02,131.0,133.77499,130.45,133.25,75500
2024-12-31,130.88,132.19,129.12,130.69,63600
2024-12-30,128.61,131.55,127.254,130.965,64400
2024-12-27,133.0,134.0,129.0,129.74001,70200
2024-12-26,130.83,132.8,129.8,132.44,83400
2024-12-24,129.0,131.96899,128.5,130.83,110400
2024-12-23,127.37,130.0,126.5,128.92,83700
2024-12-20,126.41,129.33,126.0,127.17,52000
2024-12-19,127.31,130.03999,126.535,127.2,67000
2024-12-18,131.7,132.3,125.51,126.13,80900
2024-12-17,132.96001,134.0,130.43201,131.17999,89200
2024-12-16,132.28,133.63,130.03,133.55,79200
2024-12-13,129.5,132.14999,129.5,132.14999,31000
2024-12-12,132.05,133.92,128.55,129.48,60100
2024-12-11,130.28999,132.22,127.971,131.95,99500
2024-12-10,126.9,130.5,126.9,129.24001,63200
2024-12-09,127.13,131.173,125.67,126.45,93200
2024-12-06,126.48,127.35,125.365,126.51,98800
2024-12-05,123.0,126.96,123.0,126.48,77200
2024-12-04,119.57,122.715,119.396,122.49,58400
2024-12-03,119.47,120.55,118.149,119.57,95600
2024-12-02,119.78,120.0,117.95,119.47,84000
2024-11-29,118.71,120.795,118.23,118.88,106200
2024-11-27,117.27,119.8,117.27,118.43,122100
2024-11-26,117.55,118.649,116.076,117.38,54400
2024-11-25,118.52,119.0,116.61,118.1,108500
2024-11-22,117.3,118.996,116.671,117.47,61500
2024-11-21,122.49,123.174,117.095,117.3,158400
2024-11-20,117.0,122.71,116.97,122.71,121100
2024-11-19,116.22,117.045,115.11,117.0,86800
2024-11-18,115.58,116.98,113.805,116.22,79400
2024-11-15,116.74,116.95,114.57,116.51,88800
2024-11-14,115.23,116.949,114.54,116.58,103600
2024-11-13,115.09,116.5,114.538,114.61,96800
2024-11-12,116.41,116.41,113.81,114.49,99500
2024-11-11,113.0,115.975,113.0,115.86,96200
2024-11-08,110.54,114.4,110.353,112.86,160700
2024-11-07,109.45,110.6,109.39,110.54,71600
2024-11-06,108.99,110.9,108.595,109.35,111600
2024-11-05,105.5,107.975,105.0,107.35,81200
2024-11-04,106.4,107.075,104.59,104.59,33500
2024-11-01,109.35,109.35,106.19,106.46,41600
2024-10-31,110.68,111.28,108.3,108.4,124000
2024-10-30,110.16,111.91,109.574,111.07,85400
2024-10-29,111.09,112.34,109.82,110.25,129300
2024-10-28,111.19,112.34,110.11,111.0,108600
2024-10-25,106.83,111.586,106.45,111.38,125500
2024-10-24,105.77,106.851,105.3,106.1,69700
2024-10-23,107.15,107.54,105.2,105.77,88400
2024-10-22,104.79,107.14,104.136,107.14,63400
2024-10-21,104.63,105.5,103.9,104.89,53400
2024-10-18,105.5,108.14,103.9,105.23,148900
2024-10-17,101.0,105.42,100.71,105.37,133700
2024-10-16,100.02,101.32,99.89,100.59,85100
2024-10-15,99.42,100.26,98.96,99.56,60600
2024-10-14,98.0,101.01,98.0,99.2,163500
2024-10-11,97.98,98.986,97.625,97.85,22800
2024-10-10,98.28,98.517,97.07,97.47,32900
2024-10-09,97.82,99.77,97.0,98.47,63900
2024-10-08,96.0,98.36,96.0,98.14,54500
2024-10-07,99.41,99.41,96.11,96.43,45000
2024-10-04,98.61,99.41,97.22,99.41,104100
2024-10-03,97.07,98.87,96.79,98.12,69900
2024-10-02,96.53,97.76,95.708,97.42,78500
