datetime,open,high,low,close,volume
2025-04-01,5.06,5.49,4.995,5.08,100000
2025-03-31,5.0,5.08,4.9,5.05,17800
2025-03-28,5.08,5.229,4.9,4.94,45100
2025-03-27,5.15,5.246,5.1,5.15,10500
2025-03-26,5.275,5.32,5.2,5.27,16200
2025-03-25,5.2,5.37,5.176,5.2,13500
2025-03-24,5.41,5.41,5.161,5.171,15700
2025-03-21,5.18,5.65,5.12,5.214,29200
2025-03-20,5.25,5.35,5.14,5.35,15600
2025-03-19,5.476,5.476,5.252,5.26,9900
2025-03-18,5.59,5.59,5.4,5.41,12000
2025-03-17,5.29,5.74,5.229,5.654,54100
2025-03-14,5.27,5.375,4.93,5.16,61500
2025-03-13,5.19,5.28,5.11,5.12,19100
2025-03-12,5.2,5.343,5.2,5.28,13100
2025-03-11,5.09,5.23,5.09,5.19,11200
2025-03-10,5.57,5.63,5.0,5.1,66000
2025-03-07,5.44,5.69,5.265,5.62,38200
2025-03-06,5.49,5.74,5.45,5.49,21000
2025-03-05,5.15,5.57,5.14,5.55,28800
2025-03-04,5.44,5.44,5.055,5.33,89900
2025-03-03,5.76,5.775,5.4,5.44,28800
2025-02-28,5.7,5.75,5.55,5.685,34100
2025-02-27,5.93,6.0,5.62,5.66,15800
2025-02-26,5.64,6.12,5.61,5.88,77900
2025-02-25,5.9,5.9,5.55,5.64,51300
2025-02-24,5.97,6.13,5.77,5.86,78100
2025-02-21,6.52,6.53,5.95,5.95,104300
2025-02-20,6.7,6.788,6.42,6.57,68100
2025-02-19,6.86,6.95,6.601,6.76,55100
2025-02-18,7.23,7.23,6.8,6.91,115300
2025-02-14,6.41,7.24,6.406,7.21,234100
2025-02-13,6.1,6.45,5.965,6.38,114500
2025-02-12,6.15,6.23,6.074,6.15,69900
2025-02-11,6.21,6.29,6.15,6.2,33700
2025-02-10,6.23,6.39,6.19,6.28,42700
2025-02-07,6.7,6.7,6.14,6.28,69100
2025-02-06,6.3,6.66,6.3,6.58,163000
2025-02-05,6.25,6.4,6.22,6.28,49200
2025-02-04,6.05,6.335,6.0,6.27,76000
2025-02-03,5.94,6.12,5.85,6.01,89000
2025-01-31,6.36,6.45,5.93,6.08,69200
2025-01-30,6.3,6.49,6.24,6.45,71700
2025-01-29,6.2,6.3,6.069,6.3,29900
2025-01-28,6.33,6.33,5.9,6.2,100700
2025-01-27,6.11,6.34,5.91,6.3,92500
2025-01-24,6.46,6.492,5.9,6.01,190800
2025-01-23,6.35,6.75,6.153,6.43,196000
2025-01-22,5.92,6.45,5.85,6.29,141300
2025-01-21,5.71,6.22,5.2,5.99,477900
2025-01-17,5.72,6.444,5.55,5.85,1660900
2025-01-16,4.25,5.98,4.2,5.64,18240200
2025-01-15,3.57,3.69,3.455,3.69,148000
2025-01-14,4.05,4.08,3.455,3.51,172200
2025-01-13,3.81,4.08,3.81,4.068,49200
2025-01-10,3.7,3.8,3.62,3.8,44100
2025-01-08,3.58,3.78,3.58,3.7,22800
2025-01-07,3.66,3.79,3.58,3.6,36700
2025-01-06,3.66,3.77,3.66,3.7,27000
2025-01-03,3.67,3.72,3.641,3.72,5700
2025-01-02,3.78,3.78,3.57,3.67,31200
2024-12-31,3.76,3.81,3.58,3.61,30300
2024-12-30,3.56,3.61,3.52,3.61,104200
2024-12-27,3.572,3.6,3.54,3.59,14800
2024-12-26,3.595,3.63,3.55,3.56,8700
2024-12-24,3.55,3.605,3.55,3.56,10600
2024-12-23,3.6,3.61,3.54,3.55,17200
2024-12-20,3.52,3.607,3.51,3.55,14400
2024-12-19,3.7,3.75,3.54,3.57,20900
2024-12-18,3.76,3.825,3.7,3.71,27200
2024-12-17,3.92,3.92,3.75,3.78,29300
2024-12-16,3.96,3.98,3.85,3.86,14100
2024-12-13,3.96,3.98,3.93,3.95,22300
2024-12-12,3.85,3.97,3.83,3.91,21100
2024-12-11,3.8,3.86,3.77,3.81,32500
2024-12-10,3.8,3.8,3.75,3.8,14400
2024-12-09,3.76,3.8,3.745,3.78,20100
2024-12-06,3.86,3.86,3.7,3.71,67100
2024-12-05,3.91,3.94,3.82,3.82,29600
2024-12-04,3.95,3.97,3.93,3.93,11000
2024-12-03,3.99,4.03,3.87,3.91,15800
2024-12-02,3.9,4.079,3.86,3.985,103900
2024-11-29,4.06,4.168,4.06,4.15,15300
2024-11-27,4.0,4.125,3.92,4.05,23300
2024-11-26,4.04,4.04,3.96,4.01,18900
2024-11-25,4.02,4.08,3.985,4.04,19400
2024-11-22,3.955,4.02,3.95,4.02,12800
2024-11-21,3.99,3.99,3.9,3.95,53800
2024-11-20,3.95,3.999,3.91,3.95,12100
2024-11-19,4.12,4.12,3.92,3.95,29000
2024-11-18,3.86,4.22,3.86,4.17,55500
2024-11-15,3.73,4.01,3.73,3.76,100600
2024-11-14,4.25,4.25,3.72,3.72,50200
2024-11-13,4.3,4.3,4.15,4.22,52700
2024-11-12,4.43,4.43,4.274,4.35,35400
2024-11-11,4.19,4.44,4.166,4.37,147900
2024-11-08,4.2,4.22,4.0,4.1,24500
2024-11-07,4.03,4.25,3.95,4.21,77700
2024-11-06,4.07,4.1,3.95,3.961,25900
2024-11-05,4.05,4.07,4.02,4.04,24400
2024-11-04,3.96,4.06,3.88,4.05,22100
2024-11-01,4.0,4.0,3.806,3.841,35200
2024-10-31,4.06,4.07,3.975,4.0,24000
2024-10-30,4.15,4.15,4.02,4.06,32400
2024-10-29,4.13,4.16,4.11,4.13,32600
2024-10-28,4.03,4.15,4.0,4.15,56700
2024-10-25,3.97,4.015,3.92,4.0,34200
2024-10-24,3.951,3.97,3.9,3.954,21800
2024-10-23,3.9,3.942,3.702,3.94,69100
2024-10-22,3.47,3.859,3.47,3.83,114300
2024-10-21,3.6,3.62,3.43,3.47,43300
2024-10-18,3.61,3.62,3.573,3.616,30600
2024-10-17,3.7,3.7,3.61,3.62,24700
2024-10-16,3.63,3.68,3.62,3.68,14100
2024-10-15,3.63,3.65,3.601,3.63,15300
2024-10-14,3.59,3.66,3.56,3.59,23400
2024-10-11,3.55,3.584,3.55,3.575,6900
2024-10-10,3.58,3.58,3.49,3.56,6300
2024-10-09,3.6,3.6,3.48,3.555,8500
2024-10-08,3.31,3.49,3.309,3.46,13300
2024-10-07,3.35,3.395,3.33,3.37,7500
2024-10-04,3.34,3.419,3.21,3.33,19700
2024-10-03,3.5,3.5,3.37,3.37,10900
2024-10-02,3.45,3.55,3.45,3.495,11400
2024-10-01,3.61,3.63,3.39,3.45,20900
2024-09-30,3.65,3.66,3.61,3.645,29200
2024-09-27,3.65,3.661,3.621,3.65,3800
2024-09-26,3.59,3.7,3.59,3.68,18800
2024-09-25,3.523,3.62,3.45,3.61,33900
2024-09-24,3.52,3.52,3.43,3.43,28000
2024-09-23,3.43,3.53,3.43,3.52,30300
2024-09-20,3.45,3.458,3.4,3.428,22000
2024-09-19,3.42,3.46,3.41,3.41,14000
2024-09-18,3.45,3.46,3.336,3.43,8900
2024-09-17,3.45,3.45,3.37,3.44,11300
2024-09-16,3.4,3.43,3.398,3.43,10400
2024-09-13,3.23,3.39,3.23,3.39,15700
2024-09-12,3.2,3.23,3.179,3.225,8700
2024-09-11,3.205,3.205,3.168,3.2,10900
2024-09-10,3.21,3.23,3.18,3.22,13900
2024-09-09,3.18,3.248,3.18,3.23,4400
2024-09-06,3.28,3.28,3.16,3.2,14400
2024-09-05,3.2,3.28,3.19,3.28,6800
2024-09-04,3.3,3.3,3.16,3.165,33200
2024-09-03,3.42,3.442,3.27,3.32,60400
2024-08-30,3.46,3.46,3.38,3.42,34500
2024-08-29,3.25,3.48,3.25,3.415,72600
2024-08-28,3.32,3.39,3.31,3.385,19700
2024-08-27,3.17,3.37,3.17,3.34,60900
2024-08-26,3.06,3.2,3.06,3.18,33700
2024-08-23,2.92,3.036,2.9,3.0,12600
2024-08-22,2.89,2.932,2.89,2.9,10600
2024-08-21,2.94,2.94,2.8,2.86,41800
2024-08-20,3.12,3.12,2.91,2.92,37100
2024-08-19,2.99,3.145,2.92,3.06,106500
2024-08-16,2.76,2.905,2.65,2.82,119200
2024-08-15,2.3,2.697,2.277,2.65,290600
2024-08-14,2.14,2.14,2.08,2.14,38900
2024-08-13,2.1,2.14,2.08,2.1,31000
2024-08-12,1.81,2.1,1.65,2.1,53000
2024-08-09,1.887,1.95,1.887,1.94,3700
2024-08-08,1.84,1.9,1.84,1.9,2400
2024-08-07,1.9,1.91,1.82,1.82,7300
2024-08-06,1.93,1.938,1.878,1.9,3900
2024-08-05,1.94,1.94,1.88,1.88,26400
2024-08-02,2.0,2.01,1.99,2.0,8900
2024-08-01,2.029,2.029,2.0,2.02,6600
2024-07-31,2.05,2.05,2.02,2.02,6100
2024-07-30,2.04,2.04,2.02,2.02,6200
2024-07-29,2.11,2.11,2.03,2.04,8900
2024-07-26,2.063,2.1,2.03,2.1,26400
2024-07-25,1.99,2.02,1.99,2.01,14200
2024-07-24,1.971,2.01,1.97,1.99,30300
2024-07-23,1.99,2.0,1.95,1.97,39900
2024-07-22,1.95,2.0,1.94,1.99,20500
2024-07-19,1.94,1.97,1.9,1.97,23900
2024-07-18,2.04,2.041,1.9,1.9,19400
2024-07-17,1.98,2.04,1.98,2.04,18500
2024-07-16,1.93,2.05,1.93,1.96,5000
2024-07-15,2.02,2.03,1.91,1.91,34900
2024-07-12,2.01,2.06,1.96,2.02,29200
2024-07-11,1.87,1.96,1.84,1.955,41700
2024-07-10,1.77,1.88,1.77,1.84,12100
2024-07-09,1.81,1.85,1.78,1.78,11700
2024-07-08,1.87,1.89,1.81,1.81,9500
2024-07-05,1.858,1.98,1.82,1.89,25300
2024-07-03,1.854,1.96,1.83,1.85,46500
2024-07-02,1.78,1.863,1.78,1.82,34200
2024-07-01,1.8,1.82,1.76,1.78,26000
2024-06-28,1.81,1.82,1.75,1.75,36900
2024-06-27,1.779,1.85,1.77,1.82,24600
2024-06-26,1.77,1.855,1.76,1.77,14200
2024-06-25,1.783,1.86,1.75,1.84,6300
2024-06-24,1.72,1.805,1.72,1.76,27900
2024-06-21,1.76,1.79,1.73,1.73,28500
2024-06-20,1.76,1.845,1.73,1.73,48600
2024-06-18,1.91,1.95,1.76,1.78,19400
2024-06-17,1.86,1.939,1.83,1.83,88600
2024-06-14,2.04,2.045,1.96,1.97,23100
2024-06-13,2.13,2.13,2.0,2.02,50700
2024-06-12,2.1,2.18,2.06,2.11,15900
2024-06-11,2.1,2.12,2.07,2.07,19700
2024-06-10,2.1,2.14,2.08,2.08,10800
2024-06-07,2.14,2.2,2.08,2.08,18500
2024-06-06,2.16,2.25,2.08,2.19,42000
2024-06-05,2.19,2.66,1.9,2.2,633600
2024-06-04,2.16,2.2,2.15,2.16,21800
2024-06-03,2.19,2.22,2.15,2.18,11000
2024-05-31,2.22,2.23,2.12,2.15,27500
2024-05-30,2.23,2.25,2.22,2.22,10300
2024-05-29,2.23,2.26,2.173,2.23,55300
2024-05-28,2.19,2.2,2.15,2.16,32700
2024-05-24,2.175,2.175,2.15,2.15,14200
2024-05-23,2.15,2.18,2.15,2.18,11500
2024-05-22,2.1,2.2,2.09,2.15,28600
2024-05-21,2.11,2.135,2.1,2.1,10900
2024-05-20,2.14,2.15,2.09,2.11,7400
2024-05-17,2.19,2.219,2.15,2.15,14000
2024-05-16,2.01,2.19,2.0,2.19,14200
2024-05-15,2.09,2.09,2.04,2.05,9900
2024-05-14,2.12,2.162,2.06,2.09,15200
2024-05-13,2.06,2.14,2.05,2.12,24600
2024-05-10,2.03,2.118,2.03,2.07,18000
2024-05-09,2.04,2.12,2.01,2.12,32600
2024-05-08,2.0,2.06,2.0,2.01,27500
2024-05-07,2.06,2.11,1.96,2.02,21800
2024-05-06,2.16,2.16,2.003,2.06,22100
2024-05-03,2.07,2.115,2.07,2.115,500
2024-05-02,2.13,2.14,2.06,2.1,7100
2024-05-01,2.12,2.14,2.06,2.07,7700
2024-04-30,2.175,2.2,2.13,2.13,1300
2024-04-29,2.12,2.22,2.11,2.16,9200
2024-04-26,2.32,2.32,2.16,2.19,14300
2024-04-25,2.3,2.304,2.18,2.26,14400
2024-04-24,2.07,2.3,2.05,2.26,138200
2024-04-23,2.03,2.035,2.0,2.03,7100
2024-04-22,2.04,2.05,1.99,2.04,16900
2024-04-19,2.045,2.06,2.01,2.06,8500
2024-04-18,1.95,2.07,1.95,2.07,4300
2024-04-17,2.07,2.07,2.02,2.03,14200
2024-04-16,2.11,2.11,2.03,2.06,10600
2024-04-15,2.06,2.17,2.06,2.08,10400
2024-04-12,2.16,2.17,2.11,2.11,7500
2024-04-11,2.11,2.2,2.03,2.11,44900
2024-04-10,2.2,2.26,2.07,2.11,27300
2024-04-09,2.25,2.31,2.13,2.2,29300
2024-04-08,2.32,2.5,2.18,2.23,75900
2024-04-05,2.4,2.49,2.2,2.26,84500
2024-04-04,2.1,2.28,2.055,2.23,76200
2024-04-03,1.98,2.04,1.88,2.02,79400
2024-04-02,1.93,2.0,1.89,1.95,36500
