datetime,open,high,low,close,volume
2025-04-01,6.41,6.45,6.242,6.42,1496000
2025-03-31,6.3,6.43,6.18,6.33,2495400
2025-03-28,6.67,6.735,6.35,6.51,2427700
2025-03-27,6.86,6.895,6.68,6.69,1366900
2025-03-26,7.04,7.13,6.81,6.87,2095400
2025-03-25,7.33,7.37,7.02,7.04,2153000
2025-03-24,7.33,7.335,7.09,7.22,2541500
2025-03-21,6.85,7.195,6.8,7.11,7630000
2025-03-20,6.9,7.07,6.85,7.0,2772800
2025-03-19,7.12,7.35,7.0,7.11,2484000
2025-03-18,7.145,7.25,7.03,7.08,2685800
2025-03-17,6.89,7.41,6.87,7.25,3546200
2025-03-14,6.74,6.91,6.725,6.85,1689900
2025-03-13,6.69,6.76,6.58,6.6,1423800
2025-03-12,6.76,6.95,6.65,6.76,2348800
2025-03-11,6.6,6.81,6.355,6.58,4311100
2025-03-10,6.47,6.78,6.445,6.6,4608100
2025-03-07,6.43,6.73,6.32,6.64,3679900
2025-03-06,6.78,6.87,6.425,6.5,3407100
2025-03-05,6.68,7.035,6.57,6.99,2979500
2025-03-04,6.39,6.725,6.31,6.6,5482800
2025-03-03,6.87,7.065,6.53,6.54,3652900
2025-02-28,6.64,6.82,6.535,6.81,3819700
2025-02-27,7.06,7.16,6.73,6.73,2696500
2025-02-26,6.89,7.03,6.8,6.98,2256300
2025-02-25,6.87,6.95,6.645,6.76,2707600
2025-02-24,7.15,7.26,6.825,6.91,3694200
2025-02-21,7.83,7.905,7.26,7.26,4203200
2025-02-20,7.85,8.01,7.655,7.81,2307400
2025-02-19,7.99,8.12,7.84,7.88,3398000
2025-02-18,8.13,8.225,7.84,8.17,3284000
2025-02-14,7.99,8.38,7.8,8.07,5283100
2025-02-13,7.9,8.18,7.455,7.97,15164900
2025-02-12,9.82,10.127,9.66,10.07,9455100
2025-02-11,10.45,10.54,9.97,10.06,3170600
2025-02-10,10.29,10.76,10.15,10.58,3847900
2025-02-07,10.06,10.22,9.905,10.12,2228500
2025-02-06,10.3,10.355,9.96,9.99,1896300
2025-02-05,10.5,10.52,10.15,10.23,2999100
2025-02-04,10.27,10.64,10.23,10.52,2084600
2025-02-03,10.01,10.345,9.9,10.19,1988800
2025-01-31,10.83,11.14,10.415,10.47,2456500
2025-01-30,10.7,10.84,10.5,10.73,2141400
2025-01-29,10.83,10.83,10.4,10.63,2304900
2025-01-28,10.16,10.955,9.93,10.92,2898900
2025-01-27,9.91,10.47,9.8,10.11,2711800
2025-01-24,10.53,10.73,10.19,10.28,2400600
2025-01-23,9.53,10.465,9.48,10.44,2344900
2025-01-22,9.55,10.01,9.46,9.69,2966200
2025-01-21,9.44,9.67,9.3,9.6,1667100
2025-01-17,9.71,9.71,9.28,9.29,2644100
2025-01-16,9.45,9.68,9.398,9.41,1720100
2025-01-15,9.3,9.555,9.12,9.45,1826800
2025-01-14,8.99,9.16,8.75,8.82,1485100
2025-01-13,8.83,8.97,8.67,8.88,2319200
2025-01-10,9.15,9.15,8.68,8.98,2585400
2025-01-08,9.5,9.62,9.16,9.42,2749200
2025-01-07,9.82,10.12,9.59,9.72,2346100
2025-01-06,9.79,10.16,9.734,9.79,2269700
2025-01-03,9.42,9.58,9.22,9.55,2159600
2025-01-02,9.65,9.76,9.095,9.21,2659600
2024-12-31,9.52,9.7,9.33,9.44,2830900
2024-12-30,9.45,9.575,9.3,9.44,2057400
2024-12-27,10.0,10.065,9.45,9.6,3136600
2024-12-26,9.97,10.265,9.83,10.13,1823800
2024-12-24,10.15,10.2,10.0,10.04,967200
2024-12-23,10.05,10.256,9.86,10.17,2155100
2024-12-20,9.89,10.47,9.68,10.08,5383700
2024-12-19,10.7,10.7,9.76,9.98,3975600
2024-12-18,11.79,12.08,10.29,10.52,5545000
2024-12-17,11.08,11.68,11.0,11.33,3993400
2024-12-16,10.41,11.16,10.33,11.15,3779600
2024-12-13,10.6,10.69,10.383,10.48,2818200
2024-12-12,10.41,10.6,10.19,10.6,2371700
2024-12-11,10.53,10.925,10.41,10.55,3099300
2024-12-10,11.17,11.26,10.115,10.32,5989200
2024-12-09,11.0,11.619,10.94,11.34,7093600
2024-12-06,10.0,10.955,10.0,10.9,6279100
2024-12-05,9.9,10.05,9.623,9.93,4094200
2024-12-04,9.61,9.98,9.44,9.81,4648600
2024-12-03,9.57,9.85,9.09,9.39,6983400
2024-12-02,9.22,10.32,9.1,9.87,9990800
2024-11-29,7.94,8.52,7.94,8.48,2098000
2024-11-27,8.03,8.13,7.86,7.92,1607200
2024-11-26,8.06,8.06,7.79,7.95,2389100
2024-11-25,8.1,8.31,7.91,8.14,3250700
2024-11-22,7.66,8.075,7.56,7.89,4399400
2024-11-21,6.54,7.61,6.5,7.61,5253700
2024-11-20,6.7,6.75,6.45,6.48,1694500
2024-11-19,6.3,6.73,6.26,6.71,2175000
2024-11-18,6.28,6.47,6.25,6.33,2729800
2024-11-15,6.94,6.99,6.31,6.41,4060600
2024-11-14,7.29,7.31,6.94,7.1,2004200
2024-11-13,7.08,7.59,7.05,7.29,3886600
2024-11-12,7.1,7.349,7.041,7.06,2427300
2024-11-11,7.72,7.76,7.15,7.18,2569700
2024-11-08,8.15,8.15,7.49,7.67,4691300
2024-11-07,8.64,8.76,7.82,8.17,5531300
2024-11-06,7.99,8.305,7.855,8.16,6399200
2024-11-05,7.14,7.68,7.1,7.67,5519400
2024-11-04,7.16,7.21,6.91,7.09,2873800
2024-11-01,7.34,7.39,7.18,7.2,2505600
2024-10-31,7.3,7.37,7.14,7.23,1930600
2024-10-30,7.35,7.59,7.3,7.3,1909900
2024-10-29,7.3,7.45,7.26,7.34,1986700
2024-10-28,7.38,7.535,7.31,7.33,1792000
2024-10-25,7.31,7.38,7.225,7.28,1440200
2024-10-24,7.15,7.37,7.12,7.24,2177800
2024-10-23,7.29,7.38,7.031,7.08,1656400
2024-10-22,7.41,7.48,7.22,7.3,1698900
2024-10-21,7.31,7.455,7.17,7.4,3515700
2024-10-18,7.25,7.45,7.22,7.32,4310300
2024-10-17,7.2,7.24,7.12,7.2,1566100
2024-10-16,7.24,7.26,7.121,7.2,1807800
2024-10-15,7.24,7.41,7.18,7.22,1658400
2024-10-14,7.4,7.44,7.2,7.24,2058500
2024-10-11,7.24,7.53,7.21,7.38,1865600
2024-10-10,7.31,7.345,7.15,7.24,2480000
2024-10-09,7.28,7.48,7.27,7.39,1978900
2024-10-08,7.43,7.5,7.28,7.3,1150200
2024-10-07,7.62,7.66,7.36,7.47,1427700
2024-10-04,7.55,7.67,7.405,7.63,1637000
2024-10-03,7.36,7.415,7.215,7.36,1277000
2024-10-02,7.16,7.57,7.16,7.46,2251800
2024-10-01,7.3,7.34,7.03,7.18,2516100
2024-09-30,7.5,7.679,7.43,7.57,1868400
2024-09-27,7.56,7.735,7.505,7.56,1883600
2024-09-26,7.66,7.7,7.39,7.52,2647200
2024-09-25,7.31,7.57,7.265,7.5,2314000
2024-09-24,7.33,7.37,7.17,7.34,1838300
2024-09-23,7.33,7.343,7.16,7.27,2254300
2024-09-20,7.14,7.3,6.97,7.23,4966300
2024-09-19,7.28,7.32,7.1,7.15,1866400
2024-09-18,7.38,7.4,7.0,7.04,2481600
2024-09-17,6.96,7.49,6.96,7.35,4213400
2024-09-16,6.74,6.99,6.655,6.95,2922300
2024-09-13,6.31,6.785,6.31,6.7,3583600
2024-09-12,5.95,6.425,5.95,6.25,3053900
2024-09-11,5.76,5.965,5.65,5.92,2047200
