datetime,open,high,low,close,volume
2025-04-01,1.77,1.84,1.75,1.83,395900
2025-03-31,1.83,1.83,1.78,1.78,387200
2025-03-28,1.87,1.89,1.81,1.84,159100
2025-03-27,1.85,1.88,1.81,1.86,179800
2025-03-26,1.76,1.84,1.76,1.83,307600
2025-03-25,1.87,1.87,1.82,1.82,119100
2025-03-24,1.9,1.93,1.86,1.86,242500
2025-03-21,1.82,1.88,1.78,1.88,914800
2025-03-20,1.81,1.83,1.78,1.83,273500
2025-03-19,1.8,1.85,1.8,1.82,162600
2025-03-18,1.79,1.82,1.76,1.81,325800
2025-03-17,1.75,1.83,1.74,1.81,427200
2025-03-14,1.79,1.81,1.72,1.74,294200
2025-03-13,1.8,1.8,1.73,1.76,382400
2025-03-12,1.81,1.81,1.73,1.79,273000
2025-03-11,1.79,1.79,1.74,1.77,250300
2025-03-10,1.77,1.8,1.75,1.79,260100
2025-03-07,1.74,1.8,1.72,1.78,350100
2025-03-06,1.77,1.81,1.7,1.74,521500
2025-03-05,1.79,1.81,1.77,1.77,690900
2025-03-04,1.84,1.87,1.79,1.8,470700
2025-03-03,1.87,1.89,1.81,1.83,519200
2025-02-28,1.9,1.92,1.83,1.88,693200
2025-02-27,1.93,1.95,1.9,1.92,205100
2025-02-26,1.92,1.96,1.91,1.95,75800
2025-02-25,1.92,1.98,1.89,1.94,237000
2025-02-24,1.96,1.96,1.92,1.93,202500
2025-02-21,2.05,2.05,1.93,1.94,237400
2025-02-20,2.01,2.07,2.01,2.02,113000
2025-02-19,1.98,2.03,1.95,2.03,193500
2025-02-18,1.99,2.02,1.94,1.99,145000
2025-02-14,2.05,2.09,1.98,2.0,155100
2025-02-13,1.92,2.04,1.92,2.04,268600
2025-02-12,1.82,1.98,1.8,1.94,638000
2025-02-11,1.82,1.88,1.81,1.83,261100
2025-02-10,1.8,1.86,1.8,1.84,344000
2025-02-07,1.81,1.82,1.8,1.8,145500
2025-02-06,1.85,1.86,1.81,1.82,87000
2025-02-05,1.8,1.84,1.77,1.83,130100
2025-02-04,1.77,1.8,1.76,1.78,108500
2025-02-03,1.75,1.82,1.75,1.76,224500
2025-01-31,1.84,1.87,1.77,1.81,190200
2025-01-30,1.81,1.88,1.81,1.85,257900
2025-01-29,1.82,1.83,1.77,1.78,94900
2025-01-28,1.84,1.86,1.81,1.84,152000
2025-01-27,1.82,1.87,1.81,1.83,113900
2025-01-24,1.8,1.85,1.8,1.82,142700
2025-01-23,1.79,1.83,1.77,1.83,210500
2025-01-22,1.83,1.84,1.77,1.77,136200
2025-01-21,1.89,1.9,1.82,1.83,105400
2025-01-17,1.86,1.89,1.84,1.86,260000
2025-01-16,1.86,1.87,1.82,1.85,241100
2025-01-15,1.83,1.85,1.8,1.84,152400
2025-01-14,1.79,1.82,1.74,1.8,165100
2025-01-13,1.73,1.79,1.71,1.76,188600
2025-01-10,1.76,1.78,1.69,1.76,721000
2025-01-08,1.84,1.84,1.8,1.81,170900
