datetime,open,high,low,close,volume
2025-04-01,73.0,73.66,72.46,73.5,2078500
2025-03-31,71.83,73.41,71.45,73.18,3079000
2025-03-28,74.36,74.62,72.5,72.63,1492900
2025-03-27,74.93,75.51,74.295,74.59,1330300
2025-03-26,75.95,76.54,74.9,75.19,1222900
2025-03-25,76.2,76.335,75.35,75.97,1891800
2025-03-24,75.48,76.23,75.33,75.91,2031100
2025-03-21,73.88,74.87,73.285,74.79,4733800
2025-03-20,74.67,75.275,74.16,74.66,2089200
2025-03-19,74.39,75.665,74.28,75.25,1704100
2025-03-18,74.47,74.65,73.96,74.38,1862300
2025-03-17,73.6,75.05,73.315,74.74,1740900
2025-03-14,73.0,73.85,72.3,73.71,2158800
2025-03-13,73.63,73.7,71.77,71.82,3177200
2025-03-12,74.66,75.15,73.6,73.88,2408600
2025-03-11,75.0,75.175,73.62,74.2,2944100
2025-03-10,75.5,75.83,74.35,74.92,2940400
2025-03-07,76.33,77.08,75.57,76.6,3263600
2025-03-06,77.5,77.79,76.55,77.2,2369900
2025-03-05,77.44,78.72,77.272,78.11,4122500
2025-03-04,78.33,78.56,76.71,77.21,2638300
2025-03-03,79.99,80.74,78.54,79.0,3558400
2025-02-28,79.78,80.0,78.56,79.54,4220700
2025-02-27,80.0,80.86,79.56,79.6,2173100
2025-02-26,79.99,80.74,79.41,79.91,2912000
2025-02-25,80.1,80.64,78.72,79.6,4187300
2025-02-24,80.11,80.69,79.92,80.1,2503400
2025-02-21,81.86,81.86,79.71,80.03,3250400
2025-02-20,83.06,83.32,81.84,81.84,2336100
2025-02-19,81.67,83.14,81.59,82.98,2894400
2025-02-18,80.95,81.99,80.495,81.76,2495600
2025-02-14,82.0,82.28,80.52,80.6,2713500
2025-02-13,80.4,81.76,80.06,81.67,2290600
2025-02-12,79.08,80.21,78.965,80.17,1890500
2025-02-11,80.03,80.5,79.43,80.18,2403100
2025-02-10,80.38,81.14,79.74,80.5,3581900
2025-02-07,80.0,80.34,77.76,79.09,4255500
2025-02-06,79.65,79.88,79.02,79.84,3496900
2025-02-05,79.94,80.12,78.745,79.49,4149800
2025-02-04,80.14,80.66,79.85,80.11,1973600
2025-02-03,79.67,81.05,79.32,80.24,2495600
