datetime,open,high,low,close,volume
2025-04-01,2.92,2.98,2.86,2.96,10717100
2025-03-31,2.86,2.99,2.78,2.92,13240600
2025-03-28,2.99,3.023,2.87,2.9,14230700
2025-03-27,3.06,3.11,2.99,3.02,11352400
2025-03-26,3.32,3.35,3.06,3.08,11568800
2025-03-25,3.28,3.31,3.19,3.31,8774300
2025-03-24,3.23,3.27,3.15,3.27,11883700
2025-03-21,3.01,3.18,3.0,3.18,11827200
2025-03-20,3.15,3.18,3.05,3.08,11108200
2025-03-19,3.11,3.21,3.09,3.18,10076300
2025-03-18,3.18,3.2,3.07,3.09,12147300
2025-03-17,3.16,3.3,3.15,3.21,10817200
2025-03-14,2.99,3.18,2.971,3.18,13539600
2025-03-13,3.08,3.14,2.95,2.95,15958900
2025-03-12,3.15,3.195,3.04,3.1,20212700
2025-03-11,3.005,3.15,2.91,3.09,21021500
2025-03-10,3.105,3.28,2.92,3.01,27651600
2025-03-07,2.94,3.23,2.92,3.18,20577300
2025-03-06,2.99,3.1,2.93,2.99,21357800
2025-03-05,3.02,3.125,2.96,3.08,16593600
2025-03-04,2.685,3.1,2.67,3.01,30014900
2025-03-03,3.04,3.095,2.76,2.84,31590600
2025-02-28,2.96,3.08,2.555,3.03,68820300
2025-02-27,3.65,3.79,3.45,3.52,36269300
2025-02-26,3.86,3.92,3.5,3.6,28080900
2025-02-25,3.99,4.02,3.7,3.84,24286300
2025-02-24,3.82,4.29,3.73,4.01,41914700
2025-02-21,4.16,4.19,3.75,3.76,25585200
2025-02-20,3.87,3.92,3.71,3.85,12557000
2025-02-19,4.04,4.06,3.85,3.86,14639400
2025-02-18,4.08,4.27,3.96,4.06,17566500
2025-02-14,3.93,4.08,3.87,4.06,13601900
2025-02-13,3.66,3.92,3.64,3.9,17025800
2025-02-12,3.7,3.795,3.62,3.65,19578600
2025-02-11,3.82,4.025,3.71,3.72,19148400
2025-02-10,4.01,4.08,3.81,3.85,16863400
