datetime,open,high,low,close,volume
2025-04-01,12.74,12.74,12.305,12.57,173200
2025-03-31,12.74,12.92,12.64,12.79,372800
2025-03-28,13.18,13.2,12.72,12.89,196000
2025-03-27,12.99,13.31,12.98,13.16,237100
2025-03-26,13.12,13.41,12.96,13.05,121500
2025-03-25,13.4,13.52,12.974,13.12,215800
2025-03-24,13.59,13.69,13.26,13.4,344700
2025-03-21,13.45,13.69,13.0,13.39,828400
2025-03-20,14.6,14.9,13.48,13.56,338400
2025-03-19,14.45,14.69,14.371,14.52,156300
2025-03-18,14.53,14.8,14.33,14.38,113900
2025-03-17,14.45,14.71,14.3,14.64,144800
2025-03-14,14.6,14.735,14.46,14.46,206700
2025-03-13,14.75,15.05,14.45,14.49,532200
2025-03-12,15.12,15.17,14.75,14.8,164100
2025-03-11,15.4,15.405,14.93,15.09,264300
2025-03-10,16.03,16.35,15.16,15.36,146700
2025-03-07,16.14,16.275,15.97,16.05,146900
2025-03-06,16.35,16.35,15.935,16.14,106800
2025-03-05,16.42,16.5,16.23,16.41,114100
2025-03-04,16.83,16.83,16.39,16.4,100800
2025-03-03,17.16,17.175,16.78,16.8,96800
2025-02-28,16.9,17.123,16.76,17.1,132900
2025-02-27,16.84,17.05,16.71,16.85,115100
2025-02-26,17.45,17.45,16.91,16.91,95300
2025-02-25,17.5,17.62,17.369,17.46,238300
2025-02-24,17.2,17.42,17.06,17.36,183100
2025-02-21,17.63,17.63,17.26,17.27,121200
2025-02-20,17.39,17.665,17.35,17.48,91700
2025-02-19,17.52,17.64,17.39,17.48,78000
2025-02-18,17.45,17.575,17.265,17.56,102000
2025-02-14,17.7,17.98,17.44,17.49,60500
2025-02-13,17.82,18.0,17.59,17.67,96400
2025-02-12,17.7,17.93,17.65,17.77,67500
2025-02-11,17.45,17.92,17.45,17.88,50300
2025-02-10,17.7,17.806,17.485,17.53,47800
2025-02-07,17.78,17.78,17.37,17.68,62500
2025-02-06,17.84,17.98,17.78,17.83,58300
2025-02-05,17.73,18.01,17.23,17.86,100600
2025-02-04,17.08,17.77,17.05,17.69,114800
2025-02-03,17.15,17.16,16.82,17.13,90500
2025-01-31,17.37,17.53,17.12,17.24,83900
2025-01-30,17.47,17.75,17.3,17.36,93300
2025-01-29,17.74,17.74,17.19,17.32,83200
2025-01-28,17.35,17.84,17.35,17.73,259600
2025-01-27,16.91,17.56,16.85,17.55,104400
2025-01-24,16.85,17.18,16.65,16.84,70700
2025-01-23,17.2,17.21,16.804,16.88,260500
2025-01-22,18.1,18.175,17.25,17.27,216500
2025-01-21,17.1,18.17,16.68,18.15,246300
2025-01-17,17.24,17.65,16.94,16.99,313100
2025-01-16,16.75,17.17,16.653,17.15,125600
2025-01-15,17.08,17.42,16.77,16.78,102500
2025-01-14,16.0,16.895,15.94,16.83,158000
2025-01-13,15.7,16.04,15.3,16.02,293900
2025-01-10,16.85,16.85,15.6,15.75,196800
2025-01-08,17.01,17.17,16.64,16.99,645900
2025-01-07,17.62,17.69,16.62,17.04,404900
2025-01-06,18.17,18.17,17.62,17.62,298400
