datetime,open,high,low,close,volume
2025-04-01,20.02,20.09,19.3,19.59,557600
2025-03-31,20.41,20.74,19.9,20.09,417700
2025-03-28,20.82,21.07,20.27,20.72,299200
2025-03-27,20.62,21.05,20.43,20.9,307000
2025-03-26,20.84,20.94,20.3,20.73,655700
2025-03-25,21.7,21.8,20.77,20.91,538700
2025-03-24,21.45,21.94,21.04,21.7,396200
2025-03-21,20.74,21.4,20.23,21.25,757600
2025-03-20,21.0,21.26,20.5,21.21,643400
2025-03-19,19.39,22.26,19.0,21.31,836500
2025-03-18,20.19,20.68,19.56,20.51,873400
2025-03-17,20.07,20.86,19.55,20.25,658200
2025-03-14,19.01,20.32,19.01,19.99,789900
2025-03-13,17.73,18.91,17.38,18.87,679200
2025-03-12,17.63,17.95,16.9,17.65,922100
2025-03-11,18.06,18.26,17.27,17.41,904200
2025-03-10,20.4,21.06,17.91,18.07,979700
2025-03-07,20.9,21.5,20.33,20.7,887100
2025-03-06,20.92,21.34,20.45,20.5,623500
2025-03-05,22.05,22.37,20.59,21.2,835400
2025-03-04,22.0,22.36,21.39,22.15,643500
2025-03-03,22.39,23.93,22.23,22.55,972200
2025-02-28,22.91,23.36,22.06,22.47,1159300
2025-02-27,22.81,24.85,22.27,23.0,1728800
2025-02-26,27.37,28.39,25.71,25.75,758000
2025-02-25,27.59,27.99,26.87,27.43,477300
2025-02-24,28.11,28.45,26.77,27.5,848700
2025-02-21,30.63,30.63,27.54,27.94,748400
2025-02-20,30.83,31.3,30.08,30.34,243000
2025-02-19,31.59,31.63,30.37,31.14,426800
2025-02-18,30.63,32.15,30.28,31.68,463500
2025-02-14,30.41,31.33,30.41,30.63,490200
2025-02-13,30.31,31.07,29.82,30.3,543800
2025-02-12,30.86,31.38,30.16,30.32,445800
2025-02-11,31.68,32.23,31.37,31.74,280700
2025-02-10,32.59,32.89,31.9,32.06,358400
2025-02-07,32.29,32.38,31.23,32.23,673000
2025-02-06,32.08,33.0,31.97,32.21,456700
2025-02-05,31.76,32.03,30.87,31.63,621800
2025-02-04,30.64,31.97,30.29,31.46,393600
2025-02-03,31.62,31.79,29.62,30.75,1048700
2025-01-31,33.02,33.69,32.0,32.25,739200
2025-01-30,32.59,33.31,32.37,32.92,436800
2025-01-29,33.47,34.0,33.21,33.37,598800
2025-01-28,34.71,35.47,33.57,33.65,532800
2025-01-27,33.74,35.11,33.27,34.62,879000
2025-01-24,33.74,33.8,32.96,33.51,532400
2025-01-23,34.67,34.71,33.14,33.46,652100
2025-01-22,34.35,34.91,33.94,34.14,270300
