datetime,open,high,low,close,volume
2025-04-01,23.31,23.4,23.31,23.4,900
2025-03-31,23.366,23.4,23.21,23.22,10200
2025-03-28,23.38,23.38,23.37,23.37,500
2025-03-27,23.265,23.35,23.265,23.35,400
2025-03-26,23.39,23.39,23.39,23.39,400
2025-03-25,23.35,23.4,23.35,23.4,1200
2025-03-24,23.34,23.36,23.33,23.33,3000
2025-03-21,23.314,23.32,23.27,23.32,1500
2025-03-20,23.1,23.32,23.1,23.32,1400
2025-03-19,23.294,23.296,23.22,23.29,600
2025-03-18,23.13,23.31,23.13,23.29,3100
2025-03-17,23.165,23.22,23.12,23.22,1000
2025-03-14,23.2,23.203,23.2,23.203,2600
2025-03-13,23.12,23.22,23.08,23.18,5500
2025-03-12,23.01,23.13,23.01,23.12,4100
2025-03-11,23.128,23.135,22.95,23.135,6900
2025-03-10,22.96,23.04,22.93,23.04,3300
2025-03-07,23.08,23.21,22.9,23.05,5500
2025-03-06,23.07,23.14,22.94,23.08,6100
2025-03-05,23.06,23.19,23.06,23.17,2500
2025-03-04,23.25,23.261,23.07,23.15,9800
2025-03-03,23.25,23.3,23.22,23.22,3600
2025-02-28,23.4,23.4,23.2,23.2,40700
2025-02-27,23.48,23.48,23.48,23.48,300
2025-02-26,23.45,23.48,23.44,23.48,3400
2025-02-25,23.393,23.45,23.329,23.45,1600
2025-02-24,23.34,23.4,23.3,23.4,10200
2025-02-21,23.311,23.311,23.311,23.311,300
2025-02-20,23.34,23.34,23.34,23.34,0
2025-02-19,23.34,23.34,23.26,23.34,1500
2025-02-18,23.36,23.36,23.24,23.33,14200
2025-02-14,23.38,23.38,23.38,23.38,0
2025-02-13,23.379,23.38,23.379,23.38,1500
2025-02-12,23.27,23.37,23.26,23.37,1000
2025-02-11,23.4,23.4,23.27,23.38,2500
2025-02-10,23.39,23.39,23.39,23.39,3800
2025-02-07,23.26,23.37,23.26,23.37,1100
2025-02-06,23.325,23.37,23.325,23.37,1100
2025-02-05,23.26,23.34,23.26,23.3,1900
2025-02-04,23.37,23.39,23.27,23.37,2000
2025-02-03,23.276,23.34,23.276,23.34,400
2025-01-31,23.26,23.26,23.26,23.26,2800
2025-01-30,23.34,23.34,23.34,23.34,300
2025-01-29,23.29,23.29,23.29,23.29,0
2025-01-28,23.23,23.29,23.14,23.29,7900
2025-01-27,23.191,23.34,23.191,23.3,3500
2025-01-24,23.39,23.39,23.3,23.34,1800
2025-01-23,23.205,23.4,23.2,23.38,6300
2025-01-22,23.35,23.35,23.35,23.35,500
2025-01-21,23.31,23.386,23.31,23.386,7900
2025-01-17,23.36,23.36,23.265,23.33,2000
2025-01-16,23.054,23.35,23.054,23.29,9100
2025-01-15,23.2,23.331,23.2,23.3,3300
2025-01-14,23.42,23.42,23.32,23.42,2000
2025-01-13,23.25,23.41,23.25,23.41,1300
2025-01-10,23.3,23.48,23.14,23.4,49100
2025-01-08,23.43,23.45,23.42,23.42,1200
2025-01-07,23.35,23.45,23.28,23.45,2300
2025-01-06,23.59,23.59,23.59,23.59,400
2025-01-03,23.6,23.6,23.59,23.6,1000
2025-01-02,23.43,23.43,23.43,23.43,300
2024-12-31,23.35,23.65,23.22,23.65,22900
2024-12-30,23.23,23.4,23.2,23.35,10800
2024-12-27,23.4,23.4,23.2,23.2,8700
2024-12-26,23.242,23.242,23.242,23.242,0
2024-12-24,23.42,23.42,23.242,23.242,700
2024-12-23,23.26,23.478,23.26,23.26,2200
2024-12-20,23.35,23.46,23.35,23.46,2200
2024-12-19,23.293,23.42,23.18,23.18,10300
2024-12-18,23.335,23.415,23.335,23.415,2400
2024-12-17,23.38,23.38,23.354,23.354,1200
2024-12-16,23.316,23.37,23.316,23.37,700
2024-12-13,23.34,23.47,23.325,23.47,17100
2024-12-12,23.39,23.4,23.3,23.3,4000
2024-12-11,23.42,23.425,23.37,23.41,1900
2024-12-10,23.36,23.49,23.26,23.49,1900
2024-12-09,23.46,23.46,23.46,23.46,700
2024-12-06,23.45,23.45,23.45,23.45,0
2024-12-05,23.45,23.45,23.45,23.45,0
2024-12-04,23.45,23.45,23.45,23.45,300
2024-12-03,23.48,23.49,23.46,23.46,2400
2024-12-02,23.335,23.45,23.335,23.45,1400
2024-11-29,23.37,23.46,23.37,23.46,4100
2024-11-27,23.19,23.19,23.19,23.19,500
2024-11-26,23.35,23.369,23.04,23.15,2100
2024-11-25,23.35,23.36,23.27,23.27,3200
2024-11-22,23.28,23.28,23.12,23.25,2100
2024-11-21,23.245,23.37,23.245,23.37,400
2024-11-20,23.32,23.32,23.32,23.32,500
2024-11-19,23.33,23.35,22.9,23.2,76500
2024-11-18,23.58,23.58,23.58,23.58,0
2024-11-15,23.58,23.58,23.58,23.58,0
2024-11-14,23.58,23.58,23.58,23.58,800
2024-11-13,23.35,23.35,23.31,23.31,1300
2024-11-12,23.24,23.24,23.24,23.24,0
2024-11-11,23.3,23.35,23.02,23.24,1200
2024-11-08,23.25,23.32,23.21,23.315,3900
2024-11-07,23.27,23.3,23.22,23.22,3100
2024-11-06,23.01,23.24,23.01,23.24,1200
2024-11-05,23.29,23.36,23.14,23.24,1400
2024-11-04,23.15,23.597,23.15,23.25,2300
2024-11-01,23.08,23.23,22.97,23.23,1300
2024-10-31,23.27,23.27,22.825,22.9,32400
2024-10-30,23.55,23.55,23.3,23.3,800
2024-10-29,23.28,23.37,23.18,23.37,3100
2024-10-28,23.7,23.7,23.7,23.7,0
2024-10-25,23.41,23.7,23.41,23.7,700
2024-10-24,23.4,23.4,23.4,23.4,200
2024-10-23,23.31,23.31,23.31,23.31,300
2024-10-22,23.7,23.7,23.66,23.66,1300
2024-10-21,23.75,23.75,23.75,23.75,0
