datetime,open,high,low,close,volume
2025-04-01,23.6,23.85,23.02,23.15,31600
2025-03-31,24.13,24.24,23.5,24.11,51200
2025-03-28,23.8,24.68,23.24,24.27,49400
2025-03-27,22.75,23.9,22.25,23.73,349700
2025-03-26,22.85,23.22,22.35,22.82,130600
2025-03-25,22.11,23.22,21.75,22.8,141400
2025-03-24,22.75,22.92,21.9,22.01,241500
2025-03-21,23.4,24.0,22.35,22.5,96600
2025-03-20,23.46,24.0,23.3,23.64,93000
2025-03-19,23.38,24.38,23.11,23.6,87900
2025-03-18,23.57,24.46,23.27,23.45,52500
2025-03-17,24.18,24.3,23.43,23.57,31400
2025-03-14,24.53,25.04,23.7,23.7,29700
2025-03-13,25.49,25.49,24.19,24.35,10700
2025-03-12,25.4,25.5,24.89,25.0,21400
2025-03-11,25.79,26.21,25.21,25.39,29500
2025-03-10,25.94,26.0,25.16,25.84,21600
2025-03-07,26.16,26.25,25.85,26.07,31600
2025-03-06,25.7,26.26,25.7,26.15,15200
2025-03-05,26.55,26.55,25.81,25.94,24000
2025-03-04,26.2,26.85,26.0,26.46,44700
2025-03-03,26.21,26.46,25.51,26.25,21700
2025-02-28,26.48,27.41,25.76,25.9,33200
2025-02-27,26.82,26.82,26.29,26.53,12600
2025-02-26,26.56,27.1,26.56,26.6,9600
2025-02-25,26.57,27.05,26.48,26.65,21200
2025-02-24,27.16,27.16,26.21,26.56,18000
2025-02-21,27.5,27.5,26.5,27.19,34300
2025-02-20,27.26,27.62,26.6,27.3,16500
2025-02-19,27.5,27.5,27.25,27.41,10300
2025-02-18,27.28,27.55,27.07,27.4,12200
2025-02-14,27.3,27.52,27.1,27.4,11400
2025-02-13,26.74,27.0,26.67,26.79,17900
2025-02-12,26.46,26.98,26.43,26.71,15100
2025-02-11,26.84,27.1,26.75,26.8,13200
2025-02-10,27.0,27.29,26.43,26.88,14000
2025-02-09,27.0,27.29,26.43,26.88,13951
2025-02-07,27.3,27.3,25.89,26.6,28200
2025-02-06,26.6,27.0,26.12,27.0,16200
2025-02-05,26.1,26.4,25.8,26.31,12600
2025-02-04,26.13,26.35,25.67,26.14,17700
2025-02-03,26.13,26.35,25.67,26.14,17672
2025-01-31,26.5,26.89,25.91,26.5,33600
2025-01-30,27.19,27.5,26.59,26.6,15900
2025-01-29,26.53,27.41,26.22,27.4,23500
2025-01-28,26.14,26.99,25.91,26.82,21800
2025-01-27,26.34,27.11,26.34,26.4,28300
2025-01-24,26.0,26.53,25.41,26.4,47600
2025-01-23,25.49,27.31,25.25,26.05,18500
2025-01-22,26.81,27.3,26.5,26.85,18400
2025-01-21,27.0,27.38,26.66,26.97,58300
2025-01-17,26.69,27.0,26.24,26.95,20000
2025-01-16,26.72,27.0,26.11,26.44,18900
2025-01-15,26.95,27.46,26.5,26.68,6200
2025-01-14,26.01,26.42,25.98,26.13,25600
2025-01-13,25.91,26.71,25.9,26.25,16900
2025-01-10,26.0,26.79,25.39,26.06,44200
2025-01-08,27.03,27.08,26.32,26.51,41100
2025-01-07,27.19,27.72,26.25,26.61,40100
2025-01-06,27.35,27.83,26.71,27.25,27900
2025-01-05,27.35,27.83,26.71,27.25,27918
2025-01-03,26.95,27.56,26.65,27.22,34800
2025-01-02,27.7,27.7,26.76,26.93,26400
2025-01-01,27.7,27.7,26.76,26.93,26387
2024-12-31,28.0,28.21,27.25,27.72,23100
2024-12-30,27.85,28.27,27.4,27.7,34200
2024-12-27,27.89,28.54,27.41,27.9,22200
2024-12-26,29.32,29.58,28.5,28.55,36000
2024-12-24,29.66,29.66,28.87,29.2,9400
2024-12-23,29.97,30.0,29.0,29.48,11300
2024-12-20,29.25,31.0,29.25,29.89,42000
2024-12-19,29.79,30.5,29.33,29.8,17500
2024-12-18,31.83,31.83,29.65,29.66,22300
2024-12-17,31.3,31.63,30.95,31.63,16700
2024-12-16,31.06,31.83,31.0,31.39,12400
2024-12-13,31.66,31.66,31.02,31.36,18900
2024-12-12,31.25,31.49,31.0,31.37,12800
2024-12-11,30.98,31.83,30.56,31.51,18900
2024-12-10,31.07,31.34,30.79,30.79,21500
2024-12-09,30.62,31.28,30.05,31.25,19600
2024-12-06,30.15,30.58,29.7,30.58,26700
2024-12-05,29.95,30.25,29.55,30.04,25600
2024-12-04,29.51,30.09,28.91,29.89,49300
2024-12-03,29.1,29.55,29.1,29.27,61600
2024-12-02,30.28,30.28,29.53,29.67,15700
2024-11-29,30.8,31.05,30.03,30.42,9900
