datetime,open,high,low,close,volume
2025-04-01,10.15,10.36,10.15,10.2,13100
2025-03-31,10.47,10.485,10.19,10.19,15600
2025-03-28,10.26,10.48,10.005,10.4,25300
2025-03-27,10.1,10.3,9.9,10.02,6800
2025-03-26,10.03,10.33,9.902,10.1,12600
2025-03-25,10.03,10.194,9.91,10.07,18900
2025-03-24,10.19,10.28,10.01,10.03,31500
2025-03-21,10.03,10.2,10.01,10.145,10900
2025-03-20,10.16,10.21,9.96,10.04,17000
2025-03-19,10.26,10.26,9.97,10.175,20900
2025-03-18,10.24,10.32,9.77,10.28,35800
2025-03-17,10.55,10.927,10.02,10.15,85500
2025-03-14,10.86,10.91,10.631,10.88,69300
2025-03-13,10.45,10.888,10.45,10.83,31200
2025-03-12,10.68,10.68,10.35,10.35,43500
2025-03-11,10.52,10.7,10.455,10.52,23100
2025-03-10,10.82,11.011,10.46,10.53,39500
2025-03-07,11.16,11.16,10.37,10.78,69400
2025-03-06,11.2,11.243,11.07,11.1,6700
2025-03-05,11.268,11.268,11.1,11.21,12300
2025-03-04,11.21,11.39,11.127,11.34,32300
2025-03-03,11.28,11.389,11.221,11.27,10800
2025-02-28,11.21,11.3,11.1,11.3,17400
2025-02-27,11.18,11.21,11.132,11.2,6500
2025-02-26,10.52,11.2,10.52,11.2,15100
2025-02-25,11.2,11.2,11.1,11.19,5600
2025-02-24,11.06,11.2,11.01,11.15,6400
2025-02-21,11.04,11.159,11.0,11.12,9100
2025-02-20,11.18,11.335,11.0,11.1,9900
2025-02-19,11.01,11.24,11.0,11.16,15600
2025-02-18,10.86,11.12,10.45,11.061,34400
2025-02-17,10.86,11.12,10.45,11.0612,34423
2025-02-14,10.81,10.86,10.66,10.86,11600
2025-02-13,10.81,10.86,10.66,10.86,11643
2025-02-12,10.52,10.63,10.49,10.62,5500
2025-02-11,10.64,10.67,10.44,10.576,10300
2025-02-10,10.48,10.6,10.39,10.6,7900
2025-02-07,10.57,10.57,10.47,10.47,5400
2025-02-06,10.55,10.63,10.48,10.54,9300
2025-02-05,10.66,10.66,10.391,10.46,9300
2025-02-04,10.68,10.68,10.51,10.54,8600
2025-02-03,10.46,10.68,10.46,10.68,9600
2025-01-31,10.6,10.7,10.6,10.65,9600
2025-01-30,10.749,10.75,10.55,10.68,10000
2025-01-29,10.66,10.75,10.55,10.71,14000
2025-01-28,10.68,10.74,10.56,10.74,10500
2025-01-27,10.6,10.84,10.55,10.69,14000
2025-01-24,10.66,10.937,10.66,10.71,19700
2025-01-23,10.72,10.88,10.65,10.85,14400
2025-01-22,10.88,10.88,10.69,10.765,13000
2025-01-21,10.7,10.939,10.69,10.87,26100
2025-01-17,10.6,10.79,10.6,10.69,10300
2025-01-16,10.6,10.8,10.6,10.76,16000
2025-01-15,10.02,10.71,10.02,10.7,85800
2025-01-14,10.19,10.39,10.19,10.29,19500
2025-01-13,10.08,10.28,10.01,10.228,10600
2025-01-10,10.31,10.31,10.01,10.03,13600
2025-01-08,10.14,10.45,10.14,10.252,12700
2025-01-07,10.22,10.35,10.1,10.215,12700
2025-01-06,10.76,10.95,10.2,10.377,27000
2025-01-03,10.83,10.99,10.53,10.67,34400
2025-01-02,10.98,11.09,10.89,10.921,20700
2024-12-31,10.96,11.055,10.86,10.99,46800
2024-12-30,10.56,11.0,10.51,10.99,114200
2024-12-27,10.38,10.56,10.38,10.56,10600
2024-12-26,10.27,10.47,10.27,10.37,31400
2024-12-24,10.2,10.366,10.2,10.27,10800
2024-12-23,10.31,10.38,10.21,10.22,22100
2024-12-20,10.22,10.66,10.22,10.395,13700
2024-12-19,10.5,10.61,10.25,10.25,28900
2024-12-18,10.66,10.74,10.31,10.56,48500
2024-12-17,10.24,10.69,10.142,10.625,68600
2024-12-16,10.13,10.24,9.96,10.24,52600
2024-12-13,10.49,10.5,10.31,10.43,77100
2024-12-12,10.46,10.575,10.39,10.4,62300
2024-12-11,10.39,10.43,10.36,10.41,15200
2024-12-10,10.39,10.39,10.31,10.32,14700
2024-12-09,10.21,10.38,10.21,10.36,11600
2024-12-06,10.36,10.45,10.28,10.28,12100
2024-12-05,10.5,10.5,10.359,10.37,20200
2024-12-04,10.47,10.484,10.38,10.472,8200
2024-12-03,10.36,10.49,10.36,10.4,14600
2024-12-02,10.25,10.4,10.25,10.4,38800
2024-11-29,10.2,10.348,10.13,10.277,15600
2024-11-27,10.221,10.26,10.2,10.24,7200
2024-11-26,10.1,10.25,10.1,10.2,18400
2024-11-25,10.16,10.16,10.12,10.14,29500
2024-11-22,10.15,10.16,10.11,10.15,8500
2024-11-21,10.075,10.156,10.075,10.13,7700
2024-11-20,10.136,10.16,9.99,10.16,4700
2024-11-19,10.16,10.16,10.108,10.15,6900
2024-11-18,10.07,10.16,10.07,10.093,7500
2024-11-15,10.01,10.131,10.01,10.075,4200
2024-11-14,10.09,10.11,9.962,10.025,8300
2024-11-13,10.06,10.199,10.05,10.05,9900
2024-11-12,10.18,10.219,10.092,10.1,7200
2024-11-11,10.21,10.25,10.17,10.18,10100
2024-11-10,10.21,10.25,10.17,10.18,10141
2024-11-08,10.31,10.37,10.17,10.17,24300
2024-11-07,10.2,10.3,10.11,10.25,29600
2024-11-06,10.03,10.191,10.025,10.15,30500
2024-11-05,10.03,10.1912,10.0254,10.15,30608
2024-11-04,9.8967,10.0098,9.75,9.89,17626
2024-11-01,10.08,10.08,9.68,9.77,11100
2024-10-31,10.1,10.17,9.68,9.68,20300
2024-10-30,10.071,10.071,9.765,10.03,28100
2024-10-29,9.82,10.04,9.79,9.828,6600
2024-10-28,10.03,10.17,9.77,9.82,10500
2024-10-25,10.02,10.23,9.96,10.034,16000
2024-10-24,10.07,10.175,10.05,10.05,5600
2024-10-23,10.11,10.27,10.025,10.27,13600
2024-10-22,10.225,10.313,10.08,10.088,6700
2024-10-21,10.1,10.3,10.1,10.26,6400
2024-10-18,10.08,10.25,10.08,10.14,5200
2024-10-17,10.313,10.313,10.05,10.06,11700
2024-10-16,10.2,10.28,10.1,10.14,28900
2024-10-15,10.16,10.19,10.14,10.17,7100
2024-10-14,10.1,10.15,10.1,10.15,8300
2024-10-11,10.13,10.13,10.03,10.09,4000
2024-10-10,10.12,10.126,10.011,10.09,7000
2024-10-09,10.07,10.13,10.0,10.08,18800
2024-10-08,10.0,10.13,9.95,10.13,16600
2024-10-07,10.05,10.121,9.92,10.08,14500
2024-10-04,10.05,10.14,9.929,9.93,7000
2024-10-03,10.066,10.07,9.9,9.9,9800
2024-10-02,9.99,10.05,9.99,9.998,6200
2024-10-01,10.15,10.17,9.96,9.98,11900
2024-09-30,10.23,10.23,9.95,10.17,33100
2024-09-27,9.98,10.21,9.78,10.09,23300
2024-09-26,9.86,9.9,9.8,9.88,10600
2024-09-25,10.12,10.12,9.781,9.84,44700
2024-09-24,10.1,10.11,9.98,10.095,7200
2024-09-23,10.09,10.171,9.99,10.08,6100
2024-09-20,9.88,10.09,9.88,10.09,10700
2024-09-19,9.99,10.085,9.9,10.01,27900
2024-09-18,10.0,10.08,9.85,9.965,10100
2024-09-17,10.08,10.09,9.991,10.04,19000
2024-09-16,9.66,10.1,9.603,10.09,44300
2024-09-13,10.3,10.467,10.0,10.0,62400
2024-09-12,10.42,10.46,10.14,10.15,35600
2024-09-11,10.6,10.64,10.2,10.26,30300
2024-09-10,10.85,10.85,10.45,10.55,37600
2024-09-09,10.61,10.74,10.5,10.7,34000
2024-09-08,10.61,10.74,10.5001,10.7,34026
2024-09-06,10.62,10.62,10.51,10.53,6100
2024-09-05,10.61,10.63,10.46,10.6,11400
2024-09-04,10.55,10.63,10.46,10.52,7700
