datetime,open,high,low,close,volume
2025-04-01,22.76,22.76,22.76,22.76,100
2025-03-31,22.64,22.64,22.64,22.64,100
2025-03-28,22.68,22.68,22.68,22.68,500
2025-03-27,22.6,22.6,22.6,22.6,200
2025-03-26,22.62,22.62,22.62,22.62,400
2025-03-25,22.68,22.68,22.6,22.67,900
2025-03-24,22.67,22.67,22.62,22.62,300
2025-03-21,22.68,22.68,22.68,22.68,0
2025-03-20,22.68,22.68,22.68,22.68,0
2025-03-19,22.68,22.68,22.68,22.68,600
2025-03-18,22.61,22.61,22.61,22.61,0
2025-03-17,22.61,22.61,22.61,22.61,0
2025-03-14,22.65,22.65,22.61,22.61,900
2025-03-13,22.75,22.75,22.75,22.75,0
2025-03-12,22.73,22.75,22.73,22.75,1000
2025-03-11,22.62,22.62,22.62,22.62,1000
2025-03-10,22.74,22.74,22.74,22.74,1200
2025-03-07,22.65,22.65,22.65,22.65,0
2025-03-06,22.65,22.65,22.65,22.65,300
2025-03-05,22.62,22.62,22.62,22.62,500
2025-03-04,22.92,22.92,22.92,22.92,0
2025-03-03,22.92,22.92,22.92,22.92,200
2025-02-28,22.75,22.93,22.75,22.79,5400
2025-02-27,22.84,22.84,22.84,22.84,200
2025-02-26,22.96,22.96,22.96,22.96,0
2025-02-25,22.96,22.96,22.96,22.96,0
2025-02-24,22.96,22.96,22.96,22.96,0
2025-02-21,22.96,22.96,22.96,22.96,0
2025-02-20,22.77,22.97,22.77,22.96,2000
2025-02-19,22.75,22.75,22.75,22.75,0
2025-02-18,22.75,22.75,22.75,22.75,0
2025-02-14,22.75,22.75,22.75,22.75,0
2025-02-13,22.75,22.75,22.75,22.75,100
2025-02-12,22.75,22.75,22.75,22.75,0
2025-02-11,22.74,22.75,22.74,22.75,500
2025-02-10,22.7,22.7,22.7,22.7,1000
2025-02-07,22.64,22.65,22.64,22.65,300
2025-02-06,22.75,22.75,22.75,22.75,1400
2025-02-05,22.7,22.79,22.7,22.7,600
2025-02-04,22.93,22.93,22.7,22.7,1500
2025-02-03,22.74,22.74,22.74,22.74,100
2025-01-31,22.7,22.7,22.7,22.7,0
2025-01-30,22.7,22.7,22.7,22.7,1200
2025-01-29,22.75,22.75,22.75,22.75,0
2025-01-28,22.68,22.75,22.68,22.75,900
2025-01-27,22.75,22.75,22.75,22.75,0
2025-01-24,22.65,22.75,22.65,22.75,3800
2025-01-23,22.75,22.75,22.74,22.75,1200
2025-01-22,22.78,22.81,22.78,22.8,1700
2025-01-21,22.65,22.75,22.65,22.75,1500
2025-01-17,22.77,22.77,22.77,22.77,0
2025-01-16,22.77,22.77,22.77,22.77,0
2025-01-15,22.95,22.95,22.77,22.77,400
2025-01-14,22.91,22.91,22.91,22.91,300
2025-01-13,22.7,22.78,22.7,22.78,400
2025-01-10,22.71,22.72,22.71,22.72,400
2025-01-08,22.82,22.82,22.82,22.82,0
2025-01-07,22.82,22.82,22.82,22.82,0
2025-01-06,22.82,22.82,22.82,22.82,100
2025-01-03,22.65,22.65,22.65,22.65,0
2025-01-02,22.95,22.95,22.51,22.65,600
2024-12-31,22.95,22.95,22.95,22.95,0
2024-12-30,22.95,22.95,22.95,22.95,0
2024-12-27,22.95,22.95,22.95,22.95,0
2024-12-26,22.95,22.95,22.95,22.95,0
2024-12-24,22.95,22.95,22.95,22.95,0
2024-12-23,22.95,22.95,22.95,22.95,0
2024-12-20,22.95,22.95,22.95,22.95,200
2024-12-19,22.8,22.8,22.8,22.8,2100
2024-12-18,22.74,22.74,22.74,22.74,100
2024-12-17,22.8,22.8,22.8,22.8,0
2024-12-16,22.8,22.8,22.8,22.8,0
2024-12-13,22.84,22.84,22.79,22.8,1500
2024-12-12,22.84,22.84,22.84,22.84,0
2024-12-11,22.84,22.84,22.84,22.84,0
2024-12-10,22.84,22.84,22.84,22.84,200
