datetime,open,high,low,close,volume
2025-04-01,1.8,1.85,1.6,1.79,304500
2025-03-31,1.65,1.83,1.61,1.83,29500
2025-03-28,1.642,1.82,1.642,1.67,8000
2025-03-27,1.69,1.83,1.69,1.83,15300
2025-03-26,1.59,1.84,1.54,1.84,155700
2025-03-25,1.648,1.678,1.53,1.6,4600
2025-03-24,1.59,1.69,1.59,1.69,11600
2025-03-21,1.54,1.69,1.54,1.56,18900
2025-03-20,1.57,1.66,1.51,1.63,8000
2025-03-19,1.48,1.69,1.42,1.63,31700
2025-03-18,1.32,1.57,1.3,1.53,68200
2025-03-17,1.37,1.487,1.3,1.39,34700
2025-03-14,1.3,1.419,1.2,1.37,101000
2025-03-13,1.48,1.57,1.39,1.45,457000
2025-03-12,1.44,1.55,1.43,1.55,49900
2025-03-11,1.7,1.73,1.31,1.46,4140800
2025-03-10,1.8,1.8,1.59,1.69,32900
2025-03-07,1.7,1.997,1.7,1.78,9400
2025-03-06,1.824,2.006,1.7,1.7,18500
2025-03-05,1.791,1.8,1.77,1.77,4500
2025-03-04,1.89,2.03,1.8,1.8,60200
2025-03-03,1.96,2.03,1.86,1.87,19000
2025-02-28,1.86,2.04,1.82,1.98,27600
2025-02-27,1.83,2.04,1.8,1.89,58300
2025-02-26,2.047,2.047,1.85,1.93,13300
2025-02-25,1.85,1.95,1.79,1.87,38300
2025-02-24,1.96,1.97,1.76,1.91,129700
2025-02-21,1.99,2.097,1.89,1.98,33300
2025-02-20,2.11,2.136,1.97,2.05,51400
2025-02-19,2.05,2.237,1.91,2.18,97400
2025-02-18,2.11,2.38,1.95,2.08,134400
2025-02-14,1.72,2.45,1.69,2.12,484900
2025-02-13,1.67,1.78,1.6,1.72,641800
2025-02-12,1.71,1.8,1.656,1.74,68800
2025-02-11,1.499,1.8,1.49,1.69,101300
2025-02-10,1.33,1.53,1.3,1.46,39000
2025-02-07,1.42,1.57,1.3,1.3,107100
2025-02-06,1.64,1.75,1.35,1.46,145700
2025-02-05,1.59,1.85,1.56,1.69,219400
2025-02-04,1.37,1.65,1.37,1.595,207700
2025-02-03,1.6,1.7,1.15,1.38,400500
2025-01-31,1.85,1.86,1.7,1.701,88200
2025-01-30,1.88,2.14,1.65,1.81,436200
2025-01-29,1.75,2.58,1.75,1.92,778300
2025-01-28,2.26,2.45,1.97,2.19,324300
2025-01-27,2.5,3.49,2.16,2.83,1299200
2025-01-24,8.14,9.0,2.57,2.91,902800
2025-01-23,10.96,11.0,8.535,8.535,20500
2025-01-22,17.49,17.49,10.0,11.14,40700
2025-01-21,13.05,15.99,13.0,15.99,30000
