datetime,open,high,low,close,volume
2025-04-01,49.5,49.61,47.015,47.15,696037
2025-03-31,49.5,51.775,48.05,49.64,754827
2025-03-28,52.49,52.765,51.86,52.36,427241
2025-03-27,52.88,53.6075,52.3,52.47,192523
2025-03-26,52.68,52.765,51.63,52.49,205112
2025-03-25,53.505,53.6,51.565,52.79,182245
2025-03-24,52.34,54.59,51.62,53.7,331397
2025-03-21,52.87,54.01,52.06,52.24,1082708
2025-03-20,53.42,54.01,52.65,53.23,215065
2025-03-19,52.83,54.14,52.071,53.74,366596
2025-03-18,51.47,53.02,50.81,52.83,325271
2025-03-17,51.42,51.99,50.58,51.27,352738
2025-03-14,52.77,53.64,50.74,51.02,283282
2025-03-13,53.96,54.835,52.36,52.41,263058
2025-03-12,53.56,56.29,52.97,53.93,539617
2025-03-11,53.37,54.95,52.35,53.89,483591
2025-03-10,55.3,56.0,52.7,53.37,662597
2025-03-07,55.67,57.04,54.755,55.67,281130
2025-03-06,56.23,57.09,55.46,55.5,207818
2025-03-05,55.46,57.19,54.7,56.92,242191
2025-03-04,53.73,56.3,53.51,55.34,279252
2025-03-03,56.18,56.695,53.94,54.33,187310
2025-03-02,56.18,56.695,53.94,54.33,187310
2025-02-28,54.41,56.22,53.701,56.18,229085
2025-02-27,54.41,56.22,53.701,56.18,229085
2025-02-26,56.3,56.81,54.07,54.5,302055
2025-02-25,53.53,55.49,53.07,54.46,226551
2025-02-24,54.64,54.88,53.07,53.53,567750
2025-02-23,54.66,55.0175,53.19,54.64,437176
2025-02-21,55.09,55.8,54.04,54.54,391725
2025-02-20,55.09,55.8,54.04,54.53,426986
2025-02-19,54.42,55.68,53.8,54.35,369811
2025-02-18,54.53,55.18,53.66,54.46,311410
2025-02-17,53.98,55.89,52.21,54.63,310440
2025-02-14,54.08,55.41,53.905,54.125,160146
2025-02-13,54.08,55.41,53.85,54.1,190095
2025-02-12,53.78,54.7017,53.715,54.1,156314
2025-02-11,53.19,54.11,53.08,53.64,208850
2025-02-10,54.48,54.48,52.78,54.07,257984
2025-02-09,55.12,55.72,54.34,54.71,296906
2025-02-07,55.905,56.995,54.62,54.87,306223
2025-02-06,56.29,56.995,54.61,54.82,356954
2025-02-05,55.66,56.96,54.555,56.29,274907
2025-02-04,54.47,56.02,54.24,56.01,389706
2025-02-03,54.92,55.68,53.66,54.32,225512
2025-02-02,55.06,56.355,54.4,54.99,520710
2025-01-31,55.56,57.43,55.305,55.73,278280
2025-01-30,55.56,57.43,55.305,55.8,355671
2025-01-29,56.2,56.37,54.775,55.6,249219
2025-01-28,54.24,56.45,54.24,55.88,200406
2025-01-27,56.12,57.19,54.7,54.75,301864
2025-01-26,58.2,59.25,54.76,55.96,603512
2025-01-24,57.24,57.74,56.54,57.54,468507
2025-01-23,57.24,57.74,56.54,57.45,727610
2025-01-22,55.61,57.96,55.0,56.99,2108707
2025-01-21,58.0,58.98,55.61,58.5,789108
2025-01-20,58.5,62.015,58.495,60.52,478063
2025-01-17,60.31,60.6375,58.155,58.25,183333
2025-01-16,60.31,60.6375,58.15,58.245,200967
2025-01-15,60.42,60.8,58.52,59.95,240960
2025-01-14,59.11,61.08,58.06,60.47,632623
2025-01-13,59.2,60.42,57.46,57.83,314249
2025-01-12,58.68,62.2,57.09,58.74,284594
2025-01-10,61.68,61.68,58.01,59.245,699105
2025-01-09,61.68,61.84,58.01,59.245,701611
2025-01-07,61.95,64.0,61.73,62.54,244246
2025-01-06,62.9,63.3,60.82,62.0,345915
2025-01-05,63.83,63.91,61.7,62.04,200522
2025-01-03,63.02,64.96,62.9,63.82,174462
2025-01-02,63.02,64.97,61.77,63.82,177941
2025-01-01,63.86,65.02,61.525,62.45,257729
2024-12-31,62.05,63.99,61.935,63.4,98277
2024-12-30,62.05,63.99,61.8,63.4,99110
2024-12-29,63.57,63.57,61.24,61.6,98242
2024-12-27,64.77,65.315,63.62,64.12,109670
2024-12-26,64.77,65.315,63.52,64.12,109985
2024-12-25,64.31,65.9,64.31,65.54,143756
2024-12-24,63.81,66.16,63.0,65.01,70907
2024-12-23,63.81,66.16,62.94,65.01,70910
2024-12-22,64.45,65.3975,61.825,63.81,188916
2024-12-20,62.26,65.14,61.07,64.5,234571
2024-12-19,62.26,65.14,61.07,64.5,441622
2024-12-18,63.52,65.065,61.075,62.95,260897
2024-12-17,63.69,66.195,62.59,63.5,328067
2024-12-16,65.62,66.9,64.65,65.0,255896
2024-12-15,64.63,67.87,64.2779,66.18,314470
2024-12-13,62.31,65.24,62.31,64.89,280154
2024-12-12,64.08,65.25,62.31,64.89,294995
2024-12-11,65.3,66.49,63.21,64.27,241216
2024-12-10,68.07,68.07,64.75,65.93,460755
2024-12-09,65.61,68.35,64.555,67.47,285824
2024-12-08,65.84,66.89,62.72,64.66,245743
2024-12-06,62.86,66.015,62.86,64.82,178616
2024-12-05,62.86,66.0887,62.86,64.82,181395
2024-12-04,63.49,65.01,61.0,62.31,236736
2024-12-03,64.73,67.23,64.42,64.46,174585
2024-12-02,64.14,64.85,63.65,64.7,126643
2024-12-01,63.16,65.81,63.16,64.22,163328
2024-11-29,64.835,64.835,63.12,63.45,101209
2024-11-28,64.56,64.835,63.06,63.45,101209
2024-11-27,62.76,65.42,61.63,64.55,137832
2024-11-26,62.76,65.42,61.625,64.55,143654
2024-11-25,64.6,65.87,61.84,62.65,349710
2024-11-24,65.97,68.1899,64.35,64.5,410852
2024-11-22,63.2,65.8,62.61,64.96,279124
2024-11-21,63.34,65.8,62.61,64.96,282399
2024-11-20,63.0,64.2,61.36,63.505,362395
2024-11-19,59.1,62.69,59.1,62.55,263333
2024-11-18,56.85,59.64,56.28,59.55,284893
2024-11-17,60.0,60.0,56.5,57.35,337658
2024-11-15,60.73,61.15,58.94,59.46,270600
2024-11-14,60.73,61.15,58.94,59.46,271441
2024-11-13,62.3,63.83,60.3271,60.67,183259
2024-11-12,64.08,64.71,61.76,63.06,307624
2024-11-11,66.73,67.5,63.11,63.26,334854
2024-11-10,65.38,68.73,64.27,66.57,327113
2024-11-08,63.41,67.29,63.41,65.0,666378
2024-11-07,63.41,67.44,63.41,65.0,666440
2024-11-06,64.29,65.105,63.21,63.33,250420
2024-11-05,66.73,67.79,64.0901,64.8,534672
2024-11-04,60.07,65.25,57.91,64.775,895005
2024-11-03,57.59,62.2599,55.27,58.25,2086530
2024-11-01,45.12,47.13,45.12,47.13,197055
2024-10-31,45.12,47.16,45.02,47.13,212328
2024-10-30,45.4,46.5,44.81,44.82,217430
2024-10-29,45.77,47.16,45.49,45.6,298260
2024-10-28,46.15,46.96,45.09,45.9,242079
2024-10-27,46.36,48.41,45.81,46.19,299052
2024-10-25,45.68,48.29,45.68,46.01,406813
2024-10-24,45.68,48.29,45.68,46.01,409713
2024-10-23,46.85,47.9703,45.82,46.0,299491
2024-10-22,52.25,52.73,46.77,46.99,397237
2024-10-21,50.36,51.04,50.03,50.92,159950
2024-10-20,50.32,51.26,50.01,50.77,238943
2024-10-18,50.68,51.63,49.74,50.56,352000
2024-10-17,50.47,51.63,49.74,50.56,352006
2024-10-16,48.02,51.0,46.76,50.49,260083
2024-10-15,48.37,48.96,47.22,47.99,563686
2024-10-14,47.77,48.46,47.34,47.64,254091
2024-10-13,47.54,48.865,47.25,47.99,323703
2024-10-11,47.39,48.74,47.39,47.75,483310
2024-10-10,47.39,48.74,47.39,47.75,484918
2024-10-09,46.47,47.5,45.945,47.47,145922
2024-10-08,47.98,47.98,46.57,46.77,99006
2024-10-07,47.53,48.39,46.69,47.9,251050
2024-10-06,49.84,49.96,46.72,47.33,134039
2024-10-04,50.37,51.36,49.93,49.93,177733
2024-10-03,50.37,51.36,49.82,49.93,177733
2024-10-02,50.48,51.23,49.9,50.15,124093
2024-10-01,52.73,52.76,50.51,51.2,351186
2024-09-30,49.04,53.1,47.8,52.73,250270
2024-09-29,49.8,51.27,48.995,49.14,168370
2024-09-27,47.76,50.23,47.76,50.07,131790
2024-09-26,48.35,50.23,47.76,50.07,131790
2024-09-25,48.24,49.0,47.3,48.05,122585
2024-09-24,47.25,48.12,46.87,47.87,133942
2024-09-23,47.18,47.78,46.32,47.18,130497
2024-09-22,48.09,48.09,44.69,46.95,294367
2024-09-20,48.36,48.87,47.245,48.03,170821
2024-09-19,48.36,48.87,47.245,48.11,1003798
2024-09-18,48.73,49.065,47.78,48.58,208701
2024-09-17,47.35,49.55,47.235,47.65,147939
2024-09-16,47.97,48.81,47.28,47.35,104649
2024-09-15,47.41,48.86,46.61,47.68,237795
2024-09-13,48.36,49.31,47.2,47.79,258771
2024-09-12,48.36,49.31,47.165,47.79,258771
2024-09-11,48.62,49.3,48.0,48.27,162257
2024-09-10,49.07,49.405,48.14,48.5,90319
2024-09-09,51.75,51.82,49.36,49.54,129029
2024-09-08,50.77,52.6,50.65,51.74,148762
2024-09-06,50.21,51.0,48.72,50.35,110808
2024-09-05,50.21,51.01,48.72,50.35,110854
2024-09-04,49.24,51.11,48.75,50.2,100843
2024-09-03,49.5,50.255,48.69,49.25,171407
2024-09-02,50.59,52.41,48.95,49.61,143350
2024-08-30,49.29,51.3,49.2,50.82,166540
2024-08-29,49.29,51.3,48.82,50.82,171793
2024-08-28,49.53,50.49,48.68,48.8,115348
2024-08-27,49.2,49.77,48.11,49.48,108308
2024-08-26,49.63,50.14,48.565,49.45,151171
2024-08-25,50.03,51.25,49.34,49.73,159339
2024-08-23,49.3,50.17,48.45,49.41,178583
2024-08-22,49.3,50.17,48.45,49.41,178635
2024-08-21,51.35,51.35,48.27,48.75,109762
2024-08-20,49.95,51.11,48.31,49.31,202629
2024-08-19,49.07,50.21,48.21,49.95,134961
2024-08-18,48.26,49.64,47.14,49.26,105032
2024-08-16,48.42,48.42,47.3,47.94,152786
2024-08-15,48.42,48.42,47.13,47.94,195272
2024-08-14,46.33,48.48,45.88,48.32,141963
2024-08-13,46.14,46.16,44.17,45.31,142657
2024-08-12,45.42,46.49,45.045,45.87,155109
2024-08-11,43.42,45.32,43.07,45.02,119780
2024-08-09,43.36,44.44,42.17,43.09,195610
2024-08-08,43.36,44.53,42.17,43.09,195610
2024-08-07,41.82,42.89,40.9,42.85,129639
2024-08-06,42.87,42.89,40.88,41.27,206758
2024-08-05,41.82,43.205,41.36,42.11,278690
2024-08-04,40.95,42.32,40.485,41.87,195165
2024-08-02,41.91,43.17,41.13,42.84,338487
2024-08-01,41.91,43.17,41.13,42.84,362162
2024-07-31,43.51,44.67,42.64,43.27,223356
2024-07-30,43.59,44.56,42.0,43.16,397136
2024-07-29,43.91,45.23,42.74,43.03,242624
2024-07-28,45.64,46.59,43.75,43.82,233007
2024-07-26,45.06,46.19,44.4,45.67,217371
2024-07-25,45.06,46.43,44.03,45.67,217374
2024-07-24,44.72,46.38,43.58,43.92,257005
2024-07-23,45.52,46.16,44.35,44.56,189479
2024-07-22,45.69,47.38,45.51,46.12,271801
2024-07-21,45.68,46.26,44.65,45.96,381915
2024-07-19,46.52,46.81,44.95,45.4,216128
2024-07-18,46.52,47.15,44.95,45.4,264258
2024-07-17,47.42,48.785,45.02,46.19,172462
2024-07-16,47.1,48.15,45.36,47.6,209598
2024-07-15,49.93,50.515,47.66,47.92,269418
2024-07-14,47.5,50.2,47.07,49.23,352599
2024-07-12,47.64,48.34,46.85,47.17,245708
2024-07-11,47.64,48.34,46.84,47.17,284608
2024-07-10,46.81,48.51,45.63,46.91,277945
2024-07-09,46.83,46.83,44.94,45.8,314886
2024-07-08,47.57,48.85,46.55,46.97,400852
2024-07-07,46.85,48.23,46.13,47.5,261019
2024-07-05,44.36,46.64,44.36,46.62,244231
2024-07-04,43.97,46.64,43.97,46.62,244231
2024-07-03,42.915,44.76,42.3,44.425,197670
2024-07-02,42.33,44.76,42.3,44.43,219199
2024-07-01,46.14,46.95,41.22,41.62,517841
2024-06-30,44.38,46.7,44.38,46.47,385082
2024-06-28,44.42,45.59,43.955,45.08,331616
2024-06-27,44.42,45.66,43.93,45.07,1861369
2024-06-26,43.76,46.11,43.45,44.35,231073
2024-06-25,44.4,44.64,42.67,43.41,238633
2024-06-24,44.74,45.83,44.32,44.51,206789
2024-06-23,44.74,46.27,44.1,44.98,412360
2024-06-21,43.0,44.91,42.2501,44.18,1299711
2024-06-20,43.64,44.91,42.2501,44.18,1299778
2024-06-19,43.31,43.56,40.83,41.25,433391
2024-06-18,44.83,44.83,42.87,43.54,467327
2024-06-17,44.83,44.83,42.87,43.54,467339
