datetime,open,high,low,close,volume
2025-04-01,27.88,28.12,27.778,27.925,46300
2025-03-31,27.98,27.98,27.24,27.79,104100
2025-03-28,27.28,27.4,27.17,27.4,30600
2025-03-27,26.94,27.09,26.76,27.01,25400
2025-03-26,26.66,26.76,26.635,26.694,6800
2025-03-25,26.55,26.899,26.55,26.731,14400
2025-03-24,26.73,26.73,26.41,26.493,9500
2025-03-21,26.82,26.82,26.566,26.665,8500
2025-03-20,26.49,26.831,26.49,26.82,8300
2025-03-19,26.44,26.93,26.44,26.93,105600
2025-03-18,26.66,27.059,26.42,26.785,28500
2025-03-17,26.295,26.51,26.295,26.405,31400
2025-03-14,26.28,26.42,26.12,26.12,22700
2025-03-13,25.91,26.38,25.851,26.36,198900
2025-03-12,25.696,26.02,25.696,25.877,34500
2025-03-11,25.99,25.99,25.692,25.82,25600
2025-03-10,25.81,25.89,25.47,25.67,207200
2025-03-07,25.92,25.99,25.748,25.81,14300
2025-03-06,25.87,26.06,25.81,25.879,15900
2025-03-05,26.12,26.212,25.98,26.111,24300
2025-03-04,26.37,26.37,26.06,26.241,10400
2025-03-03,26.3,26.3,25.9,26.05,34500
2025-02-28,25.68,25.874,25.57,25.874,7300
2025-02-27,25.82,26.05,25.82,25.866,7000
2025-02-26,26.26,26.38,26.26,26.375,6900
2025-02-25,26.55,26.557,26.2,26.46,4500
2025-02-24,26.76,26.76,26.346,26.558,11400
2025-02-21,26.398,26.55,26.252,26.44,6400
2025-02-20,25.69,26.421,25.69,26.35,8700
2025-02-19,26.295,26.45,26.214,26.33,6900
2025-02-18,26.76,26.76,26.275,26.406,10100
2025-02-14,26.66,26.66,26.0,26.05,65700
2025-02-13,26.52,26.59,26.289,26.535,8400
2025-02-12,26.71,26.71,26.16,26.287,6000
2025-02-11,27.0,27.0,26.17,26.42,6200
2025-02-10,25.93,26.655,25.93,26.655,10700
2025-02-07,26.52,26.52,25.913,25.913,9900
2025-02-06,26.82,26.82,25.776,26.11,9500
2025-02-05,26.21,26.686,26.21,26.298,20700
2025-02-04,25.87,26.08,25.8,26.08,13900
2025-02-03,26.78,26.78,25.813,25.912,31500
2025-01-31,25.74,26.0,25.527,25.543,13500
2025-01-30,25.43,25.83,25.43,25.74,23400
2025-01-29,25.61,25.61,25.31,25.335,4300
2025-01-28,25.13,25.348,25.1,25.3,20000
