datetime,open,high,low,close,volume
2025-04-01,0.846,0.9144,0.765,0.79,18524416
2025-03-31,0.77,0.92,0.7251,0.823,33638712
2025-03-28,0.85,0.86,0.78,0.8101,17827768
2025-03-27,0.855,0.97,0.8011,0.8852,28825390
2025-03-26,0.96,0.9699,0.855,0.8628,23654580
2025-03-25,0.97,1.09,0.92,0.9751,45116112
2025-03-24,1.05,1.19,0.8,1.11,77175144
2025-03-21,0.726,1.21,0.6726,1.0,141981200
2025-03-20,0.79,0.797,0.736,0.7555,8572034
2025-03-19,0.77,0.81,0.75,0.788,13109737
2025-03-18,0.81,0.81,0.7334,0.74,17722072
2025-03-17,0.8976,0.9081,0.83,0.845,18322496
2025-03-14,0.925,0.97,0.88,0.9071,21387214
2025-03-13,0.9523,0.9602,0.89,0.893,13088049
2025-03-12,1.03,1.03,0.95,0.975,11231445
2025-03-11,0.975,1.03,0.9217,1.03,10106722
2025-03-10,1.015,1.02,0.918,0.9516,18639508
2025-03-07,1.12,1.13,1.0,1.05,14668319
2025-03-06,1.04,1.15,1.03,1.07,16792560
2025-03-05,1.06,1.085,1.0,1.05,13592961
2025-03-04,0.9538,1.1,0.9227,1.07,21123438
2025-03-03,1.255,1.26,0.9463,0.955,67267032
2025-03-02,1.255,1.26,0.9463,0.955,67267032
2025-02-28,0.9755,1.02,0.918,0.9701,16623642
2025-02-27,0.9755,1.02,0.918,0.9701,16623642
2025-02-26,1.13,1.14,1.01,1.03,21293536
2025-02-25,1.12,1.26,1.08,1.11,25910358
2025-02-24,1.175,1.2,1.06,1.15,25774208
2025-02-23,1.495,1.5,1.17,1.24,67695376
2025-02-21,1.42,1.8027,1.35,1.565,184364173
2025-02-20,1.42,1.81,1.34,1.57,190809984
2025-02-19,1.15,1.3,1.06,1.19,36580568
2025-02-18,1.22,1.23,1.12,1.14,19738768
2025-02-17,1.29,1.29,1.22,1.23,13857614
2025-02-14,1.35,1.36,1.2604,1.31,15640367
2025-02-13,1.355,1.36,1.26,1.3,16261345
2025-02-12,1.42,1.47,1.2909,1.4,28187314
2025-02-11,1.23,1.37,1.2,1.28,22554604
2025-02-10,1.3009,1.32,1.24,1.26,15509887
2025-02-09,1.4,1.41,1.28,1.32,16875116
2025-02-07,1.455,1.455,1.35,1.385,14530639
2025-02-06,1.45,1.46,1.35,1.39,15203051
2025-02-05,1.5,1.53,1.4,1.46,15186844
2025-02-04,1.55,1.57,1.46,1.46,13831592
2025-02-03,1.52,1.64,1.5,1.59,21385332
2025-02-02,1.39,1.5,1.37,1.44,10568527
2025-01-31,1.6,1.6,1.45,1.505,18766269
2025-01-30,1.6,1.6014,1.45,1.51,19637516
2025-01-29,1.59,1.6965,1.55,1.59,17743330
2025-01-28,1.81,1.84,1.65,1.69,28714196
2025-01-27,1.89,2.04,1.74,1.95,76351328
2025-01-26,2.58,2.59,1.65,1.68,205546480
