datetime,open,high,low,close,volume
2025-04-01,25.29,25.615,24.5,25.1,804400
2025-03-31,25.96,26.155,24.88,25.54,948300
2025-03-28,28.99,28.99,26.16,26.93,949100
2025-03-27,27.76,29.5,26.755,28.58,886600
2025-03-26,31.35,31.6,28.17,28.39,1091000
2025-03-25,32.06,32.632,30.01,31.2,685400
2025-03-24,31.5,33.49,31.45,32.13,1286000
2025-03-21,27.82,31.12,26.96,30.29,1740700
2025-03-20,27.48,29.66,27.28,27.81,860900
2025-03-19,28.17,29.27,27.57,28.01,1158500
2025-03-18,29.19,29.19,26.66,28.18,950600
2025-03-17,29.86,31.1,28.261,29.13,795900
2025-03-14,27.58,29.75,26.51,29.74,1413700
2025-03-13,30.65,30.65,26.72,26.92,1579000
2025-03-12,31.1,32.18,29.316,30.85,1394000
2025-03-11,32.51,32.99,29.4,30.54,2117900
2025-03-10,31.83,32.44,29.02,32.09,2101600
2025-03-07,33.32,34.22,30.29,32.88,2426400
2025-03-06,37.72,38.09,33.06,33.45,1638900
2025-03-05,41.51,44.04,38.23,38.3,1742800
2025-03-04,34.52,45.513,34.26,41.535,2239600
2025-03-03,40.24,41.11,35.33,36.33,1144000
2025-02-28,39.29,41.18,37.15,38.56,1315200
2025-02-27,45.0,45.99,39.08,39.285,959300
2025-02-26,44.27,47.25,42.84,43.87,1599100
2025-02-25,44.005,45.11,39.781,43.11,1818200
2025-02-24,38.99,47.74,38.87,45.3,2063100
2025-02-21,49.0,49.0,37.85,40.73,2845600
2025-02-20,49.04,51.22,45.68,47.76,1594100
2025-02-19,47.869,55.496,47.5,52.6,2032400
2025-02-18,57.415,63.99,45.215,47.13,5372500
2025-02-14,50.3,55.32,48.9,55.02,3159400
2025-02-13,39.92,52.85,39.915,52.58,5015300
2025-02-12,32.33,39.48,32.06,39.26,1780300
2025-02-11,33.31,34.26,32.624,33.15,453100
2025-02-10,32.5,34.71,31.87,33.37,1048600
2025-02-07,33.0,33.363,31.01,32.21,740700
2025-02-06,34.185,35.67,31.31,32.99,1553000
2025-02-05,28.41,34.44,28.41,34.39,1457900
2025-02-04,29.33,29.98,27.5,28.28,843800
2025-02-03,28.58,30.15,27.6,28.84,1240400
2025-01-31,31.92,32.65,27.85,30.28,1748200
2025-01-30,27.25,31.59,26.68,31.51,1480500
2025-01-29,26.97,28.45,26.4,26.665,786200
2025-01-28,26.55,27.975,25.79,27.04,806900
2025-01-27,27.81,28.4,23.34,25.99,1543800
2025-01-24,26.19,29.79,25.61,28.61,2358000
2025-01-23,22.76,26.14,22.0,25.97,1651200
2025-01-22,18.805,23.73,18.8,22.64,2896000
2025-01-21,17.54,19.23,17.5,18.49,800600
2025-01-17,17.58,17.81,17.12,17.42,483900
2025-01-16,17.75,18.68,16.56,17.405,1122300
2025-01-15,18.92,20.08,17.54,17.58,1080300
2025-01-14,18.74,19.36,17.84,18.1,614900
2025-01-13,17.49,18.73,16.98,18.57,1027100
2025-01-10,17.5,18.13,16.81,17.73,517900
2025-01-08,17.72,18.22,16.6,17.66,829100
2025-01-07,19.62,19.95,17.75,17.87,730400
2025-01-06,19.76,20.73,19.54,19.67,531800
2025-01-03,18.0,19.45,17.835,19.45,413800
2025-01-02,17.82,18.56,17.58,17.92,506300
2024-12-31,18.83,18.87,17.445,17.85,728600
2024-12-30,19.26,19.485,18.05,18.64,545500
2024-12-27,19.25,20.059,18.86,19.6,363200
2024-12-26,18.77,19.49,18.49,19.41,371000
2024-12-24,18.66,18.96,18.35,18.81,289500
2024-12-23,18.35,19.09,17.91,18.72,628100
2024-12-20,16.56,19.14,16.55,18.35,3363000
2024-12-19,18.72,19.0,16.1,17.14,2429300
2024-12-18,23.86,24.5,17.884,18.09,2779400
2024-12-17,23.02,24.92,22.74,23.62,894600
2024-12-16,22.16,23.78,21.6,22.74,1086700
2024-12-13,20.94,22.35,20.376,22.16,873300
2024-12-12,20.27,21.8,20.25,20.78,763900
2024-12-11,20.6,21.98,20.4,20.46,768500
2024-12-10,21.43,21.89,20.43,20.505,1023500
2024-12-09,22.0,22.64,21.14,21.82,796300
2024-12-06,22.76,23.44,21.31,21.62,972700
2024-12-05,20.32,22.85,20.23,22.41,1539300
2024-12-04,19.2,20.59,19.115,20.23,1322000
2024-12-03,18.61,19.44,18.16,19.36,1162600
2024-12-02,17.5,19.77,17.5,18.73,1382000
