datetime,open,high,low,close,volume
2025-04-01,0.75,0.79,0.73,0.75,159300
2025-03-31,0.82,0.82,0.71,0.73,294900
2025-03-28,0.81,0.87,0.8,0.82,173200
2025-03-27,0.8,0.9,0.8,0.86,150400
2025-03-26,0.87,0.87,0.85,0.85,88100
2025-03-25,0.87,0.88,0.84,0.88,151900
2025-03-24,0.91,0.93,0.84,0.88,276400
2025-03-21,0.86,0.95,0.86,0.89,125100
2025-03-20,0.91,0.94,0.9,0.93,108100
2025-03-19,0.86,0.96,0.85,0.94,114900
2025-03-18,0.88,0.88,0.84,0.85,60500
2025-03-17,0.82,0.92,0.82,0.89,161400
2025-03-14,0.77,0.81,0.77,0.81,69100
2025-03-13,0.77,0.81,0.75,0.76,66800
2025-03-12,0.82,0.83,0.74,0.79,159000
2025-03-11,0.8,0.82,0.77,0.81,96200
2025-03-10,0.84,0.86,0.75,0.77,100100
2025-03-07,0.96,0.99,0.85,0.86,203400
2025-03-06,0.89,0.95,0.82,0.94,135800
2025-03-05,0.83,0.89,0.81,0.87,89700
2025-03-04,0.8,0.83,0.73,0.81,218200
2025-03-03,1.0,1.0,0.81,0.81,276800
2025-02-28,0.91,0.94,0.86,0.86,150500
2025-02-27,0.95,0.97,0.91,0.91,136000
2025-02-26,0.95,1.04,0.93,0.95,165400
2025-02-25,1.04,1.04,0.94,0.95,348300
2025-02-24,1.07,1.1,1.02,1.06,194000
2025-02-21,1.13,1.16,1.06,1.08,114400
2025-02-20,1.09,1.13,1.09,1.11,88800
2025-02-19,1.07,1.11,1.06,1.1,98900
2025-02-18,1.09,1.13,1.06,1.07,172200
2025-02-14,1.08,1.11,1.06,1.09,139500
2025-02-13,1.08,1.1,1.03,1.09,196200
2025-02-12,1.0,1.12,1.0,1.09,169200
2025-02-11,1.08,1.13,1.03,1.05,262600
2025-02-10,1.13,1.19,1.07,1.08,372300
2025-02-07,1.19,1.2,1.09,1.14,393400
2025-02-06,1.2,1.26,1.17,1.19,310100
2025-02-05,1.28,1.28,1.17,1.19,341300
2025-02-04,1.33,1.33,1.24,1.28,275400
2025-02-03,1.29,1.36,1.26,1.33,261700
2025-01-31,1.46,1.51,1.35,1.36,421800
2025-01-30,1.5,1.56,1.44,1.46,439900
2025-01-29,1.51,1.55,1.4,1.48,472100
2025-01-28,1.61,1.62,1.5,1.51,271900
2025-01-27,1.65,1.67,1.53,1.58,415900
2025-01-24,1.84,1.85,1.7,1.71,284200
2025-01-23,1.83,1.94,1.79,1.82,283300
2025-01-22,1.89,1.89,1.78,1.84,204400
2025-01-21,1.89,1.91,1.76,1.89,306600
2025-01-17,1.82,2.04,1.76,1.91,738500
2025-01-16,1.8,1.8,1.7,1.73,134100
2025-01-15,1.68,1.8,1.68,1.78,139500
2025-01-14,1.63,1.7,1.59,1.67,162300
2025-01-13,1.61,1.61,1.51,1.6,292900
2025-01-10,1.67,1.68,1.58,1.65,229600
