datetime,open,high,low,close,volume
2025-04-01,1.2,1.2,0.8748,0.88,382488
2025-03-31,0.918,1.09,0.861,1.085,222633
2025-03-28,0.9501,1.01,0.9,0.946,132864
2025-03-27,1.04,1.07,0.9401,0.9407,76540
2025-03-26,1.17,1.17,0.9875,1.0209,103135
2025-03-25,1.16,1.16,1.14,1.14,1126
2025-03-24,1.12,1.22,1.07,1.2,244439
2025-03-21,0.92,1.04,0.85,1.0001,194677
2025-03-20,1.14,1.14,0.89,0.89,285393
2025-03-19,1.02,1.2298,1.02,1.1,122161
2025-03-18,1.12,1.135,1.0,1.01,266947
2025-03-17,1.35,1.39,1.05,1.15,618847
2025-03-14,1.17,1.3647,1.09,1.3,547280
2025-03-13,1.38,1.5,1.07,1.08,634939
2025-03-12,1.48,1.48,1.16,1.26,375086
2025-03-11,1.11,1.3,1.0601,1.16,576888
2025-03-10,1.29,1.49,1.11,1.135,705330
2025-03-07,1.56,1.91,1.1,1.4,962992
2025-03-06,1.96,2.15,1.49,1.785,1239112
2025-03-05,1.89,2.29,1.72,2.2,1397516
2025-03-04,1.2,1.78,1.09,1.61,1454993
2025-03-03,1.6,1.6499,1.16,1.17,1134440
2025-02-28,0.74,0.95,0.73,0.95,426311
2025-02-27,0.76,0.8735,0.6675,0.73,394134
2025-02-26,0.88,0.9422,0.701,0.7299,326281
2025-02-25,0.9353,0.9353,0.6621,0.7185,497223
2025-02-24,1.1,1.18,0.8001,0.91,546133
2025-02-21,1.25,1.345,1.11,1.14,599917
2025-02-20,1.24,1.2401,1.15,1.22,133711
2025-02-19,1.23,1.39,1.21,1.245,543068
2025-02-18,1.345,1.39,1.11,1.13,501959
2025-02-14,1.53,1.54,1.06,1.2,562947
2025-02-13,1.25,1.54,1.25,1.49,773455
2025-02-12,1.1,1.2399,1.09,1.23,381789
2025-02-11,1.14,1.23,0.9591,1.0801,512929
2025-02-10,0.9759,1.25,0.9759,1.1,653754
2025-02-07,0.723,0.9573,0.723,0.8802,1023138
2025-02-06,0.67,0.7499,0.666,0.7197,260144
2025-02-05,0.65,0.6725,0.6021,0.63,159343
2025-02-04,0.5454,0.6433,0.5333,0.6099,98062
2025-02-03,0.5185,0.57,0.4409,0.5684,98659
2025-01-31,0.53,0.5958,0.5055,0.58,357977
2025-01-30,0.54,0.5675,0.5,0.54,250150
2025-01-29,0.5799,0.5799,0.471,0.5175,86490
2025-01-28,0.499,0.499,0.4201,0.4818,103618
2025-01-27,0.6,0.6225,0.3763,0.45,420786
2025-01-24,0.6122,0.67,0.6,0.611,131458
2025-01-23,0.6787,0.6787,0.5946,0.5946,97981
2025-01-22,0.6896,0.703,0.6153,0.67,174830
2025-01-21,0.56,0.7,0.5575,0.6849,223309
2025-01-17,0.64,0.65,0.55,0.59,388749
2025-01-16,0.65,0.8125,0.64,0.65,478450
2025-01-15,0.65,0.65,0.5742,0.63,332321
2025-01-14,0.5158,0.62,0.4953,0.5506,334855
2025-01-13,0.63,0.6975,0.45,0.4616,638514
2025-01-10,0.7,0.7,0.51,0.5475,472568
