datetime,open,high,low,close,volume
2025-04-01,0.169,0.172,0.154,0.159,583300
2025-03-31,0.168,0.18,0.152,0.17,1018800
2025-03-28,0.188,0.19,0.163,0.165,479700
2025-03-27,0.171,0.19,0.17,0.186,582200
2025-03-26,0.183,0.193,0.158,0.175,624700
2025-03-25,0.2,0.216,0.183,0.183,860500
2025-03-24,0.205,0.214,0.193,0.193,302800
2025-03-21,0.2,0.21,0.192,0.194,370900
2025-03-20,0.191,0.21,0.191,0.198,303000
2025-03-19,0.2,0.22,0.192,0.193,661300
2025-03-18,0.216,0.222,0.192,0.198,799000
2025-03-17,0.216,0.224,0.21,0.216,348800
2025-03-14,0.196,0.218,0.196,0.207,778700
2025-03-13,0.198,0.205,0.19,0.194,291500
2025-03-12,0.207,0.21,0.191,0.194,446800
2025-03-11,0.19,0.223,0.183,0.212,931700
2025-03-10,0.221,0.227,0.19,0.191,1184700
2025-03-07,0.249,0.249,0.212,0.234,1095400
2025-03-06,0.26,0.26,0.237,0.239,363000
2025-03-05,0.262,0.268,0.253,0.262,217500
2025-03-04,0.26,0.271,0.225,0.271,723900
2025-03-03,0.295,0.32,0.265,0.271,1314700
2025-02-28,0.279,0.289,0.265,0.279,655000
2025-02-27,0.29,0.29,0.275,0.288,463700
2025-02-26,0.274,0.3,0.263,0.295,509300
2025-02-25,0.282,0.289,0.26,0.27,885100
2025-02-24,0.307,0.31,0.28,0.291,691200
2025-02-21,0.346,0.347,0.305,0.311,595800
2025-02-20,0.34,0.347,0.319,0.332,318700
2025-02-19,0.334,0.37,0.324,0.347,1201100
2025-02-18,0.345,0.375,0.332,0.334,1282700
2025-02-14,0.316,0.36,0.305,0.352,1729100
2025-02-13,0.3,0.315,0.29,0.31,845200
2025-02-12,0.28,0.296,0.271,0.293,446200
2025-02-11,0.3,0.3,0.27,0.29,1252900
2025-02-10,0.297,0.31,0.283,0.298,620400
2025-02-07,0.301,0.314,0.276,0.292,1415800
2025-02-06,0.297,0.321,0.297,0.301,758500
2025-02-05,0.315,0.315,0.273,0.298,518800
2025-02-04,0.301,0.314,0.299,0.304,467400
2025-02-03,0.285,0.303,0.27,0.299,1617700
2025-01-31,0.33,0.33,0.283,0.315,2447000
2025-01-30,0.345,0.345,0.317,0.328,751400
2025-01-29,0.332,0.349,0.303,0.331,839200
2025-01-28,0.333,0.352,0.324,0.34,912100
2025-01-27,0.38,0.387,0.331,0.346,3075200
2025-01-24,0.38,0.4,0.362,0.372,1949100
2025-01-23,0.401,0.403,0.366,0.38,2206900
2025-01-22,0.41,0.43,0.384,0.406,2253800
2025-01-21,0.439,0.45,0.4,0.416,2676400
2025-01-17,0.425,0.445,0.401,0.435,2286600
2025-01-16,0.435,0.439,0.413,0.436,1722700
2025-01-15,0.42,0.44,0.386,0.433,3029100
2025-01-14,0.4,0.467,0.4,0.443,4506200
2025-01-13,0.441,0.46,0.38,0.397,9671200
2025-01-10,0.463,0.574,0.355,0.452,92575300
2025-01-08,0.405,0.405,0.351,0.377,743700
2025-01-07,0.439,0.448,0.386,0.403,602500
2025-01-06,0.43,0.449,0.42,0.42,772500
2025-01-03,0.4,0.427,0.395,0.414,514100
2025-01-02,0.398,0.405,0.371,0.399,755900
2024-12-31,0.403,0.412,0.351,0.401,1926500
2024-12-30,0.459,0.459,0.389,0.403,1162300
2024-12-27,0.455,0.48,0.43,0.454,531200
2024-12-26,0.423,0.457,0.413,0.445,568200
2024-12-24,0.418,0.431,0.41,0.429,273300
2024-12-23,0.445,0.46,0.421,0.427,526400
