datetime,open,high,low,close,volume
2025-04-01,0.096,0.1,0.094,0.096,1894700
2025-03-31,0.089,0.105,0.082,0.1,5255600
2025-03-28,0.09,0.099,0.083,0.094,7508900
2025-03-27,0.125,0.134,0.094,0.104,101486700
2025-03-26,0.093,0.119,0.093,0.107,6019400
2025-03-25,0.1,0.1,0.09,0.094,1207300
2025-03-24,0.095,0.109,0.088,0.101,4512700
2025-03-21,0.096,0.096,0.082,0.087,2077500
2025-03-20,0.092,0.099,0.092,0.099,747200
2025-03-19,0.099,0.123,0.091,0.099,3914300
2025-03-18,0.099,0.1,0.09,0.099,2445000
2025-03-17,0.105,0.11,0.094,0.105,4038300
2025-03-14,0.112,0.115,0.104,0.107,2144100
2025-03-13,0.111,0.12,0.105,0.112,5096800
2025-03-12,0.116,0.137,0.114,0.117,4572200
2025-03-11,0.108,0.12,0.105,0.12,3309300
2025-03-10,0.116,0.122,0.11,0.111,3064100
2025-03-07,0.133,0.135,0.108,0.12,11051000
2025-03-06,0.164,0.164,0.139,0.141,7620000
2025-03-05,0.154,0.19,0.153,0.165,51909300
2025-03-04,0.184,0.184,0.131,0.138,4231100
2025-03-03,0.194,0.207,0.18,0.18,2012700
2025-02-28,0.225,0.226,0.191,0.192,1893600
2025-02-27,0.261,0.261,0.22,0.227,1624900
2025-02-26,0.25,0.265,0.25,0.253,1551000
2025-02-25,0.288,0.288,0.25,0.25,4027500
2025-02-24,0.291,0.292,0.275,0.285,2446400
2025-02-21,0.271,0.325,0.271,0.291,2780900
2025-02-20,0.295,0.3,0.271,0.279,1373300
2025-02-19,0.3,0.309,0.291,0.299,661900
2025-02-18,0.316,0.32,0.295,0.31,666500
2025-02-14,0.303,0.32,0.3,0.31,797500
2025-02-13,0.287,0.339,0.287,0.317,1420700
2025-02-12,0.31,0.314,0.281,0.308,1158500
2025-02-11,0.289,0.31,0.277,0.309,1270600
2025-02-10,0.294,0.298,0.287,0.293,1149100
2025-02-07,0.313,0.315,0.285,0.295,1508200
2025-02-06,0.321,0.33,0.31,0.312,1287700
2025-02-05,0.301,0.327,0.301,0.327,1141700
2025-02-04,0.301,0.36,0.299,0.325,3046100
2025-02-03,0.31,0.313,0.285,0.31,1377000
2025-01-31,0.318,0.33,0.296,0.317,832300
2025-01-30,0.304,0.33,0.296,0.315,981500
2025-01-29,0.31,0.32,0.287,0.306,1510400
2025-01-28,0.323,0.327,0.307,0.32,962000
2025-01-27,0.331,0.34,0.31,0.325,1888600
2025-01-24,0.32,0.368,0.32,0.35,3941900
2025-01-23,0.299,0.421,0.282,0.33,18163400
2025-01-22,0.34,0.348,0.238,0.299,9496600
2025-01-21,0.44,0.446,0.311,0.34,7308900
2025-01-17,0.469,0.469,0.422,0.438,1362600
