datetime,open,high,low,close,volume
2025-04-01,64.06,64.17,61.43,61.87,1407700
2025-03-31,63.39,64.07,62.6,63.81,1641700
2025-03-28,64.35,64.35,62.72,63.84,1266800
2025-03-27,63.79,64.61,63.38,64.48,830100
2025-03-26,65.03,65.03,63.21,63.82,1283000
2025-03-25,63.9,65.03,63.51,64.84,1421800
2025-03-24,65.69,66.0,62.85,64.02,2400000
2025-03-21,64.32,65.21,63.5,65.16,4001000
2025-03-20,63.91,64.94,63.88,64.32,1637300
2025-03-19,62.59,64.55,62.52,64.3,1371700
2025-03-18,62.62,63.18,62.13,62.54,1226200
2025-03-17,62.46,63.39,60.92,62.95,1587100
2025-03-14,61.22,62.72,61.11,62.27,1042400
2025-03-13,60.77,61.48,60.44,61.06,992100
2025-03-12,61.47,62.03,60.38,60.89,1525300
2025-03-11,61.24,62.39,60.65,61.45,1218100
2025-03-10,60.17,63.11,60.14,61.44,2090900
2025-03-07,59.77,61.49,59.18,60.98,1491700
2025-03-06,59.21,60.31,59.17,60.15,1753300
2025-03-05,58.23,60.07,58.23,59.53,1714500
2025-03-04,57.57,58.66,56.9,58.14,1478500
2025-03-03,59.14,59.9,57.66,57.96,1414500
2025-02-28,57.55,59.16,57.49,59.15,1235600
2025-02-27,57.99,58.97,57.65,57.7,880000
2025-02-26,58.02,58.7,57.45,57.92,1024700
2025-02-25,58.6,58.98,57.5,57.99,1198200
2025-02-24,57.93,59.35,57.49,58.5,1362400
2025-02-21,58.0,58.74,57.32,57.75,1299900
2025-02-20,57.35,57.73,56.07,57.44,1543400
2025-02-19,58.98,60.67,56.77,57.77,2236500
2025-02-18,58.84,58.9,57.61,57.9,1658100
2025-02-14,59.12,59.4,58.12,58.29,1000600
2025-02-13,58.48,58.72,57.79,58.61,883100
2025-02-12,56.71,58.33,56.71,58.11,888200
2025-02-11,57.02,57.39,56.51,57.33,1143500
2025-02-10,57.1,57.78,56.88,57.34,967300
2025-02-07,58.07,58.07,56.94,57.1,1042700
2025-02-06,57.91,58.2,57.46,57.94,1068200
2025-02-05,57.05,57.72,56.6,57.63,1052600
2025-02-04,56.01,56.85,55.93,56.77,716900
2025-02-03,55.12,57.14,54.96,56.28,1136900
2025-01-31,56.34,57.4,56.32,56.64,1385900
2025-01-30,56.3,57.46,56.06,56.42,1058600
2025-01-29,56.03,56.74,55.12,55.83,840900
2025-01-28,55.97,56.82,55.66,56.0,1233900
2025-01-27,55.69,57.25,55.24,55.86,913900
2025-01-24,55.29,56.08,54.98,55.77,731800
2025-01-23,55.22,55.87,54.96,55.63,934700
2025-01-22,55.79,56.0,54.99,55.28,1154600
2025-01-21,55.1,56.39,54.88,55.94,1204200
2025-01-17,55.66,55.73,54.77,54.8,942000
2025-01-16,54.64,55.79,54.64,55.37,1570000
2025-01-15,54.39,55.3,54.05,54.51,1959500
2025-01-14,54.74,54.87,53.26,53.83,1360900
2025-01-13,52.65,54.84,52.23,54.14,2016100
2025-01-10,53.95,53.99,52.66,52.8,2146600
2025-01-08,54.12,55.0,51.91,53.76,2669900
2025-01-07,51.0,51.73,50.36,51.19,1790200
2025-01-06,47.75,50.82,47.75,50.51,1893900
2025-01-03,48.2,48.53,47.52,47.74,993000
2025-01-02,48.23,49.0,47.86,48.01,1210300
2024-12-31,48.2,48.72,47.72,47.81,842700
2024-12-30,48.65,48.8,47.65,47.99,891500
2024-12-27,47.6,48.26,47.56,48.13,946100
