datetime,open,high,low,close,volume
2025-04-01,19.17,20.6,19.16,19.86,39300
2025-03-31,19.25,19.81,18.67,19.43,24500
2025-03-28,19.51,20.11,19.18,19.46,28100
2025-03-27,19.99,20.15,19.54,19.73,15200
2025-03-26,19.0,20.09,18.98,19.79,50300
2025-03-25,20.0,20.0,19.07,19.09,36500
2025-03-24,19.69,20.09,19.61,19.98,17900
2025-03-21,19.46,19.99,19.3,19.69,58400
2025-03-20,20.3,20.3,19.44,19.66,32500
2025-03-19,19.89,20.75,19.62,20.31,31900
2025-03-18,19.38,20.04,19.27,19.87,41800
2025-03-17,18.45,20.15,18.01,19.73,34600
2025-03-14,18.75,19.195,18.41,18.73,55900
2025-03-13,19.59,19.6,18.65,18.83,37200
2025-03-12,19.74,20.46,19.32,19.85,59300
2025-03-11,19.62,19.77,18.5,19.38,46200
2025-03-10,20.64,20.92,19.46,19.62,48700
2025-03-07,20.0,21.2,19.546,20.31,47800
2025-03-06,19.56,19.96,19.06,19.87,38300
2025-03-05,19.95,20.0,19.55,19.69,24300
2025-03-04,19.0,20.41,18.767,19.85,32200
2025-03-03,19.2,19.27,18.82,19.04,33200
2025-02-28,19.75,20.33,18.5,19.49,28200
2025-02-27,18.74,20.37,18.74,20.13,58200
2025-02-26,18.08,19.5,17.19,17.9,38700
2025-02-25,18.09,18.41,18.0,18.06,31300
2025-02-24,17.67,19.1,17.1,18.0,99600
2025-02-21,17.84,17.84,17.36,17.5,24200
2025-02-20,17.0,17.85,16.89,17.65,32000
2025-02-19,16.75,17.66,16.365,17.29,30400
2025-02-18,16.59,16.95,16.43,16.73,34000
2025-02-14,16.7,16.862,16.07,16.54,15300
2025-02-13,16.2,16.52,15.979,16.44,14500
2025-02-12,16.08,16.78,15.84,16.18,24900
2025-02-11,15.48,16.5,15.48,16.32,53100
2025-02-10,16.12,16.12,15.59,15.59,41400
2025-02-07,16.38,16.38,15.99,16.12,18600
2025-02-06,16.88,17.15,16.37,16.63,13100
2025-02-05,16.82,17.034,16.31,16.8,19100
2025-02-04,16.14,16.48,16.07,16.45,15800
2025-02-03,16.65,16.773,16.07,16.21,16700
2025-01-31,17.96,18.0,17.065,17.11,25000
2025-01-30,17.77,18.11,17.525,17.9,27300
2025-01-29,17.74,17.81,17.23,17.79,17900
2025-01-28,17.85,18.01,17.63,17.71,22400
2025-01-27,18.07,18.496,17.837,18.04,31000
2025-01-24,18.05,18.195,17.74,18.02,16500
2025-01-23,17.99,18.215,17.73,18.14,38700
2025-01-22,17.94,18.205,17.58,17.96,53300
2025-01-21,17.56,18.51,17.56,17.94,63500
2025-01-17,17.68,18.22,17.39,17.45,66500
2025-01-16,17.13,18.18,17.045,17.5,89500
2025-01-15,16.26,17.1,15.845,17.07,38000
2025-01-14,15.62,16.0,15.51,15.83,35000
2025-01-13,15.88,16.25,15.365,15.51,28100
2025-01-10,16.14,16.24,15.57,15.97,45200
2025-01-08,16.28,16.49,16.037,16.38,41000
2025-01-07,16.25,16.495,16.14,16.46,37600
2025-01-06,16.59,17.06,16.36,16.36,40200
2025-01-03,16.05,16.81,16.05,16.58,29300
2025-01-02,16.92,16.92,16.15,16.24,60100
2024-12-31,16.75,16.97,16.4,16.83,190000
2024-12-30,16.54,17.022,16.0,16.6,46900
2024-12-27,17.14,17.14,16.55,16.77,44200
2024-12-26,16.2,17.1,16.2,17.07,34200
2024-12-24,16.29,16.38,15.9,16.21,33900
2024-12-23,16.51,16.845,16.31,16.54,23200
2024-12-20,16.12,17.07,16.12,16.56,102000
2024-12-19,16.47,16.775,16.119,16.35,35600
2024-12-18,17.89,18.39,16.48,16.64,55900
2024-12-17,18.09,18.09,17.58,17.83,42200
2024-12-16,18.06,18.459,18.02,18.14,26700
2024-12-13,17.38,18.235,16.71,18.03,76300
2024-12-12,17.7,18.09,16.985,17.64,64600
2024-12-11,18.31,18.345,17.155,17.66,136100
2024-12-10,18.1,18.25,17.71,17.8,52700
2024-12-09,18.99,19.04,18.1,18.26,57400
2024-12-06,19.33,19.85,18.78,18.93,39100
2024-12-05,19.87,20.45,19.23,19.39,46600
2024-12-04,20.28,20.32,19.57,20.07,69500
2024-12-03,19.75,20.21,19.59,20.11,59200
2024-12-02,19.09,20.08,18.54,19.77,63900
2024-11-29,20.11,20.11,19.31,19.37,16700
2024-11-27,19.96,20.0,19.49,19.81,33400
2024-11-26,19.7,20.05,18.62,19.64,50700
2024-11-25,19.89,20.22,19.33,19.64,26400
2024-11-22,19.01,19.99,18.74,19.34,26800
2024-11-21,19.17,19.45,19.11,19.15,21000
2024-11-20,19.62,19.87,19.12,19.39,34900
2024-11-19,19.89,20.219,19.31,19.63,41000
2024-11-18,20.25,21.02,20.14,20.16,35400
2024-11-15,20.66,20.776,20.03,20.25,58400
2024-11-14,20.66,21.47,20.21,20.58,54900
2024-11-13,20.26,20.55,19.605,20.33,92800
2024-11-12,20.88,21.69,20.4,20.41,64800
2024-11-11,21.32,21.38,20.48,21.0,73400
2024-11-08,21.95,22.03,21.3,21.35,60300
2024-11-07,22.25,23.3,22.06,22.07,77700
2024-11-06,21.43,22.91,21.21,22.58,108400
2024-11-05,20.74,21.2,19.51,20.68,173500
2024-11-04,26.07,26.07,20.395,20.81,233800
2024-11-01,27.7,27.95,26.44,26.54,58500
2024-10-31,30.05,30.67,27.59,27.65,52300
2024-10-30,30.03,31.12,29.64,31.01,25300
2024-10-29,29.75,30.03,29.504,30.03,17800
2024-10-28,29.63,30.15,29.51,30.15,33100
2024-10-25,31.67,31.715,29.53,29.59,52500
2024-10-24,30.97,31.25,30.59,31.14,35900
2024-10-23,30.5,30.97,30.035,30.97,32200
2024-10-22,30.38,30.595,30.04,30.53,53300
2024-10-21,31.29,31.475,30.34,30.38,37900
2024-10-18,31.5,31.5,30.77,31.21,29900
2024-10-17,30.89,31.78,30.89,31.36,39200
2024-10-16,30.72,31.11,30.54,31.07,39200
2024-10-15,29.58,30.88,29.58,30.18,39200
2024-10-14,30.7,30.82,29.895,30.13,31800
2024-10-11,30.22,30.908,29.75,30.85,35900
2024-10-10,29.47,30.26,29.08,29.92,25500
2024-10-09,29.49,30.08,28.995,30.06,36800
2024-10-08,29.17,29.32,28.73,29.2,33900
2024-10-07,30.36,30.845,28.62,28.83,35800
2024-10-04,29.52,30.84,28.98,30.32,56600
2024-10-03,29.46,29.56,29.02,29.05,49000
2024-10-02,30.7,31.02,29.87,29.94,61200
2024-10-01,30.55,30.84,30.01,30.53,62400
