datetime,open,high,low,close,volume
2025-04-01,22.24,22.535,22.08,22.32,24600
2025-03-31,22.18,22.7,22.083,22.41,31200
2025-03-28,23.0,23.0,22.22,22.51,14100
2025-03-27,22.52,23.07,22.27,22.92,31500
2025-03-26,22.745,23.218,22.55,22.73,18900
2025-03-25,23.055,23.28,22.82,22.82,20700
2025-03-24,23.1,23.27,22.79,23.04,28600
2025-03-21,22.98,23.03,22.61,22.74,100200
2025-03-20,23.41,23.47,23.162,23.37,16000
2025-03-19,23.14,23.49,23.12,23.435,18800
2025-03-18,23.17,23.24,22.972,23.22,26700
2025-03-17,23.39,23.5,23.0,23.19,17600
2025-03-14,23.03,23.45,23.03,23.39,15100
2025-03-13,23.2,23.34,22.85,22.87,13800
2025-03-12,23.14,23.56,23.07,23.2,51800
2025-03-11,22.77,23.135,22.58,22.84,34000
2025-03-10,23.28,23.598,22.4,22.64,40100
2025-03-07,23.5,23.56,23.12,23.48,17600
2025-03-06,23.3,24.3,23.01,23.64,27400
2025-03-05,23.71,23.82,23.31,23.4,23800
2025-03-04,24.64,24.64,23.44,23.7,61600
2025-03-03,25.0,25.4,24.64,24.87,44100
2025-02-28,24.91,25.18,24.695,25.0,44300
2025-02-27,24.84,24.94,24.58,24.73,18000
2025-02-26,24.64,24.97,24.35,24.94,32700
2025-02-25,24.68,25.0,24.63,24.68,26800
2025-02-24,25.15,25.21,24.5,24.51,22600
2025-02-21,25.54,25.54,24.96,24.98,34000
2025-02-20,25.13,25.45,25.0,25.265,30600
2025-02-19,25.17,25.265,24.97,25.15,28300
2025-02-18,25.26,25.56,25.26,25.4,27000
2025-02-14,25.2,25.46,25.065,25.25,50500
2025-02-13,24.79,25.61,24.355,25.14,91300
2025-02-12,24.92,25.02,24.49,24.53,26200
2025-02-11,24.29,25.25,24.29,25.15,59400
2025-02-10,25.08,25.08,24.46,24.52,26900
2025-02-07,25.61,25.61,24.55,24.92,29800
2025-02-06,25.73,26.25,25.095,25.55,53300
2025-02-05,25.02,25.52,24.73,25.41,60100
2025-02-04,23.75,25.03,23.72,24.89,41100
2025-02-03,23.76,24.7,23.325,24.07,37500
2025-01-31,24.78,24.835,23.93,24.32,79000
2025-01-30,24.81,25.01,24.5,24.86,34600
2025-01-29,24.16,24.735,24.14,24.48,44600
2025-01-28,24.55,24.75,23.915,24.09,30000
2025-01-27,23.39,24.55,23.39,24.55,60500
2025-01-24,22.85,23.46,22.85,23.32,27000
2025-01-23,22.3,23.08,22.08,22.77,29300
2025-01-22,22.28,22.52,22.0,22.37,62100
2025-01-21,22.49,22.78,22.205,22.38,26800
2025-01-17,22.1,22.43,21.74,22.25,28200
2025-01-16,22.3,22.3,21.88,22.01,23500
2025-01-15,22.5,22.68,22.18,22.29,17100
2025-01-14,21.32,21.925,21.32,21.83,19200
2025-01-13,20.52,21.25,20.52,21.21,18800
2025-01-10,21.16,21.16,20.6,20.76,51300
2025-01-08,21.3,21.57,21.155,21.41,26900
2025-01-07,21.8,21.8,21.25,21.5,53000
2025-01-06,21.69,21.835,21.39,21.63,53900
2025-01-03,21.52,21.75,21.23,21.69,23300
2025-01-02,22.15,22.15,21.4,21.5,30700
2024-12-31,22.05,22.07,21.8,21.9,41100
2024-12-30,21.65,21.91,21.51,21.83,16200
2024-12-27,22.0,22.0,21.5,21.68,18800
2024-12-26,22.04,22.18,21.9,22.15,17400
2024-12-24,21.94,22.5,21.865,22.19,16900
2024-12-23,22.19,22.19,21.755,21.99,32200
2024-12-20,21.76,22.5,21.76,22.08,108300
2024-12-19,22.46,23.16,21.884,22.04,30900
2024-12-18,23.41,23.75,21.701,22.24,79900
2024-12-17,23.24,23.24,22.964,23.06,30100
2024-12-16,23.56,23.63,23.205,23.39,17500
2024-12-13,23.67,23.765,23.32,23.45,23100
2024-12-12,23.92,24.15,23.51,23.51,44900
2024-12-11,24.18,24.23,23.739,24.11,75500
2024-12-10,23.725,24.05,23.3,23.91,36700
2024-12-09,23.79,23.81,23.41,23.42,36100
2024-12-06,23.88,23.9,23.335,23.9,19300
2024-12-05,24.11,24.225,23.71,23.9,52800
2024-12-04,23.99,23.99,23.58,23.98,22300
2024-12-03,24.07,24.07,23.55,23.86,21700
2024-12-02,23.88,24.19,23.513,24.03,23700
2024-11-29,23.73,24.01,23.69,23.95,16100
2024-11-27,24.15,24.41,23.85,23.94,32100
2024-11-26,24.76,24.76,24.12,24.12,21500
2024-11-25,24.62,25.1,24.57,24.76,76200
2024-11-22,24.19,24.445,24.07,24.3,34800
2024-11-21,23.62,24.2,23.62,23.88,31700
2024-11-20,21.68,23.77,21.68,23.62,28100
2024-11-19,24.0,24.02,23.623,23.86,39900
2024-11-18,24.39,24.435,24.07,24.1,19600
2024-11-15,24.54,24.54,24.09,24.23,21900
2024-11-14,24.93,24.93,24.04,24.38,25200
2024-11-13,25.17,25.35,24.63,24.63,54600
2024-11-12,24.57,25.18,24.57,24.75,43100
2024-11-11,24.23,24.81,23.885,24.77,26400
2024-11-08,23.85,24.0,23.21,23.86,23100
2024-11-07,24.76,24.76,23.15,23.68,44600
2024-11-06,23.18,24.8,23.04,24.74,78300
2024-11-05,20.98,21.53,20.98,21.52,32100
2024-11-04,21.26,21.305,20.935,21.0,25300
2024-11-01,21.5,21.615,21.13,21.45,28900
2024-10-31,21.78,21.96,21.36,21.36,19200
2024-10-30,21.65,22.24,21.62,21.64,24000
2024-10-29,21.97,22.07,21.69,21.69,21800
2024-10-28,21.675,22.06,21.67,21.98,32300
2024-10-25,21.77,21.77,21.24,21.29,24600
2024-10-24,21.88,21.88,21.497,21.56,51500
2024-10-23,21.72,21.91,21.61,21.87,20000
2024-10-22,21.51,22.045,21.43,21.96,19000
2024-10-21,22.9,23.005,21.28,21.48,33700
2024-10-18,23.23,23.23,22.69,22.78,33500
2024-10-17,23.03,23.14,22.828,23.1,14100
2024-10-16,22.6,23.13,22.6,23.07,23500
2024-10-15,22.29,22.87,21.95,22.46,25700
2024-10-14,22.1,22.33,21.95,22.19,21000
2024-10-11,21.52,22.035,21.52,22.01,22000
2024-10-10,20.99,21.4,20.77,21.09,52800
2024-10-09,21.26,21.315,21.12,21.12,15400
2024-10-08,21.25,21.33,21.14,21.23,21300
2024-10-07,21.3,21.33,21.059,21.13,14000
2024-10-04,21.2,21.31,21.11,21.23,18500
2024-10-03,20.83,20.92,20.65,20.89,19900
2024-10-02,21.17,21.2,20.86,21.01,20500
2024-10-01,21.72,21.745,21.24,21.3,18400
2024-09-30,21.65,22.18,21.65,21.88,39200
2024-09-27,21.78,21.81,21.59,21.63,35900
2024-09-26,21.78,21.78,21.38,21.495,24800
2024-09-25,22.84,23.04,21.485,21.57,46600
2024-09-24,23.0,23.11,22.89,22.98,28500
2024-09-23,23.05,23.11,22.925,23.01,29100
2024-09-20,23.28,23.36,22.995,23.02,125800
2024-09-19,23.39,23.56,23.07,23.55,21600
2024-09-18,22.75,23.62,22.75,22.89,33000
2024-09-17,22.76,23.14,22.43,22.74,38600
2024-09-16,22.18,22.53,21.91,22.53,22100
2024-09-13,21.96,22.26,21.91,22.06,24700
2024-09-12,21.54,21.84,21.45,21.67,17000
2024-09-11,21.56,21.59,21.082,21.38,17200
2024-09-10,21.49,21.77,21.081,21.77,27700
2024-09-09,21.36,21.77,21.3,21.3,18700
2024-09-06,21.85,21.94,21.36,21.36,12700
2024-09-05,21.73,22.01,21.56,21.81,15500
2024-09-04,22.39,22.39,21.84,21.84,12000
2024-09-03,22.27,22.39,22.02,22.38,26600
2024-08-30,22.47,22.47,21.93,22.42,22600
2024-08-29,22.4,22.44,22.01,22.25,40400
2024-08-28,22.29,22.51,22.09,22.11,17600
2024-08-27,22.43,22.45,22.26,22.26,17700
2024-08-26,23.04,23.06,22.58,22.8,52600
2024-08-23,21.68,22.93,21.68,22.73,22300
2024-08-22,21.36,21.57,21.36,21.44,11800
2024-08-21,21.38,21.603,21.38,21.45,26500
2024-08-20,21.383,21.6,21.35,21.39,12000
2024-08-19,21.6,21.76,21.44,21.74,27100
2024-08-16,21.16,21.63,21.16,21.43,76600
2024-08-15,20.91,21.57,20.49,21.16,118500
2024-08-14,20.85,20.91,20.4,20.48,36200
2024-08-13,20.61,20.92,20.17,20.68,19700
2024-08-12,20.51,20.76,20.19,20.25,62200
