datetime,open,high,low,close,volume
2025-04-01,49.34,49.64,49.34,49.46,169500
2025-03-31,49.39,49.64,49.371,49.53,659800
2025-03-28,49.18,49.53,49.11,49.41,232900
2025-03-27,49.33,49.36,49.071,49.18,130500
2025-03-26,49.56,49.82,49.27,49.27,249100
2025-03-25,49.65,49.973,49.54,49.67,154300
2025-03-24,49.81,49.977,49.64,49.68,538000
2025-03-21,49.99,50.0,49.71,49.8,134700
2025-03-20,50.04,50.04,49.86,49.98,174000
2025-03-19,49.705,49.98,49.61,49.84,208200
2025-03-18,49.73,49.95,49.73,49.94,132400
2025-03-17,49.65,49.94,49.565,49.69,135000
2025-03-14,49.82,49.91,49.7,49.71,65000
2025-03-13,49.82,50.0,49.6,49.72,111200
2025-03-12,50.49,50.49,49.77,49.931,167100
2025-03-11,50.27,50.46,50.09,50.09,369200
2025-03-10,50.16,50.488,50.16,50.18,207000
2025-03-07,50.3,50.34,50.01,50.3,249800
2025-03-06,50.56,50.56,50.186,50.27,212800
2025-03-05,50.64,50.64,50.27,50.31,386700
2025-03-04,50.68,50.68,50.28,50.48,221800
2025-03-03,50.47,50.72,50.47,50.623,235800
2025-02-28,50.49,50.8,50.49,50.72,472200
2025-02-27,50.46,50.96,50.46,50.67,5841000
2025-02-26,50.4,50.517,50.33,50.37,60400
2025-02-25,50.41,50.59,50.36,50.455,462100
2025-02-24,50.19,50.4,50.16,50.335,96900
2025-02-21,50.11,50.438,50.0,50.335,181700
2025-02-20,50.02,50.02,49.875,50.014,66200
2025-02-19,50.02,50.06,49.74,49.945,79100
2025-02-18,50.06,50.15,49.95,49.96,74200
2025-02-14,49.97,50.1,49.782,49.9,219900
2025-02-13,49.68,49.99,49.61,49.66,175600
2025-02-12,49.89,50.1,49.7,49.85,152100
2025-02-11,50.38,50.38,49.7,50.07,193700
2025-02-10,50.21,50.47,50.2,50.38,29100
