datetime,open,high,low,close,volume
2025-04-01,25.4,25.57,24.49,24.83,246100
2025-03-31,25.22,25.891,25.22,25.56,314200
2025-03-28,25.88,26.0,25.25,25.99,214700
2025-03-27,26.52,26.52,25.48,25.81,143800
2025-03-26,27.64,28.1,26.28,26.57,88200
2025-03-25,27.55,27.99,27.355,27.65,107300
2025-03-24,27.19,27.915,27.07,27.47,125300
2025-03-21,25.58,26.46,25.58,26.45,247800
2025-03-20,25.87,27.129,25.87,26.28,100400
2025-03-19,26.06,26.56,25.56,26.47,187600
2025-03-18,27.5,27.5,25.86,26.2,128600
2025-03-17,26.39,27.89,26.39,27.84,165000
2025-03-14,27.49,27.7,26.49,26.8,138900
2025-03-13,27.78,27.825,26.715,26.96,136800
2025-03-12,28.0,28.453,27.138,27.98,229400
2025-03-11,27.09,27.99,26.75,27.62,228800
2025-03-10,29.12,29.23,26.13,26.9,349000
2025-03-07,30.28,30.95,28.35,30.2,381700
2025-03-06,31.76,35.44,30.0,30.28,946500
2025-03-05,29.21,29.66,28.63,29.59,182000
2025-03-04,27.72,29.81,27.52,29.21,189800
2025-03-03,28.81,29.78,28.5,28.64,203600
2025-02-28,27.99,29.14,27.99,28.73,115000
2025-02-27,28.07,28.98,27.8,27.99,111100
2025-02-26,26.83,28.08,26.719,27.87,128400
2025-02-25,27.24,27.66,26.465,27.03,148700
2025-02-24,27.07,28.15,26.57,27.33,129600
2025-02-21,28.77,28.77,26.98,27.09,202400
2025-02-20,29.8,29.815,28.09,28.29,176500
2025-02-19,29.79,30.191,28.84,30.12,114600
2025-02-18,30.11,30.88,29.9,29.99,99600
2025-02-14,31.43,31.43,29.97,30.11,74800
2025-02-13,30.38,31.2,30.0,30.91,117900
2025-02-12,30.15,30.46,28.913,30.19,220000
2025-02-11,30.64,31.13,30.11,30.76,117600
2025-02-10,32.26,32.47,30.79,30.96,153200
2025-02-07,31.0,31.56,30.7,31.17,178500
2025-02-06,31.16,32.0,30.332,31.22,273900
2025-02-05,30.82,31.19,29.89,30.84,189500
2025-02-04,28.21,30.37,28.21,30.2,313800
2025-02-03,26.79,27.54,25.81,27.28,133900
2025-01-31,27.6,28.39,27.53,28.0,147700
2025-01-30,28.01,28.59,27.58,27.68,95900
2025-01-29,27.27,27.71,26.81,27.61,115500
2025-01-28,26.91,27.39,26.49,27.36,108800
2025-01-27,25.45,27.29,25.33,26.85,161200
