datetime,open,high,low,close,volume
2025-04-01,0.666,0.74,0.651,0.694,1295600
2025-03-31,0.66,0.68,0.62,0.662,592500
2025-03-28,0.68,0.75,0.675,0.68,595500
2025-03-27,0.733,0.79,0.67,0.686,935000
2025-03-26,0.76,0.95,0.76,0.775,3317700
2025-03-25,0.62,0.818,0.616,0.77,2877500
2025-03-24,0.67,0.679,0.59,0.64,2830200
2025-03-21,0.688,0.695,0.637,0.656,1227600
2025-03-20,0.691,0.72,0.643,0.7,1346600
2025-03-19,0.68,0.82,0.68,0.723,3424800
2025-03-18,0.76,0.8,0.676,0.678,2319700
2025-03-17,0.791,1.03,0.667,0.829,8302700
2025-03-14,1.07,1.08,0.786,0.816,6002700
2025-03-13,1.23,1.45,1.02,1.1,7598200
2025-03-12,7.5,7.5,1.04,1.32,15842649
2025-03-11,7.22,7.59,7.22,7.46,402500
2025-03-10,7.16,7.5,7.13,7.23,857200
2025-03-07,7.16,7.33,7.13,7.15,603600
2025-03-06,7.4,7.4,6.98,7.15,1069400
2025-03-05,7.37,7.52,7.1,7.4,832400
2025-03-04,6.7,7.58,6.46,7.37,2990300
2025-03-03,6.57,6.815,6.43,6.62,3500900
2025-02-28,6.89,7.11,6.814,7.05,5533200
2025-02-27,7.298,7.298,6.88,6.97,749500
2025-02-26,6.93,7.119,6.905,6.95,4308900
2025-02-25,6.69,6.875,6.6,6.87,1958000
2025-02-24,6.52,6.75,6.01,6.69,3043100
2025-02-21,6.69,6.78,6.52,6.62,3184000
2025-02-20,6.61,6.795,6.32,6.73,837700
2025-02-19,6.54,6.7,6.394,6.63,433700
2025-02-18,6.01,6.41,6.0,6.37,534100
2025-02-14,5.96,6.26,5.9,5.97,2914900
2025-02-13,5.94,6.03,5.58,5.94,2231600
2025-02-12,5.74,6.08,5.651,5.97,1694700
2025-02-11,5.81,5.99,5.72,5.76,749900
2025-02-10,5.5,5.83,5.32,5.81,1390000
2025-02-07,5.4,5.6,5.366,5.56,673200
2025-02-06,5.55,5.615,5.06,5.31,4796100
2025-02-05,5.09,5.445,5.02,5.44,90300
2025-02-04,5.26,5.43,4.961,5.12,1550400
2025-02-03,5.5,5.52,5.21,5.36,1165000
2025-01-31,6.05,6.21,5.52,5.52,113700
2025-01-30,5.75,6.75,5.61,6.18,1162600
2025-01-29,5.56,5.855,5.34,5.82,335000
2025-01-28,5.42,5.605,5.31,5.57,215600
2025-01-27,5.14,5.51,5.07,5.42,913300
2025-01-24,5.248,5.71,4.915,5.16,1155800
2025-01-23,5.66,5.66,5.02,5.15,316600
2025-01-22,6.1,6.19,5.67,5.74,989300
2025-01-21,5.69,6.229,5.62,6.09,1817600
2025-01-17,5.64,5.79,5.52,5.76,1600300
2025-01-16,5.66,5.82,5.526,5.68,575100
2025-01-15,5.61,5.7,5.42,5.7,395900
2025-01-14,5.34,5.65,5.19,5.59,380500
2025-01-13,5.25,5.45,5.05,5.42,372300
2025-01-10,5.4,5.8,5.03,5.19,2299400
2025-01-08,5.18,5.5,5.12,5.48,837300
2025-01-07,5.16,5.37,4.9,5.18,701300
2025-01-06,5.44,5.65,5.12,5.12,621800
2025-01-03,5.44,5.5,5.16,5.34,566800
2025-01-02,5.49,5.6,4.9,5.22,604400
2024-12-31,5.5,5.543,5.22,5.355,39000
2024-12-30,5.48,5.61,5.3,5.36,53700
2024-12-27,5.36,5.77,5.21,5.46,44600
2024-12-26,5.85,5.85,5.21,5.28,97000
2024-12-24,4.92,5.91,4.82,5.5,323800
2024-12-23,5.25,7.12,4.91,5.1,1248400
