datetime,open,high,low,close,volume
2025-03-31,0.184,0.2042,0.184,0.2041,1000
2025-03-26,0.1812,0.2,0.1812,0.2,7049
2025-03-19,0.184,0.1918,0.184,0.1918,101
2025-03-18,0.19,0.19,0.19,0.19,21250
2025-03-17,0.24,0.24,0.2,0.2,2388
2025-03-13,0.245,0.245,0.245,0.245,5
2025-03-10,0.245,0.245,0.245,0.245,500
2025-03-05,0.24,0.24,0.24,0.24,10
2025-02-28,0.2118,0.215,0.2118,0.215,38
2025-02-27,0.2,0.2,0.2,0.2,1800
2025-02-25,0.206,0.206,0.2,0.2,500
2025-02-21,0.2,0.2,0.1999,0.1999,200
2025-02-13,0.19,0.19,0.19,0.19,170
2025-02-11,0.2,0.2,0.2,0.2,10702
2025-02-10,0.204,0.204,0.2,0.2,683675
2025-02-07,0.2,0.202,0.2,0.2,102800
2025-02-06,0.2,0.22,0.2,0.2,1510455
