datetime,open,high,low,close,volume
2025-04-01,1.83,2.025,1.83,1.97,34900
2025-03-31,2.01,2.01,1.86,1.89,19000
2025-03-28,2.14,2.32,2.01,2.02,23000
2025-03-27,2.26,2.26,2.16,2.19,55800
2025-03-26,2.42,2.42,2.22,2.33,30900
2025-03-25,2.63,2.765,2.39,2.39,17800
2025-03-24,2.85,2.85,2.62,2.62,30800
2025-03-21,2.82,2.958,2.76,2.85,29500
2025-03-20,2.99,2.99,2.83,2.89,4100
2025-03-19,3.1,3.12,2.9,2.94,31200
2025-03-18,3.05,3.069,2.98,3.0,24000
2025-03-17,3.36,3.505,2.93,3.1,36100
2025-03-14,3.4,3.623,3.28,3.42,22800
2025-03-13,3.24,3.62,3.24,3.45,40000
2025-03-12,3.41,3.41,3.19,3.3,13600
2025-03-11,3.54,3.54,3.2,3.43,37200
2025-03-10,3.484,3.57,3.36,3.36,13400
2025-03-07,3.51,3.51,3.2,3.38,22000
2025-03-06,3.61,3.78,3.44,3.44,38500
2025-03-05,4.6,4.65,3.49,3.63,100700
2025-03-04,4.555,4.752,4.19,4.59,54200
2025-03-03,5.0,5.34,4.65,4.65,40700
2025-02-28,5.1,5.11,4.9,4.95,40500
2025-02-27,5.2,5.307,5.1,5.1,25800
2025-02-26,5.47,5.47,5.21,5.21,18900
2025-02-25,5.66,5.66,5.371,5.39,18800
2025-02-24,5.75,5.799,5.671,5.71,18800
2025-02-21,5.84,6.08,5.702,5.79,15800
2025-02-20,6.445,6.445,5.85,5.85,27900
2025-02-19,6.47,6.61,6.36,6.38,17100
2025-02-18,6.23,6.6,6.23,6.54,35400
2025-02-14,6.17,6.859,6.1,6.19,57500
2025-02-13,5.4,6.89,5.39,6.4,94900
2025-02-12,5.5,5.63,5.3,5.4,12490
2025-02-11,5.8,5.8,5.7,5.7,31320
2025-02-10,5.07,6.0,4.9,5.9,56410
2025-02-07,6.3,6.53,6.08,6.24,5200
2025-02-06,6.53,6.53,6.28,6.45,1710
2025-02-05,6.5,6.56,6.0,6.48,7910
2025-02-04,6.3,6.47,6.0,6.33,3690
2025-02-03,6.5,6.5,6.05,6.5,4100
2025-01-31,5.99,6.57,5.8,6.5,8040
2025-01-30,6.5,6.5,5.94,6.0,5920
2025-01-29,6.1,6.3,6.05,6.3,2400
2025-01-28,6.3,6.61,6.26,6.44,2980
2025-01-27,6.36,6.47,6.0,6.36,5570
2025-01-24,6.45,6.65,6.23,6.36,5490
2025-01-23,6.25,6.5,6.16,6.44,6410
2025-01-22,6.06,6.13,5.91,6.13,6640
2025-01-21,5.86,6.1,5.78,6.03,5870
2025-01-17,5.89,5.89,5.5,5.76,7120
2025-01-16,6.0,6.0,5.8,5.88,4460
2025-01-15,5.7,5.89,5.7,5.88,3000
2025-01-14,5.92,6.0,5.6,5.69,8110
2025-01-13,6.83,6.83,5.87,5.88,10980
2025-01-10,6.6,6.89,5.87,6.22,21330
2025-01-08,7.04,7.05,6.52,6.52,13180
2025-01-07,6.7,7.5,6.51,7.0,12880
2025-01-06,6.68,7.1,6.62,6.62,7970
2025-01-03,6.3,6.85,6.3,6.73,13100
2025-01-02,5.8,6.3,5.7,6.2,8120
2024-12-31,5.71,5.9,5.7,5.8,20620
2024-12-30,6.0,6.1,5.56,5.76,26010
2024-12-27,6.2,6.35,5.88,6.19,19750
2024-12-26,5.99,6.31,5.85,6.14,14620
2024-12-24,6.04,6.15,5.9,5.97,8050
2024-12-23,5.95,6.2,5.9,6.15,4870
2024-12-20,5.9,6.14,5.9,6.05,10670
2024-12-19,6.21,6.4,5.9,6.12,8650
2024-12-18,6.15,6.5,5.81,6.15,20380
2024-12-17,6.4,6.49,6.03,6.2,14170
2024-12-16,7.0,7.1,6.3,6.5,19140
2024-12-13,6.9,7.1,6.8,7.0,8980
2024-12-12,6.99,6.99,6.71,6.81,2010
2024-12-11,7.0,7.0,6.7,6.9,7180
2024-12-10,7.0,7.1,6.8,6.98,16760
2024-12-09,6.99,7.01,6.75,6.84,23650
2024-12-06,6.89,7.05,6.57,6.69,13420
2024-12-05,7.26,7.26,6.8,6.91,17180
2024-12-04,7.36,7.6,7.25,7.26,7040
2024-12-03,7.7,7.98,7.4,7.49,17210
2024-12-02,7.99,8.2,7.6,7.85,12960
2024-11-29,8.36,8.36,8.01,8.16,4100
2024-11-27,8.1,8.55,7.71,8.25,21010
2024-11-26,8.3,8.3,7.75,8.1,26730
2024-11-25,7.44,8.18,6.99,8.13,39220
2024-11-22,6.2,7.4,6.2,7.26,45470
2024-11-21,6.1,6.65,6.1,6.39,26770
2024-11-20,4.98,6.18,4.98,6.1,30090
2024-11-19,5.28,5.37,5.07,5.13,15060
2024-11-18,5.29,5.38,5.01,5.16,10970
2024-11-15,5.11,5.47,4.98,5.28,21220
2024-11-14,5.3,5.98,5.16,5.23,12610
2024-11-13,5.61,5.77,5.3,5.3,12230
2024-11-12,5.54,6.2,5.54,5.72,8190
2024-11-11,5.56,5.8,5.5,5.61,6830
2024-11-08,5.72,5.87,5.54,5.59,7030
2024-11-07,5.61,6.2,5.61,5.81,5380
2024-11-06,6.05,6.14,5.51,5.88,39780
2024-11-05,6.3,6.5,6.1,6.15,5550
2024-11-04,6.43,6.48,6.03,6.27,6490
2024-11-01,6.6,6.85,6.04,6.11,31790
2024-10-31,6.6,6.85,6.6,6.77,4970
2024-10-30,6.7,6.9,6.6,6.61,18520
2024-10-29,6.7,6.97,6.7,6.76,7690
2024-10-28,6.7,6.99,6.7,6.8,6510
2024-10-25,6.7,6.8,6.7,6.7,5500
2024-10-24,6.81,6.99,6.8,6.83,2930
2024-10-23,6.89,6.99,6.72,6.93,7720
2024-10-22,6.6,6.87,6.6,6.81,8180
2024-10-21,6.6,6.66,6.6,6.6,3200
2024-10-18,6.73,6.73,6.48,6.51,11520
2024-10-17,6.9,6.9,6.57,6.69,13600
2024-10-16,6.7,6.89,6.62,6.8,10140
2024-10-15,6.72,6.88,6.71,6.74,9680
2024-10-14,6.7,6.98,6.67,6.72,8340
2024-10-11,6.6,6.89,6.5,6.75,21360
2024-10-10,6.6,6.9,6.5,6.6,19060
2024-10-09,6.6,6.8,6.51,6.6,9750
2024-10-08,6.7,6.8,6.51,6.57,6380
2024-10-07,6.81,6.89,6.6,6.79,8930
2024-10-04,6.72,6.9,6.63,6.82,10320
2024-10-03,6.87,6.96,6.61,6.62,14370
2024-10-02,6.88,7.1,6.8,6.9,22790
2024-10-01,6.9,6.9,6.5,6.7,2150
2024-09-30,6.75,6.9,6.75,6.89,2900
2024-09-27,6.7,6.77,6.52,6.74,5440
2024-09-26,6.6,6.86,6.51,6.68,7670
2024-09-25,6.5,6.8,6.34,6.5,16690
2024-09-24,6.5,6.8,6.31,6.49,17080
2024-09-23,6.42,6.59,6.42,6.57,10000
2024-09-20,6.52,7.09,6.51,6.54,25830
2024-09-19,6.9,7.17,6.5,6.66,33090
2024-09-18,7.0,7.12,6.8,6.9,24360
2024-09-17,7.22,7.22,6.96,7.0,41930
2024-09-16,6.9,7.3,6.8,7.21,41220
2024-09-13,7.06,7.14,6.91,7.0,17420
2024-09-12,6.87,7.13,6.67,6.91,32310
2024-09-11,6.78,7.0,6.7,6.9,28720
2024-09-10,6.4,6.85,6.31,6.8,25150
2024-09-09,6.0,6.49,5.9,6.4,22010
2024-09-06,5.98,6.28,5.82,6.1,34160
2024-09-05,6.26,6.29,5.7,6.0,18550
2024-09-04,5.13,6.27,5.08,6.01,74840
2024-09-03,4.7,5.3,4.4,5.08,182160
2024-08-30,4.6,4.9,4.3,4.36,31460
2024-08-29,4.71,5.0,4.5,4.62,18180
2024-08-28,5.3,5.46,4.79,4.79,38430
2024-08-27,5.4,5.79,5.0,5.09,22280
2024-08-26,5.7,5.8,5.51,5.51,5040
2024-08-23,5.52,5.8,5.52,5.64,4170
2024-08-22,5.69,5.72,5.51,5.51,7060
2024-08-21,5.4,5.78,5.4,5.55,3400
2024-08-20,5.6,5.8,5.4,5.45,6850
2024-08-19,5.5,5.72,5.5,5.56,4180
2024-08-16,5.4,5.75,5.4,5.54,10890
2024-08-15,5.66,5.72,5.42,5.48,21070
2024-08-14,5.43,5.65,5.43,5.54,15050
2024-08-13,5.22,5.56,5.2,5.33,11850
2024-08-12,5.4,5.5,5.1,5.15,10180
2024-08-09,5.7,5.7,5.4,5.43,9220
2024-08-08,6.5,6.5,5.31,5.41,18850
