datetime,open,high,low,close,volume
2025-04-01,1.36,1.36,0.69,0.82,38454900
2025-03-31,1.22,1.35,0.82,0.87,1334200
2025-03-28,2.12,2.25,1.4,1.52,844200
2025-03-27,2.5,2.61,2.231,2.28,2505000
2025-03-26,3.25,3.74,1.9,2.2,1828800
2025-03-25,3.6,4.1,3.2,3.3,2797900
2025-03-24,3.831,4.5,3.07,3.6,7072400
2025-03-21,3.16,6.17,2.89,4.96,142233100
2025-03-20,0.53,2.48,0.53,2.08,30679600
2025-03-19,0.534,0.56,0.508,0.53,24300
2025-03-18,0.64,0.689,0.558,0.57,46600
2025-03-17,0.71,0.71,0.61,0.61,20600
2025-03-14,0.666,0.675,0.6,0.6,17300
2025-03-13,0.702,0.702,0.586,0.67,23800
2025-03-12,1.32,1.32,0.52,0.664,191000
2025-03-11,0.95,1.04,0.747,0.85,60800
2025-03-10,0.96,1.25,0.85,0.857,34700
2025-03-07,1.25,1.341,0.832,0.93,42000
2025-03-06,1.15,1.25,1.15,1.21,5900
2025-03-05,1.49,1.55,1.18,1.18,27800
2025-03-04,1.42,1.455,1.42,1.44,9000
2025-03-03,1.48,1.5,1.35,1.44,13400
2025-02-28,1.54,1.66,1.45,1.58,13700
2025-02-27,1.8,1.87,1.52,1.54,22800
2025-02-26,1.94,1.94,1.33,1.9,37900
2025-02-25,2.11,2.11,1.76,1.85,18400
2025-02-24,2.13,2.2,1.89,2.12,13300
2025-02-21,2.13,2.14,1.853,2.12,13000
2025-02-20,2.0,2.14,1.89,2.0,8300
2025-02-19,2.015,2.015,1.88,2.0,4600
2025-02-18,2.03,2.19,1.71,2.02,28200
2025-02-14,2.12,2.15,2.05,2.08,8600
2025-02-13,2.11,2.19,1.975,2.15,26500
2025-02-12,2.15,2.29,1.89,2.24,33400
2025-02-11,1.924,2.18,1.87,1.9,15500
2025-02-10,2.39,2.39,2.04,2.18,24400
2025-02-07,1.9,2.28,1.9,2.28,31200
2025-02-06,2.0,2.1,1.84,1.89,34600
2025-02-05,2.0,2.12,1.77,1.925,46500
2025-02-04,1.7,1.98,1.69,1.965,26000
2025-02-03,2.12,2.12,1.499,1.53,34600
2025-01-31,1.85,2.15,1.67,1.75,20100
2025-01-30,2.11,2.11,1.78,1.854,10000
2025-01-29,1.865,2.0,1.71,1.98,42700
2025-01-28,1.71,1.77,1.68,1.7,10500
2025-01-27,2.18,2.18,1.59,1.79,24200
2025-01-24,1.58,1.785,1.501,1.769,17100
2025-01-23,1.6,1.6,1.48,1.57,25800
2025-01-22,1.509,1.651,1.5,1.56,9000
2025-01-21,1.537,1.71,1.45,1.48,19900
2025-01-17,1.69,1.88,1.49,1.56,34900
2025-01-16,1.79,1.849,1.61,1.61,5600
2025-01-15,1.5,1.67,1.5,1.63,13500
2025-01-14,1.77,1.77,1.536,1.657,8200
2025-01-13,1.61,1.85,1.61,1.78,11400
2025-01-10,1.78,1.85,1.6,1.6,6700
2025-01-08,2.02,2.116,1.8,1.8,10400
2025-01-07,1.96,2.15,1.801,1.85,33300
2025-01-06,2.1,2.16,1.83,1.93,49300
2025-01-03,1.56,1.92,1.55,1.73,32800
2025-01-02,1.56,1.68,1.5,1.54,18100
2024-12-31,1.65,1.677,1.37,1.45,14000
2024-12-30,1.66,1.66,1.36,1.5,18200
2024-12-27,1.53,1.826,1.43,1.439,39800
