datetime,open,high,low,close,volume
2025-04-01,16.35,16.38,14.395,14.77,2680700
2025-03-31,17.0,17.0,15.94,16.38,1845800
2025-03-28,17.41,17.41,16.88,17.05,554100
2025-03-27,17.52,17.975,17.09,17.43,923400
2025-03-26,18.24,18.24,17.05,17.44,773100
2025-03-25,18.54,18.56,17.736,18.01,937200
2025-03-24,18.6,18.895,18.18,18.59,721600
2025-03-21,18.21,18.71,18.0,18.39,1881700
2025-03-20,18.0,19.08,18.0,18.44,849800
2025-03-19,18.42,18.69,18.05,18.21,798400
2025-03-18,18.82,19.015,18.3,18.47,520300
2025-03-17,18.55,19.32,18.44,19.13,587500
2025-03-14,19.0,19.45,18.47,18.58,879200
2025-03-13,18.55,19.59,18.49,18.96,962900
2025-03-12,18.73,19.09,18.12,18.6,1425200
2025-03-11,17.49,18.53,16.95,18.51,956200
2025-03-10,18.19,18.41,17.32,17.54,903400
2025-03-07,19.56,19.67,18.38,18.46,830300
2025-03-06,19.51,19.635,18.91,19.07,766300
2025-03-05,18.82,19.51,18.64,19.39,728400
2025-03-04,18.85,19.05,18.2,18.79,1214400
2025-03-03,21.09,21.09,18.93,19.13,812400
2025-02-28,20.2,20.59,19.95,20.57,1143000
2025-02-27,20.7,21.3,20.2,20.24,629800
2025-02-26,20.86,21.37,20.485,20.75,548500
2025-02-25,21.51,21.51,20.46,20.85,981800
2025-02-24,21.87,22.01,21.03,21.31,829700
2025-02-21,22.42,22.42,21.39,21.85,1020300
2025-02-20,20.74,21.975,20.69,21.73,1172900
2025-02-19,20.29,20.72,19.96,20.66,866000
2025-02-18,21.0,21.654,20.39,20.44,1046800
2025-02-14,20.89,21.475,20.63,21.0,1428200
2025-02-13,21.34,21.86,20.66,20.76,1261800
2025-02-12,21.03,21.96,20.917,21.95,581100
2025-02-11,22.27,22.27,21.1,21.38,959900
2025-02-10,22.95,23.275,22.38,22.42,1434400
2025-02-07,24.0,24.28,22.95,23.0,480300
2025-02-06,25.11,25.25,23.95,23.96,520200
2025-02-05,24.6,25.59,24.455,25.1,673100
2025-02-04,23.61,24.31,23.31,24.11,570300
2025-02-03,23.98,24.29,23.29,23.64,571700
2025-01-31,23.89,24.97,23.88,24.35,981600
2025-01-30,24.16,24.66,23.475,23.88,1117900
2025-01-29,23.61,24.88,23.51,23.94,668200
2025-01-28,23.86,24.27,23.345,23.86,1095100
2025-01-27,23.65,24.73,23.42,23.8,1324600
2025-01-24,23.16,24.18,22.92,23.62,1669600
2025-01-23,22.81,23.94,22.74,23.29,887300
2025-01-22,23.15,23.75,23.035,23.14,599300
2025-01-21,22.41,23.3,22.22,23.15,968000
2025-01-17,22.94,23.04,22.1,22.18,528200
2025-01-16,23.26,23.26,22.35,22.72,565400
2025-01-15,23.37,24.055,23.081,23.26,565900
2025-01-14,23.19,23.515,22.165,22.74,1142400
2025-01-13,23.82,23.82,22.325,22.97,652300
2025-01-10,24.14,24.85,23.98,24.03,648000
2025-01-08,25.2,25.51,24.78,24.85,845800
2025-01-07,25.73,26.07,25.08,25.42,869300
2025-01-06,26.13,26.44,25.66,25.69,645400
2025-01-03,25.27,26.11,25.27,26.0,1536000
2025-01-02,26.06,26.23,24.84,25.16,659800
2024-12-31,25.21,26.0,24.6,25.7,682200
2024-12-30,24.76,25.08,24.2,24.93,790500
2024-12-27,25.69,26.22,24.82,25.16,566700
2024-12-26,25.09,26.0,24.96,25.86,387900
2024-12-24,25.5,26.0,24.97,25.3,1451600
2024-12-23,25.49,25.85,25.09,25.38,932800
2024-12-20,24.57,26.49,24.51,25.61,2021000
2024-12-19,25.65,25.68,24.475,24.79,1018100
2024-12-18,26.26,27.15,25.175,25.59,1291000
2024-12-17,25.89,26.86,25.89,26.33,904700
2024-12-16,25.28,26.12,25.05,26.05,730700
2024-12-13,25.69,25.83,24.715,25.19,763300
2024-12-12,27.13,27.33,25.44,25.78,591600
2024-12-11,28.3,28.3,26.99,27.19,699600
2024-12-10,27.46,28.22,27.21,27.77,747500
2024-12-09,27.66,28.182,27.41,27.73,650000
2024-12-06,26.56,28.0,26.56,27.79,558000
2024-12-05,28.56,28.56,26.31,26.37,815900
2024-12-04,26.56,28.65,26.4,28.35,1262200
2024-12-03,27.29,27.63,26.54,26.66,538500
2024-12-02,27.16,27.82,27.06,27.45,936400
2024-11-29,26.99,27.59,26.85,27.36,402300
2024-11-27,26.79,27.12,26.29,26.99,1336900
2024-11-26,26.45,27.37,26.02,26.78,1901700
2024-11-25,27.14,27.73,26.28,26.54,1504400
