datetime,open,high,low,close,volume
2025-04-01,5.42,5.59,5.3,5.36,92800
2025-03-31,5.45,5.52,5.26,5.38,131500
2025-03-28,6.06,6.06,5.44,5.47,64500
2025-03-27,6.03,6.11,5.99,6.06,76100
2025-03-26,6.1,6.19,5.95,6.04,114200
2025-03-25,6.04,6.22,5.96,6.15,96900
2025-03-24,5.93,6.1,5.81,6.07,117600
2025-03-21,5.57,5.84,5.56,5.83,226000
2025-03-20,5.69,5.78,5.55,5.65,65300
2025-03-19,5.79,5.8,5.67,5.72,68400
2025-03-18,5.72,5.85,5.63,5.8,83600
2025-03-17,5.48,5.87,5.47,5.75,186300
2025-03-14,5.46,5.75,5.46,5.55,115900
2025-03-13,5.69,5.74,5.37,5.46,122400
2025-03-12,5.62,5.74,5.49,5.69,146200
2025-03-11,5.69,5.69,5.45,5.57,209800
2025-03-10,5.99,6.11,5.29,5.64,351200
2025-03-07,6.16,6.23,6.03,6.11,193500
2025-03-06,6.15,6.37,6.1,6.25,172400
2025-03-05,6.59,6.59,6.18,6.23,186100
2025-03-04,6.65,6.8,6.3,6.47,235000
2025-03-03,7.95,7.97,7.24,7.26,112100
2025-02-28,7.79,8.0,7.7,7.98,131600
2025-02-27,7.87,7.97,7.6,7.79,80400
2025-02-26,7.82,7.96,7.63,7.91,68000
2025-02-25,7.48,7.88,7.41,7.82,89100
2025-02-24,7.63,7.63,7.43,7.56,115600
2025-02-21,8.22,8.28,7.62,7.65,58900
2025-02-20,8.45,8.51,8.11,8.15,76900
2025-02-19,8.62,8.82,8.45,8.56,68800
2025-02-18,8.03,8.88,8.03,8.79,194700
2025-02-14,8.04,8.12,7.91,8.12,80900
2025-02-13,8.03,8.08,7.84,8.0,69900
2025-02-12,8.02,8.12,7.93,8.03,58100
2025-02-11,8.08,8.33,7.97,8.19,465300
2025-02-10,7.92,8.16,7.77,8.12,145500
2025-02-07,8.0,8.05,7.73,7.82,58300
2025-02-06,8.22,8.29,8.0,8.05,61000
2025-02-05,8.11,8.31,8.08,8.19,99600
2025-02-04,8.08,8.18,8.02,8.14,81400
2025-02-03,8.11,8.22,7.97,8.09,132100
2025-01-31,8.24,8.24,8.04,8.09,102700
2025-01-30,8.38,8.38,7.99,8.15,77900
2025-01-29,8.39,8.56,8.2,8.31,100900
2025-01-28,8.25,8.38,8.13,8.35,108200
2025-01-27,8.21,8.4,8.14,8.27,114100
2025-01-24,8.11,8.22,7.96,8.12,154000
2025-01-23,7.98,8.25,7.98,8.07,185600
2025-01-22,8.2,8.2,8.01,8.04,71900
2025-01-21,8.0,8.31,8.0,8.23,128300
