datetime,open,high,low,close,volume
2025-04-01,1.63,1.64,1.5,1.5,1177600
2025-03-31,1.7,1.7,1.6,1.63,992300
2025-03-28,1.76,1.77,1.68,1.73,634200
2025-03-27,1.76,1.78,1.71,1.76,691700
2025-03-26,1.82,1.84,1.72,1.75,713100
2025-03-25,1.9,1.91,1.77,1.81,1030700
2025-03-24,1.95,1.97,1.87,1.88,958500
2025-03-21,1.93,1.98,1.88,1.92,2021200
2025-03-20,1.96,2.01,1.92,1.94,706000
2025-03-19,2.09,2.13,1.92,1.96,1013800
2025-03-18,2.11,2.13,1.99,2.1,625100
2025-03-17,2.1,2.18,2.03,2.11,619100
2025-03-14,1.98,2.04,1.95,2.03,547100
2025-03-13,2.01,2.07,1.91,1.93,431000
2025-03-12,1.98,2.08,1.95,2.05,385200
2025-03-11,1.95,1.99,1.91,1.95,447700
2025-03-10,1.91,1.98,1.9,1.95,688100
2025-03-07,1.94,1.97,1.88,1.95,436300
2025-03-06,1.95,2.0,1.9,1.96,463500
2025-03-05,1.95,2.0,1.91,1.97,420800
2025-03-04,1.83,1.96,1.8,1.95,639200
2025-03-03,1.98,2.0,1.84,1.84,579300
2025-02-28,1.92,2.03,1.85,1.98,541800
2025-02-27,1.98,2.1,1.94,1.94,573100
2025-02-26,1.98,2.06,1.9,1.98,573200
2025-02-25,2.05,2.05,1.9,1.98,617900
2025-02-24,2.27,2.27,2.01,2.02,842500
2025-02-21,2.22,2.33,2.17,2.24,1396200
2025-02-20,2.22,2.22,2.14,2.22,632900
2025-02-19,2.17,2.3,2.12,2.22,798300
2025-02-18,2.16,2.31,2.12,2.19,1062300
2025-02-14,2.15,2.24,2.12,2.15,993200
2025-02-13,2.14,2.16,2.05,2.13,737300
2025-02-12,1.9,2.13,1.88,2.13,916300
2025-02-11,1.92,1.92,1.82,1.9,488200
2025-02-10,1.96,1.97,1.85,1.92,721200
2025-02-07,2.0,2.04,1.91,1.96,502400
2025-02-06,2.04,2.06,1.93,2.0,526900
2025-02-05,1.98,2.05,1.97,2.04,393100
2025-02-04,1.99,2.03,1.94,1.98,507600
2025-02-03,2.03,2.06,1.9,1.99,698600
2025-01-31,2.09,2.15,2.05,2.09,623000
2025-01-30,2.03,2.11,2.03,2.09,657800
2025-01-29,2.18,2.2,2.0,2.03,634400
2025-01-28,2.25,2.25,2.13,2.19,714900
2025-01-27,2.23,2.34,2.22,2.27,1111000
2025-01-24,2.32,2.33,2.11,2.18,943900
2025-01-23,2.24,2.32,2.19,2.29,1121700
2025-01-22,2.22,2.27,2.14,2.25,718900
2025-01-21,2.11,2.25,2.0,2.2,1004300
2025-01-17,1.94,2.11,1.9,2.08,917800
2025-01-16,1.87,1.92,1.83,1.91,497500
2025-01-15,1.92,1.93,1.84,1.86,587600
2025-01-14,1.91,1.95,1.82,1.87,837300
2025-01-13,1.94,1.95,1.81,1.9,929300
2025-01-10,2.03,2.06,1.95,1.98,972700
2025-01-08,2.36,2.37,2.02,2.09,2340300
2025-01-07,1.95,2.39,1.93,2.28,4637200
2025-01-06,2.0,2.02,1.92,1.93,1386500
2025-01-03,1.81,1.97,1.77,1.96,978900
2025-01-02,1.9,1.95,1.79,1.82,1297900
2024-12-31,1.78,1.84,1.75,1.83,996100
2024-12-30,1.89,1.89,1.76,1.78,1470800
2024-12-27,1.86,1.96,1.81,1.87,790200
2024-12-26,1.83,1.88,1.79,1.86,897500
2024-12-24,1.8,1.85,1.77,1.83,496600
2024-12-23,1.82,1.83,1.76,1.79,637700
2024-12-20,1.83,1.85,1.75,1.84,1447400
2024-12-19,1.81,1.9,1.79,1.85,1107600
2024-12-18,1.96,2.0,1.74,1.78,1586400
2024-12-17,2.12,2.15,1.91,1.96,2331000
2024-12-16,2.37,2.4,2.04,2.15,2952700
2024-12-13,2.52,2.54,2.14,2.32,9858800
2024-12-12,4.01,4.08,3.73,3.76,1227100
2024-12-11,4.02,4.07,3.91,4.03,596900
2024-12-10,4.15,4.17,3.98,4.03,480000
2024-12-09,4.24,4.44,4.11,4.14,570300
2024-12-06,4.04,4.24,4.03,4.17,515100
2024-12-05,4.1,4.15,3.96,4.02,454400
2024-12-04,4.18,4.24,4.11,4.13,413200
2024-12-03,4.38,4.61,4.15,4.2,512500
2024-12-02,4.36,4.54,4.32,4.35,321300
2024-11-29,4.24,4.34,4.2,4.32,171100
2024-11-27,4.08,4.25,4.08,4.19,319200
2024-11-26,4.13,4.25,4.0,4.01,387300
2024-11-25,4.05,4.27,4.04,4.13,719100
2024-11-22,4.08,4.22,4.04,4.07,294200
