datetime,open,high,low,close,volume
2025-04-01,8.43,8.81,8.16,8.44,103700
2025-03-31,8.5,8.79,8.11,8.54,129300
2025-03-28,8.78,8.78,8.496,8.67,129600
2025-03-27,8.95,8.95,8.65,8.86,156900
2025-03-26,9.06,9.06,8.8,8.97,79300
2025-03-25,9.21,9.22,8.87,9.02,83900
2025-03-24,9.01,9.21,8.765,9.15,120400
2025-03-21,8.95,9.0,8.58,8.84,165700
2025-03-20,9.08,9.37,8.965,9.1,154600
2025-03-19,8.65,9.2,8.627,9.18,135600
2025-03-18,9.03,9.03,8.51,8.62,196600
2025-03-17,8.9,10.29,8.193,9.17,253000
2025-03-14,8.2,8.45,8.1,8.37,110200
2025-03-13,8.52,8.52,8.03,8.03,162700
2025-03-12,8.31,8.626,8.18,8.58,146400
2025-03-11,8.53,8.62,8.12,8.25,177400
2025-03-10,8.98,9.03,8.26,8.525,171200
2025-03-07,9.11,9.18,8.87,9.11,158000
2025-03-06,9.4,9.4,9.025,9.12,116600
2025-03-05,10.17,10.17,9.31,9.39,118500
2025-03-04,10.29,10.845,9.68,9.72,200200
2025-03-03,10.74,10.96,10.03,10.04,90400
2025-02-28,10.7,10.83,10.624,10.78,169500
2025-02-27,11.12,11.316,10.7,10.77,242200
2025-02-26,10.88,11.119,10.83,11.09,147200
2025-02-25,11.02,11.06,10.9,10.91,74900
2025-02-24,11.05,11.18,10.7,11.0,209300
2025-02-21,11.36,11.53,10.98,10.98,265500
2025-02-20,11.1,11.27,10.83,11.25,117200
2025-02-19,11.57,11.61,11.03,11.22,158800
2025-02-18,11.1,11.52,10.97,11.5,218500
2025-02-14,10.99,11.23,10.877,10.95,119700
2025-02-13,10.45,10.93,10.34,10.93,202600
2025-02-12,10.23,10.45,10.2,10.36,355100
2025-02-11,10.186,10.54,10.15,10.35,91500
2025-02-10,10.32,10.4,10.245,10.32,172600
2025-02-07,10.35,10.415,10.2,10.3,94700
2025-02-06,10.19,10.41,10.13,10.4,75500
2025-02-05,10.49,10.5,10.19,10.22,64300
2025-02-04,9.96,10.665,9.94,10.53,339500
2025-02-03,9.89,10.13,9.85,10.12,232300
2025-01-31,10.01,10.12,9.9,10.07,233100
2025-01-30,9.71,10.1,9.7,10.02,259900
2025-01-29,9.39,9.72,9.39,9.67,215400
2025-01-28,9.59,9.59,9.41,9.51,73900
2025-01-27,9.44,9.52,9.3,9.45,62000
2025-01-24,9.43,9.5,9.36,9.45,59500
2025-01-23,9.41,9.5,9.3,9.47,67400
2025-01-22,9.49,9.53,9.414,9.5,82200
2025-01-21,9.53,9.61,9.43,9.5,76900
2025-01-17,9.4,9.52,9.255,9.47,91100
2025-01-16,9.4,9.48,9.29,9.33,127100
2025-01-15,9.36,9.5,9.143,9.39,84700
2025-01-14,8.92,9.19,8.87,9.17,66900
2025-01-13,8.72,8.865,8.61,8.85,100500
2025-01-10,8.64,9.125,8.64,8.84,135900
2025-01-08,8.72,8.81,8.57,8.78,315200
2025-01-07,8.7,8.76,8.56,8.72,63100
2025-01-06,8.47,8.89,8.47,8.76,70700
2025-01-03,8.8,8.89,8.655,8.87,84700
2025-01-02,9.15,9.15,8.76,8.83,75100
2024-12-31,8.85,9.08,8.77,9.05,91300
2024-12-30,8.84,8.9,8.56,8.85,95600
2024-12-27,8.82,8.95,8.64,8.9,85500
2024-12-26,8.71,8.93,8.7,8.89,65700
2024-12-24,8.71,8.81,8.68,8.75,41300
2024-12-23,8.64,8.91,8.58,8.73,149400
